total_return,annual_return,max_drawdown,sharpe,trading_days,n_trades,trades_per_day,days_with_trade,coverage,win_rate,t_pnl,t_return,t_annual,gross_edge,net_edge,avg_trade_amount,effective_round_trip,n_unclosed,buyhold_annual,date_range,base_value,cash_value,ratio,signal,thr,vol_thr,take_profit,stop_loss,max_trades,hold_max,reverse
0.0252,0.0255,-0.446,0.055,241,205,0.85,205,0.8506,0.4976,-26231.58,-0.1312,-0.1327,-4e-06,-0.001695,74968.52,0.001691,0,0.1585,"['2025-09-08', '2026-09-04']",140000,60000.0,0.7,corr,0.1,1.0,0.006,0.008,1,30,False
0.0381,0.0386,-0.4386,0.086,241,236,0.98,236,0.9793,0.5127,-23655.22,-0.1183,-0.1197,0.000418,-0.001272,74889.07,0.001691,0,0.1585,"['2025-09-08', '2026-09-04']",140000,60000.0,0.7,corr,0.1,1.0,0.006,0.008,1,30,True
0.0371,0.0376,-0.4344,0.082,241,192,0.8,192,0.7967,0.526,-23855.09,-0.1193,-0.1207,8.1e-05,-0.00161,74823.96,0.001691,0,0.1585,"['2025-09-08', '2026-09-04']",140000,60000.0,0.7,corr,0.1,1.0,0.006,0.008,1,60,False
0.0412,0.0418,-0.4343,0.094,241,232,0.96,232,0.9627,0.5431,-23026.42,-0.1151,-0.1165,0.000359,-0.001332,74577.51,0.001691,0,0.1585,"['2025-09-08', '2026-09-04']",140000,60000.0,0.7,corr,0.1,1.0,0.006,0.008,1,60,True
0.0335,0.0339,-0.4561,0.073,241,447,1.85,233,0.9668,0.4855,-24578.09,-0.1229,-0.1243,0.000276,-0.001512,37286.74,0.001788,0,0.1585,"['2025-09-08', '2026-09-04']",140000,60000.0,0.7,corr,0.1,1.0,0.006,0.008,2,30,False
0.0233,0.0236,-0.4392,0.052,241,462,1.92,237,0.9834,0.487,-26618.1,-0.1331,-0.1346,0.0003,-0.001487,37432.85,0.001787,0,0.1585,"['2025-09-08', '2026-09-04']",140000,60000.0,0.7,corr,0.1,1.0,0.006,0.008,2,30,True
0.0341,0.0346,-0.4466,0.074,241,444,1.84,233,0.9668,0.527,-24444.25,-0.1222,-0.1236,0.00032,-0.001469,37258.57,0.001788,0,0.1585,"['2025-09-08', '2026-09-04']",140000,60000.0,0.7,corr,0.1,1.0,0.006,0.008,2,60,False
0.0181,0.0184,-0.4447,0.041,241,452,1.88,234,0.971,0.5199,-27647.22,-0.1382,-0.1398,0.000175,-0.001612,37382.72,0.001788,0,0.1585,"['2025-09-08', '2026-09-04']",140000,60000.0,0.7,corr,0.1,1.0,0.006,0.008,2,60,True
0.0309,0.0313,-0.4508,0.068,241,841,3.49,238,0.9876,0.4257,-25089.26,-0.1254,-0.1269,-7.2e-05,-0.002392,12499.74,0.00232,0,0.1585,"['2025-09-08', '2026-09-04']",140000,60000.0,0.7,corr,0.1,1.0,0.006,0.008,4,30,False
0.0532,0.0539,-0.4354,0.119,241,846,3.51,238,0.9876,0.4645,-20626.41,-0.1031,-0.1043,0.000397,-0.001923,12494.55,0.00232,0,0.1585,"['2025-09-08', '2026-09-04']",140000,60000.0,0.7,corr,0.1,1.0,0.006,0.008,4,30,True
0.0476,0.0482,-0.4434,0.105,241,763,3.17,236,0.9793,0.4915,-21755.31,-0.1088,-0.1101,7.3e-05,-0.002247,12489.72,0.002321,0,0.1585,"['2025-09-08', '2026-09-04']",140000,60000.0,0.7,corr,0.1,1.0,0.006,0.008,4,60,False
0.0517,0.0524,-0.4364,0.116,241,766,3.18,236,0.9793,0.4961,-20923.16,-0.1046,-0.1058,0.000123,-0.002197,12497.19,0.00232,0,0.1585,"['2025-09-08', '2026-09-04']",140000,60000.0,0.7,corr,0.1,1.0,0.006,0.008,4,60,True
0.0303,0.0307,-0.437,0.067,241,205,0.85,205,0.8506,0.5171,-25207.4,-0.126,-0.1275,0.000132,-0.001559,74963.27,0.001691,0,0.1585,"['2025-09-08', '2026-09-04']",140000,60000.0,0.7,corr,0.1,1.0,0.006,0.012,1,30,False
