date,equity,ret
2026-06-01,50000.0,0.0
2026-06-02,50000.0,0.0
2026-06-03,50000.0,0.0
2026-06-04,50000.0,0.0
2026-06-05,50002.88,5.8e-05
2026-06-08,50002.88,0.0
2026-06-09,50002.88,0.0
2026-06-10,50002.88,0.0
2026-06-11,50002.88,0.0
2026-06-12,50002.88,0.0
2026-06-15,50002.88,0.0
2026-06-16,50002.88,0.0
2026-06-17,49922.23,-0.001613
2026-06-18,49922.23,0.0
2026-06-22,49922.23,0.0
2026-06-23,49922.23,0.0
2026-06-24,49922.23,0.0
2026-06-25,49922.23,0.0
2026-06-26,49922.23,0.0
2026-06-29,49922.23,0.0
2026-06-30,49922.23,0.0
2026-07-01,49922.23,0.0
2026-07-02,49863.78,-0.001171
2026-07-03,49863.78,0.0
2026-07-06,49863.78,0.0
2026-07-07,49863.78,0.0
2026-07-08,49863.78,0.0
2026-07-09,49863.78,0.0
2026-07-10,49863.78,0.0
2026-07-13,49863.78,0.0
2026-07-14,49863.78,0.0
2026-07-15,49863.78,0.0
2026-07-16,49863.78,0.0
2026-07-17,49838.01,-0.000517
2026-07-20,49838.01,0.0
2026-07-21,49838.01,0.0
2026-07-22,49838.01,0.0
2026-07-23,49838.01,0.0
2026-07-24,49838.01,0.0
2026-07-27,49838.01,0.0
2026-07-28,49838.01,0.0
2026-07-29,49838.01,0.0
2026-07-30,49838.01,0.0
2026-07-31,49838.01,0.0
2026-08-03,49838.01,0.0
2026-08-04,49838.01,0.0
2026-08-05,49838.01,0.0
2026-08-06,49838.01,0.0
2026-08-07,49838.01,0.0
2026-08-10,49838.01,0.0
2026-08-11,49838.01,0.0
2026-08-12,49838.01,0.0
2026-08-13,49838.01,0.0
2026-08-14,49838.01,0.0
2026-08-17,49838.01,0.0
2026-08-18,49838.01,0.0
2026-08-19,49838.01,0.0
2026-08-20,49798.91,-0.000784
2026-08-21,49798.91,0.0
2026-08-24,49798.91,0.0
2026-08-25,49798.91,0.0
2026-08-26,49798.91,0.0
2026-08-27,49798.91,0.0
2026-08-28,49798.91,0.0
2026-08-31,49798.91,0.0
2026-09-01,49798.91,0.0
2026-09-02,49798.91,0.0
2026-09-03,49798.91,0.0
2026-09-04,49798.91,0.0
