date,equity,ret
2025-08-25,50000.0,0.0
2025-08-26,50000.0,0.0
2025-08-27,50000.0,0.0
2025-08-28,50000.0,0.0
2025-08-29,50000.0,0.0
2025-09-01,50000.0,0.0
2025-09-02,50000.0,0.0
2025-09-03,50369.19,0.007384
2025-09-04,50380.6,0.000227
2025-09-05,50380.6,0.0
2025-09-08,50443.76,0.001254
2025-09-09,50723.66,0.005549
2025-09-10,50540.04,-0.00362
2025-09-11,50667.26,0.002517
2025-09-12,50775.56,0.002138
2025-09-15,50824.57,0.000965
2025-09-16,50574.26,-0.004925
2025-09-17,50647.25,0.001443
2025-09-18,51246.38,0.011829
2025-09-19,51220.33,-0.000508
2025-09-22,51496.96,0.005401
2025-09-23,51728.1,0.004488
2025-09-24,51944.39,0.004181
2025-09-25,52223.41,0.005371
2025-09-26,52202.33,-0.000404
2025-09-29,52458.39,0.004905
2025-09-30,52613.71,0.002961
2025-10-09,52650.05,0.000691
2025-10-10,52928.19,0.005283
2025-10-13,53430.89,0.009498
2025-10-14,53450.53,0.000368
2025-10-15,53588.03,0.002572
2025-10-16,53767.9,0.003357
2025-10-17,54053.05,0.005303
2025-10-20,54281.41,0.004225
2025-10-21,54182.66,-0.001819
2025-10-22,54331.69,0.00275
2025-10-23,54760.87,0.007899
2025-10-24,55170.07,0.007473
2025-10-27,55344.48,0.003161
2025-10-28,55475.06,0.002359
2025-10-29,55401.12,-0.001333
2025-10-30,55652.4,0.004536
2025-10-31,55818.82,0.00299
2025-11-03,56007.7,0.003384
2025-11-04,56307.74,0.005357
2025-11-05,56502.93,0.003466
2025-11-06,56810.89,0.00545
2025-11-07,57184.69,0.00658
2025-11-10,58022.58,0.014652
2025-11-11,58035.87,0.000229
2025-11-12,58366.44,0.005696
2025-11-13,57957.14,-0.007013
2025-11-14,58399.84,0.007638
2025-11-17,58823.44,0.007253
2025-11-18,59150.09,0.005553
2025-11-19,59423.21,0.004617
2025-11-20,60067.25,0.010838
2025-11-21,60992.42,0.015402
2025-11-24,60885.15,-0.001759
2025-11-25,61045.35,0.002631
2025-11-26,61274.83,0.003759
2025-11-27,61440.63,0.002706
2025-11-28,61449.85,0.00015
2025-12-01,62118.7,0.010885
2025-12-02,62182.18,0.001022
2025-12-03,62928.34,0.012
2025-12-04,63420.4,0.007819
2025-12-05,63499.28,0.001244
2025-12-08,63818.89,0.005033
2025-12-09,64303.48,0.007593
2025-12-10,64640.32,0.005238
2025-12-11,65232.66,0.009164
2025-12-12,65068.91,-0.00251
2025-12-15,65112.25,0.000666
2025-12-16,65753.33,0.009846
2025-12-17,66436.09,0.010384
2025-12-18,66632.87,0.002962
2025-12-19,66856.39,0.003354
2025-12-22,67517.54,0.009889
2025-12-23,68422.55,0.013404
2025-12-24,68923.55,0.007322
2025-12-25,69217.87,0.00427
2025-12-26,69877.54,0.00953
2025-12-29,70234.97,0.005115
2025-12-30,69905.69,-0.004688
2025-12-31,70405.36,0.007148
