date,equity,cash,hold_value,n_holding,ret
2025-08-25,50000.0,50000.0,0.0,0,0.0
2025-08-26,50000.0,50000.0,0.0,0,0.0
2025-08-27,49632.68,40332.77,9299.91,1,-0.007346
2025-08-28,49763.44,40308.76,9454.69,1,0.002635
2025-08-29,49684.24,49684.24,0.0,0,-0.001592
2025-09-01,49684.24,49684.24,0.0,0,0.0
2025-09-02,49684.24,49684.24,0.0,0,0.0
2025-09-03,49684.24,49684.24,0.0,0,0.0
2025-09-04,49684.24,49684.24,0.0,0,0.0
2025-09-05,49684.24,49684.24,0.0,0,0.0
2025-09-08,49634.83,405.57,49229.26,5,-0.000994
2025-09-09,49810.85,13512.32,36298.53,4,0.003546
2025-09-10,49109.03,20358.91,28750.12,3,-0.01409
2025-09-11,50340.41,3227.65,47112.76,5,0.025074
2025-09-12,51680.37,33917.11,17763.27,2,0.026618
2025-09-15,52004.81,7584.45,44420.36,5,0.006278
2025-09-16,51468.15,22565.04,28903.11,3,-0.010319
2025-09-17,52450.93,25148.42,27302.5,3,0.019095
2025-09-18,53087.42,15908.4,37179.02,4,0.012135
2025-09-19,52921.66,8866.84,44054.83,5,-0.003122
2025-09-22,53827.15,13898.45,39928.69,4,0.01711
2025-09-23,54283.0,44704.36,9578.64,1,0.008469
2025-09-24,54522.66,6927.11,47595.55,5,0.004415
2025-09-25,54239.49,29843.27,24396.22,3,-0.005194
2025-09-26,54533.32,7796.25,46737.07,5,0.005417
2025-09-29,55891.33,9835.11,46056.22,5,0.024902
2025-09-30,55673.35,29919.17,25754.17,3,-0.0039
2025-10-09,56085.32,18985.11,37100.21,4,0.0074
2025-10-10,55629.45,19458.71,36170.74,4,-0.008128
2025-10-13,56082.39,13218.32,42864.07,5,0.008142
2025-10-14,55580.59,46082.6,9497.99,1,-0.008948
2025-10-15,56390.72,21034.21,35356.51,4,0.014576
2025-10-16,56108.07,36453.46,19654.61,2,-0.005012
2025-10-17,57229.3,20114.98,37114.32,4,0.019983
2025-10-20,57371.48,12777.72,44593.75,5,0.002484
2025-10-21,58817.44,30198.31,28619.13,3,0.025204
2025-10-22,60790.26,12162.92,48627.35,5,0.033541
2025-10-23,60579.65,41246.28,19333.38,2,-0.003464
2025-10-24,60680.82,40350.35,20330.47,3,0.00167
2025-10-27,60753.88,31340.92,29412.96,3,0.001204
2025-10-28,60021.02,45293.38,14727.64,2,-0.012063
2025-10-29,59523.19,15002.33,44520.86,5,-0.008294
2025-10-30,59068.69,21351.07,37717.62,4,-0.007636
2025-10-31,57667.04,13353.04,44314.0,5,-0.023729
2025-11-03,58633.94,20264.61,38369.33,4,0.016767
2025-11-04,58839.67,49504.91,9334.77,1,0.003509
2025-11-05,60738.67,23067.89,37670.78,4,0.032274
2025-11-06,61114.4,34572.35,26542.05,3,0.006186
2025-11-07,61198.34,24847.63,36350.7,4,0.001374
2025-11-10,60450.59,13679.21,46771.38,5,-0.012218
2025-11-11,61100.22,42000.33,19099.89,2,0.010746
2025-11-12,61055.25,23799.55,37255.7,4,-0.000736
2025-11-13,61854.46,16275.22,45579.24,5,0.01309
2025-11-14,63247.77,34793.25,28454.52,3,0.022526
2025-11-17,64626.29,25377.17,39249.12,4,0.021795
2025-11-18,65067.7,55222.22,9845.48,1,0.00683
2025-11-19,64390.81,27793.12,36597.69,4,-0.010403
2025-11-20,63136.33,26351.25,36785.08,4,-0.019482
2025-11-21,61086.4,17724.99,43361.4,5,-0.032468
2025-11-24,61350.95,29941.65,31409.3,4,0.004331
2025-11-25,60885.18,23793.08,37092.1,4,-0.007592
2025-11-26,60691.87,18494.58,42197.29,5,-0.003175
2025-11-27,59909.66,13690.94,46218.72,5,-0.012888
2025-11-28,59924.08,34021.36,25902.72,3,0.000241
2025-12-01,60076.48,22645.82,37430.66,4,0.002543
2025-12-02,59094.87,30852.38,28242.48,3,-0.016339
2025-12-03,58533.7,23081.0,35452.71,4,-0.009496
2025-12-04,57485.67,57485.67,0.0,0,-0.017905
2025-12-05,57485.67,57485.67,0.0,0,0.0
2025-12-08,57485.67,57485.67,0.0,0,0.0
2025-12-09,57485.67,57485.67,0.0,0,0.0
2025-12-10,57485.67,57485.67,0.0,0,0.0
2025-12-11,57485.67,57485.67,0.0,0,0.0
2025-12-12,57485.67,57485.67,0.0,0,0.0
2025-12-15,57485.67,57485.67,0.0,0,0.0
2025-12-16,57485.67,57485.67,0.0,0,0.0
2025-12-17,57485.67,57485.67,0.0,0,0.0
2025-12-18,57485.67,57485.67,0.0,0,0.0
