day,symbol,side,entry_time,exit_time,entry_price,exit_price,volume,pnl,pnl_pct,reason
2025-08-28,300433.SZSE,sell,2025-08-27 09:36:00,2025-08-28 09:35:00,185.3056,176.8819,52,-463.24,-0.04546,止损
2025-08-29,300433.SZSE,sell,2025-08-28 09:35:00,2025-08-29 14:07:00,176.8819,180.1758,52,147.48,0.01862,模型转空
2025-09-09,300433.SZSE,sell,2025-09-08 09:35:00,2025-09-09 09:35:00,190.9214,179.9598,52,-595.82,-0.05741,止损
2025-09-09,603331.SSE,sell,2025-09-08 10:38:00,2025-09-09 10:29:00,16.898,17.108,586,97.94,0.01243,模型转空
2025-09-09,600231.SSE,sell,2025-09-08 10:19:00,2025-09-09 10:47:00,17.9609,18.0876,549,44.47,0.00705,模型转空
2025-09-09,600149.SSE,sell,2025-09-08 10:38:00,2025-09-09 13:36:00,15.8036,15.8612,622,10.88,0.00364,模型转空
2025-09-09,600376.SSE,sell,2025-09-08 10:21:00,2025-09-09 14:50:00,46.3296,48.7024,208,469.73,0.05121,尾盘平仓
2025-09-10,000953.SZSE,sell,2025-09-09 10:56:00,2025-09-10 09:35:00,20.4266,19.9118,461,-261.52,-0.0252,止损
2025-09-10,603179.SSE,sell,2025-09-09 09:35:00,2025-09-10 10:59:00,159.2446,155.9085,57,-216.83,-0.02095,止损
2025-09-10,002890.SZSE,sell,2025-09-09 10:46:00,2025-09-10 13:55:00,39.524,39.1673,229,-105.5,-0.00903,模型转空
2025-09-10,002276.SZSE,sell,2025-09-09 13:38:00,2025-09-10 14:15:00,65.424,65.964,129,46.91,0.00825,模型转空
2025-09-11,000558.SZSE,sell,2025-09-10 13:39:00,2025-09-11 09:48:00,54.1862,52.9914,175,-233.49,-0.02205,止损
2025-09-11,600376.SSE,sell,2025-09-10 09:36:00,2025-09-11 13:19:00,51.136,53.7521,193,479.74,0.05116,模型转空
2025-09-11,300324.SZSE,sell,2025-09-10 09:35:00,2025-09-11 14:33:00,159.4888,164.7812,59,287.92,0.03318,模型转空
