horizon,threshold,config,test_acc,test_auc,train_acc,train_auc
5,0.002,deep,0.7912438,0.6808178981413422,0.835925,0.7218014339592803
5,0.002,base,0.7913076,0.6789915402812531,0.83568,0.7179773235014213
5,0.002,wide,0.7914064,0.6786170535377185,0.83569,0.7173504088916988
10,0.002,deep,0.7424794,0.6407764665614821,0.78416,0.6810122127189113
10,0.002,base,0.742675,0.6395051230331134,0.78386,0.6774849860650568
10,0.002,wide,0.7427168,0.6392394418186176,0.78388,0.6767490038588415
15,0.002,deep,0.7151146,0.6202143623545238,0.752805,0.6580753812217556
15,0.002,base,0.7154534,0.6190005181510855,0.75256,0.6545657281251447
15,0.002,wide,0.715506,0.6187890459361965,0.752485,0.6542034724326891
5,0.001,deep,0.6864828,0.6176303312732483,0.72215,0.6536002565086048
5,0.001,wide,0.6867536,0.6157138667282507,0.721625,0.6491885969245944
5,0.001,base,0.6866844,0.6156735374066671,0.72176,0.6496960348852505
20,0.002,deep,0.6965276,0.6054019475359067,0.73052,0.6425911680480231
20,0.002,base,0.6969036,0.6045058635731212,0.730325,0.6390758710066328
20,0.002,wide,0.6968864,0.6041948163902799,0.730405,0.6386455688116872
5,0.0005,deep,0.6300838,0.5933822343063863,0.6515,0.6171218177132896
5,0.0003,deep,0.6154288,0.5925689810862461,0.63003,0.6125789724100035
5,0.0005,base,0.630243,0.5922261385537823,0.65073,0.613269835558229
5,0.0005,wide,0.6305632,0.591941676751625,0.650935,0.6125690932133253
5,0.0003,base,0.6155558,0.5914282679689403,0.62922,0.6084674429025592
5,0.0003,wide,0.6159156,0.5910283500270928,0.629185,0.6079928342963764
10,0.001,deep,0.6519506,0.5894512034090943,0.680575,0.6253269999327858
10,0.001,base,0.6525508,0.5883968908524352,0.680085,0.6215709813449422
10,0.001,wide,0.652882,0.5883086514520275,0.679945,0.6210311701361041
30,0.002,deep,0.67096,0.583767322528993,0.701265,0.6260681842762285
30,0.002,base,0.6711924,0.582991235632177,0.700875,0.622346967275197
30,0.002,wide,0.6712904,0.5826993368639043,0.701,0.6221322829446856
15,0.001,deep,0.634835,0.5753900183910337,0.65791,0.6101229955416068
15,0.001,base,0.6355412,0.5744429628884482,0.657295,0.606521190873559
15,0.001,wide,0.635886,0.5743542386314989,0.65727,0.6058018724050562
10,0.0003,deep,0.5970838,0.5733290149241088,0.608325,0.6001997970206945
10,0.0005,deep,0.6080524,0.5730972396091691,0.62429,0.6015105265368418
10,0.0003,base,0.597668,0.572617338685103,0.60744,0.596189676709757
10,0.0003,wide,0.5982634,0.572188502178242,0.607375,0.5954176041380626
10,0.0005,base,0.6086362,0.5721837207399209,0.623555,0.5975666062696282
10,0.0005,wide,0.6092902,0.5719330786398542,0.623315,0.5968320374522954
20,0.001,deep,0.6242658,0.5654280222091199,0.64445,0.6027322346654644
20,0.001,wide,0.6252846,0.5645028845405561,0.64369,0.5979725027390604
20,0.001,base,0.6248798,0.56441723966904,0.64389,0.598555298129343
15,0.0003,deep,0.5886444,0.5631648450751248,0.59845,0.5922190224327473
15,0.0003,base,0.589298,0.5626516859301429,0.596635,0.5883561494467131
15,0.0005,deep,0.5977654,0.5626311083516233,0.61059,0.5931068935373313
15,0.0003,wide,0.5900486,0.562345957058994,0.596785,0.5878258483941714
15,0.0005,base,0.5984826,0.5619634247223877,0.60979,0.5890656408000923
15,0.0005,wide,0.5992172,0.5616076688947451,0.609485,0.5883753730156752
20,0.0003,deep,0.5837406,0.5554449472613366,0.591855,0.5868026463595115
20,0.0005,deep,0.5918946,0.5551162197506894,0.602385,0.58764160035153
20,0.0003,base,0.5844208,0.5550136047028572,0.59066,0.5825803389510762
20,0.0003,wide,0.5854344,0.5549068987757755,0.5902,0.581977252251307
20,0.0005,base,0.592552,0.5544612193872405,0.601145,0.5832518486892238
20,0.0005,wide,0.5934468,0.5543608061277032,0.60082,0.582897110339213
30,0.001,deep,0.609195,0.5508195658283739,0.625565,0.5920387854669202
30,0.001,wide,0.6102256,0.5500626449793697,0.6249,0.5875065328909599
30,0.001,base,0.609816,0.5500166326872724,0.625045,0.5878666183004786
30,0.0003,deep,0.5742388,0.5437564922663122,0.58323,0.5801220573860185
30,0.0005,deep,0.5818218,0.5433596894428023,0.59128,0.5804711032222015
30,0.0003,wide,0.5761566,0.5432931957780429,0.581275,0.5752880667048749
30,0.0003,base,0.5750818,0.5432420920703012,0.58182,0.5754061731998288
30,0.0005,base,0.5826758,0.5427178538888507,0.59001,0.5759122688401794
30,0.0005,wide,0.5833308,0.5423678536713054,0.589855,0.5758137121704632
