total_return,annual_return,max_drawdown,sharpe,trading_days,n_trades,trades_per_day,days_with_trade,coverage,win_rate,t_pnl,t_return,t_annual,gross_edge,net_edge,avg_trade_amount,effective_round_trip,n_unclosed,buyhold_annual,date_range,base_value,cash_value,base_pct,signal,thr,vol_thr,take_profit,stop_loss,max_trades,hold_max,reverse
-0.0234,-0.0237,-0.1065,-0.314,241,238,0.99,238,0.9876,0.5126,-9762.64,-0.0488,-0.0494,0.000358,-0.001562,25013.56,0.00192,0,0.0257,"['2025-09-08', '2026-09-04']",20000,180000.0,0.1,corr,0.1,1.0,0.006,0.008,1,30,False
-0.0302,-0.0306,-0.1029,-0.436,241,238,0.99,238,0.9876,0.4916,-11126.18,-0.0556,-0.0563,9.5e-05,-0.001824,25014.2,0.00192,0,0.0257,"['2025-09-08', '2026-09-04']",20000,180000.0,0.1,corr,0.1,1.0,0.006,0.008,1,30,True
-0.0201,-0.0203,-0.1056,-0.268,241,236,0.98,236,0.9793,0.5551,-9097.6,-0.0455,-0.046,0.000512,-0.001409,24958.12,0.001921,0,0.0257,"['2025-09-08', '2026-09-04']",20000,180000.0,0.1,corr,0.1,1.0,0.006,0.008,1,60,False
-0.0327,-0.0331,-0.1058,-0.472,241,236,0.98,236,0.9793,0.5297,-11616.2,-0.0581,-0.0588,-5.5e-05,-0.001976,24958.85,0.001921,0,0.0257,"['2025-09-08', '2026-09-04']",20000,180000.0,0.1,corr,0.1,1.0,0.006,0.008,1,60,True
-0.0502,-0.0508,-0.2035,-0.346,241,465,1.93,238,0.9876,0.4774,-20431.14,-0.1022,-0.1034,0.000159,-0.001761,25006.53,0.00192,1,0.0257,"['2025-09-08', '2026-09-04']",20000,180000.0,0.1,corr,0.1,1.0,0.006,0.008,2,30,False
-0.0517,-0.0524,-0.1826,-0.38,241,464,1.93,238,0.9876,0.4806,-20718.08,-0.1036,-0.1048,0.00022,-0.0017,25025.06,0.00192,1,0.0257,"['2025-09-08', '2026-09-04']",20000,180000.0,0.1,corr,0.1,1.0,0.006,0.008,2,30,True
-0.0552,-0.0558,-0.2055,-0.378,241,455,1.89,236,0.9793,0.5055,-21423.55,-0.1071,-0.1084,9.1e-05,-0.00183,24972.79,0.00192,1,0.0257,"['2025-09-08', '2026-09-04']",20000,180000.0,0.1,corr,0.1,1.0,0.006,0.008,2,60,False
-0.0548,-0.0555,-0.1869,-0.403,241,454,1.88,236,0.9793,0.5176,-21333.65,-0.1067,-0.1079,9.2e-05,-0.001828,24994.33,0.00192,1,0.0257,"['2025-09-08', '2026-09-04']",20000,180000.0,0.1,corr,0.1,1.0,0.006,0.008,2,60,True
-0.0263,-0.0267,-0.1083,-0.349,241,238,0.99,238,0.9876,0.5378,-10348.38,-0.0517,-0.0524,0.000278,-0.001642,25010.14,0.00192,0,0.0257,"['2025-09-08', '2026-09-04']",20000,180000.0,0.1,corr,0.1,1.0,0.006,0.012,1,30,False
-0.0241,-0.0244,-0.094,-0.35,241,238,0.99,238,0.9876,0.5126,-9895.27,-0.0495,-0.0501,0.00024,-0.00168,25013.81,0.00192,0,0.0257,"['2025-09-08', '2026-09-04']",20000,180000.0,0.1,corr,0.1,1.0,0.006,0.012,1,30,True
-0.0268,-0.0271,-0.1102,-0.352,241,236,0.98,236,0.9793,0.5932,-10441.05,-0.0522,-0.0528,0.000329,-0.001592,24955.55,0.001921,0,0.0257,"['2025-09-08', '2026-09-04']",20000,180000.0,0.1,corr,0.1,1.0,0.006,0.012,1,60,False
-0.017,-0.0172,-0.0948,-0.247,241,236,0.98,236,0.9793,0.589,-8470.36,-0.0424,-0.0429,0.000391,-0.00153,24951.46,0.001921,0,0.0257,"['2025-09-08', '2026-09-04']",20000,180000.0,0.1,corr,0.1,1.0,0.006,0.012,1,60,True
-0.047,-0.0476,-0.1962,-0.324,241,465,1.93,238,0.9876,0.4903,-19801.62,-0.099,-0.1002,0.000228,-0.001692,24999.93,0.00192,1,0.0257,"['2025-09-08', '2026-09-04']",20000,180000.0,0.1,corr,0.1,1.0,0.006,0.012,2,30,False
-0.0382,-0.0386,-0.169,-0.283,241,464,1.93,238,0.9876,0.4978,-18005.5,-0.09,-0.0911,0.000395,-0.001525,25018.12,0.00192,1,0.0257,"['2025-09-08', '2026-09-04']",20000,180000.0,0.1,corr,0.1,1.0,0.006,0.012,2,30,True
-0.0525,-0.0531,-0.2005,-0.358,241,452,1.88,236,0.9793,0.5442,-20946.5,-0.1047,-0.106,0.000159,-0.001761,24956.36,0.001921,1,0.0257,"['2025-09-08', '2026-09-04']",20000,180000.0,0.1,corr,0.1,1.0,0.006,0.012,2,60,False
-0.0214,-0.0217,-0.1671,-0.16,241,452,1.88,236,0.9793,0.5642,-14662.62,-0.0733,-0.0742,0.000562,-0.001358,24987.56,0.00192,1,0.0257,"['2025-09-08', '2026-09-04']",20000,180000.0,0.1,corr,0.1,1.0,0.006,0.012,2,60,True
-0.0386,-0.039,-0.1213,-0.506,241,238,0.99,238,0.9876,0.3908,-12794.12,-0.064,-0.0647,-0.000109,-0.002028,25018.81,0.00192,0,0.0257,"['2025-09-08', '2026-09-04']",20000,180000.0,0.1,corr,0.1,1.0,0.01,0.008,1,30,False
-0.0312,-0.0316,-0.101,-0.45,241,238,0.99,238,0.9876,0.4286,-11314.64,-0.0566,-0.0573,-1.8e-05,-0.001938,25011.73,0.00192,0,0.0257,"['2025-09-08', '2026-09-04']",20000,180000.0,0.1,corr,0.1,1.0,0.01,0.008,1,30,True
-0.0389,-0.0394,-0.1214,-0.503,241,236,0.98,236,0.9793,0.411,-12866.82,-0.0643,-0.0651,-5.1e-05,-0.001972,24961.41,0.001921,0,0.0257,"['2025-09-08', '2026-09-04']",20000,180000.0,0.1,corr,0.1,1.0,0.01,0.008,1,60,False
-0.0291,-0.0294,-0.0982,-0.422,241,236,0.98,236,0.9793,0.4364,-10894.8,-0.0545,-0.0551,-7.4e-05,-0.001995,24953.63,0.001921,0,0.0257,"['2025-09-08', '2026-09-04']",20000,180000.0,0.1,corr,0.1,1.0,0.01,0.008,1,60,True
-0.0679,-0.0687,-0.2237,-0.464,241,464,1.93,238,0.9876,0.3901,-23973.84,-0.1199,-0.1213,-0.000123,-0.002042,25023.59,0.00192,1,0.0257,"['2025-09-08', '2026-09-04']",20000,180000.0,0.1,corr,0.1,1.0,0.01,0.008,2,30,False
-0.0659,-0.0667,-0.1948,-0.478,241,464,1.93,238,0.9876,0.3966,-23553.56,-0.1178,-0.1191,-7.5e-05,-0.001994,25018.32,0.00192,1,0.0257,"['2025-09-08', '2026-09-04']",20000,180000.0,0.1,corr,0.1,1.0,0.01,0.008,2,30,True
-0.0704,-0.0712,-0.2228,-0.479,241,451,1.87,236,0.9793,0.408,-24471.76,-0.1224,-0.1238,-0.000139,-0.002059,25003.59,0.00192,1,0.0257,"['2025-09-08', '2026-09-04']",20000,180000.0,0.1,corr,0.1,1.0,0.01,0.008,2,60,False
