date,equity,close,t_trades,day_t_pnl
2025-09-08,199628.68,88.309,1,149.92
2025-09-09,198527.85,87.646,1,-371.1
2025-09-10,196805.09,85.845,1,257.93
2025-09-11,198994.27,87.835,0,0.0
2025-09-12,201183.46,89.825,0,0.0
2025-09-15,198099.95,87.172,1,-164.6
2025-09-16,197523.29,87.077,1,-472.41
2025-09-17,197467.12,86.982,1,48.08
2025-09-18,193818.47,83.665,0,0.0
2025-09-19,194080.38,84.044,1,-155.08
2025-09-22,191322.01,81.58,1,-47.95
2025-09-23,191067.08,81.77,1,-463.42
2025-09-24,192373.17,82.907,1,55.13
2025-09-25,196071.38,85.561,1,779.3
2025-09-26,200699.15,89.92,1,-167.59
2025-09-29,204592.87,92.953,1,557.81
2025-09-30,214392.09,101.861,0,0.0
2025-10-09,223363.28,111.622,1,-1766.25
2025-10-10,221486.83,109.917,0,0.0
2025-10-13,220757.11,109.253,0,0.0
2025-10-14,215241.89,102.809,1,1573.58
2025-10-15,223998.64,110.769,0,0.0
2025-10-16,218682.04,105.936,0,0.0
2025-10-17,215554.63,103.093,0,0.0
2025-10-20,212739.96,100.534,0,0.0
2025-10-21,214824.9,102.43,0,0.0
2025-10-22,215867.37,103.377,0,0.0
2025-10-23,215241.89,102.809,0,0.0
2025-10-24,215971.62,103.472,0,0.0
2025-10-27,218890.54,106.126,0,0.0
2025-10-28,216597.1,104.041,0,0.0
2025-10-29,223581.65,110.39,0,0.0
2025-10-30,227015.82,111.812,1,1870.47
2025-10-31,224618.14,109.632,0,0.0
2025-11-03,219614.29,105.083,0,0.0
2025-11-04,215861.4,101.672,0,0.0
2025-11-05,216278.38,102.051,0,0.0
2025-11-06,221803.47,107.073,0,0.0
2025-11-07,226181.85,111.054,0,0.0
2025-11-10,225347.87,110.296,0,0.0
2025-11-11,223471.43,108.59,0,0.0
2025-11-12,224201.16,109.253,0,0.0
2025-11-13,235772.57,119.773,0,0.0
2025-11-14,238587.24,122.331,0,0.0
2025-11-17,243069.86,126.407,0,0.0
2025-11-18,237127.78,121.005,0,0.0
2025-11-19,238274.5,122.047,0,0.0
2025-11-20,237336.28,121.194,0,0.0
2025-11-21,225556.37,110.485,0,0.0
2025-11-24,225243.63,110.201,0,0.0
2025-11-25,234104.62,118.256,0,0.0
2025-11-26,231706.94,116.077,0,0.0
2025-11-27,230655.79,115.129,1,-8.68
2025-11-28,237119.1,121.005,0,0.0
2025-12-01,239621.03,123.279,0,0.0
2025-12-02,238370.07,122.142,0,0.0
2025-12-03,239725.28,123.374,0,0.0
2025-12-04,243790.91,127.07,0,0.0
2025-12-05,254215.61,136.547,0,0.0
2025-12-08,255570.82,137.779,0,0.0
2025-12-09,251817.93,134.367,0,0.0
2025-12-10,252130.67,134.652,0,0.0
2025-12-11,246814.07,129.818,0,0.0
2025-12-12,249316.0,132.093,0,0.0
2025-12-15,246918.32,129.913,0,0.0
2025-12-16,243999.41,127.259,0,0.0
2025-12-17,248065.04,130.956,0,0.0
2025-12-18,247752.3,130.671,0,0.0
2025-12-19,253068.89,135.504,0,0.0
2025-12-22,255258.08,137.495,0,0.0
2025-12-23,261825.64,143.465,0,0.0
2025-12-24,260470.43,142.233,0,0.0
2025-12-25,258019.9,139.674,1,364.14
2025-12-26,261922.13,145.266,1,-2248.35
2025-12-29,257439.5,141.191,0,0.0
2025-12-30,264528.3,147.635,0,0.0
2025-12-31,265153.78,148.204,0,0.0
2026-01-05,264945.29,148.014,0,0.0
2026-01-06,273806.28,156.07,0,0.0
2026-01-07,284647.97,165.926,0,0.0
2026-01-08,278080.41,159.955,0,0.0
2026-01-09,281207.82,162.798,0,0.0
2026-01-12,281426.49,163.746,1,-823.8
2026-01-13,282260.46,164.504,0,0.0
2026-01-14,285075.13,167.063,0,0.0
2026-01-15,290384.16,169.337,1,2807.1
2026-01-16,284129.34,163.651,0,0.0
2026-01-19,280063.71,159.955,0,0.0
2026-01-20,282148.65,161.851,0,0.0
2026-01-21,285901.54,165.262,0,0.0
2026-01-22,285901.54,165.262,0,0.0
2026-01-23,289445.94,168.484,0,0.0
2026-01-26,298619.67,176.824,0,0.0
2026-01-27,291218.14,170.096,0,0.0
2026-01-28,299453.65,177.582,0,0.0
2026-01-29,295388.02,173.886,0,0.0
2026-01-30,280181.76,157.681,1,2619.98
2026-02-02,263293.75,142.328,0,0.0
2026-02-03,274031.19,152.089,0,0.0
2026-02-04,278409.56,156.07,0,0.0
2026-02-05,271352.75,151.805,1,-2365.7
2026-02-06,275418.38,155.501,0,0.0
2026-02-09,273360.95,152.658,1,1069.98
2026-02-10,270859.02,150.383,0,0.0
2026-02-11,275654.38,154.743,0,0.0
2026-02-12,287434.29,165.452,0,0.0
2026-02-13,279407.28,158.154,0,0.0
2026-02-24,277240.8,156.354,1,-185.79
2026-02-25,285997.54,164.315,0,0.0
2026-02-26,283508.06,161.756,1,325.18
2026-02-27,286426.98,164.409,0,0.0
2026-03-02,285607.25,163.841,1,-194.25
2026-03-03,270282.94,149.91,0,0.0
2026-03-04,268719.23,148.488,0,0.0
2026-03-05,270314.87,148.393,1,1699.89
2026-03-06,266561.98,144.981,0,0.0
2026-03-09,260932.64,139.864,0,0.0
2026-03-10,263538.82,142.233,0,0.0
2026-03-11,260307.16,139.295,0,0.0
2026-03-12,255154.94,136.547,1,-2129.06
2026-03-13,253591.24,135.125,0,0.0
2026-03-16,247232.17,129.344,0,0.0
2026-03-17,244104.76,126.501,0,0.0
2026-03-18,242332.56,124.89,0,0.0
2026-03-19,233992.8,117.309,0,0.0
2026-03-20,230961.4,113.613,1,1034.23
2026-03-23,222517.39,105.936,0,0.0
2026-03-24,230544.41,113.234,0,0.0
2026-03-25,238258.69,120.246,0,0.0
2026-03-26,236694.99,118.825,0,0.0
2026-03-27,240552.13,122.331,0,0.0
2026-03-30,241803.09,123.469,0,0.0
2026-03-31,243054.05,124.606,0,0.0
2026-04-01,252123.54,132.851,0,0.0
2026-04-02,252123.54,132.851,0,0.0
2026-04-03,248579.14,129.629,0,0.0
2026-04-07,251915.05,132.661,0,0.0
2026-04-08,261867.61,141.665,1,49.1
2026-04-09,260512.4,140.433,0,0.0
