rank,in_sample_t_annual,out_sample_t_annual,signal,thr,vol_thr,take_profit,stop_loss,max_trades,hold_max,reverse
1,-0.0066,-0.1393,corr,0.3,2.0,0.015,0.012,1,60,False
2,-0.0203,-0.1644,corr,0.3,2.0,0.015,0.008,1,60,False
3,-0.0317,-0.1288,corr,0.3,1.0,0.01,0.012,1,60,True
4,-0.0391,-0.1409,corr,0.3,2.0,0.01,0.012,1,60,False
5,-0.0458,-0.0407,corr,0.3,2.0,0.015,0.008,4,60,True
6,-0.0495,-0.1718,corr,0.3,2.0,0.01,0.008,1,60,False
7,-0.0516,-0.1625,corr,0.3,2.0,0.004,0.008,1,60,False
8,-0.0536,-0.1724,corr,0.3,2.0,0.006,0.008,1,60,False
9,-0.0574,-0.0293,corr,0.3,2.0,0.01,0.008,4,60,True
10,-0.0586,-0.0499,corr,0.2,2.0,0.015,0.008,4,60,True
