variant,lookahead,param_id,signal,annual_return,t_annual,max_drawdown,sharpe,n_trades,win_rate,coverage,gross_edge,net_edge,buyhold_annual
原策略（双向、无门控）,False,corr|0.1|1.0|0.006|0.008|1|30,corr,-0.247,-0.376,-0.4861,-0.6,204,0.4657,0.8465,-0.000197,-0.002697,0.1297
原策略（双向、无门控）,False,corr|0.1|1.0|0.006|0.008|1|60,corr,-0.2119,-0.341,-0.4547,-0.525,192,0.4896,0.7967,-5e-05,-0.00255,0.1297
原策略（双向、无门控）,False,corr|0.1|1.0|0.006|0.008|2|30,corr,-0.1751,-0.3043,-0.4569,-0.445,380,0.4526,0.8963,-8.7e-05,-0.002587,0.1297
原策略（双向、无门控）,False,corr|0.1|1.0|0.006|0.008|2|60,corr,-0.1299,-0.2591,-0.4237,-0.335,376,0.5,0.8921,0.000304,-0.002196,0.1297
原策略（双向、无门控）,False,corr|0.1|1.0|0.006|0.012|1|30,corr,-0.2354,-0.3644,-0.4657,-0.576,204,0.4902,0.8465,-3.8e-05,-0.002538,0.1297
原策略（双向、无门控）,False,corr|0.1|1.0|0.006|0.012|1|60,corr,-0.2051,-0.3341,-0.4362,-0.518,192,0.5417,0.7967,0.000115,-0.002385,0.1297
原策略（双向、无门控）,False,corr|0.1|1.0|0.006|0.012|2|30,corr,-0.1562,-0.2854,-0.4399,-0.4,381,0.4777,0.9004,7e-05,-0.00243,0.1297
原策略（双向、无门控）,False,corr|0.1|1.0|0.006|0.012|2|60,corr,-0.1312,-0.2604,-0.4138,-0.337,374,0.5321,0.8963,0.000308,-0.002192,0.1297
原策略（双向、无门控）,False,corr|0.1|1.0|0.015|0.008|1|30,corr,-0.2622,-0.3912,-0.5056,-0.63,204,0.3824,0.8465,-0.000273,-0.002773,0.1297
原策略（双向、无门控）,False,corr|0.1|1.0|0.015|0.008|1|60,corr,-0.1911,-0.3203,-0.4486,-0.476,191,0.3874,0.7925,6.8e-05,-0.002432,0.1297
原策略（双向、无门控）,False,corr|0.1|1.0|0.015|0.008|2|30,corr,-0.1597,-0.2889,-0.4587,-0.408,382,0.3822,0.9046,0.000141,-0.002359,0.1297
原策略（双向、无门控）,False,corr|0.1|1.0|0.015|0.008|2|60,corr,-0.1193,-0.2485,-0.4328,-0.309,373,0.3807,0.8921,0.000438,-0.002062,0.1297
原策略（双向、无门控）,False,corr|0.1|1.0|0.015|0.012|1|30,corr,-0.2422,-0.3712,-0.4783,-0.59,204,0.4069,0.8465,-5.5e-05,-0.002555,0.1297
原策略（双向、无门控）,False,corr|0.1|1.0|0.015|0.012|1|60,corr,-0.1687,-0.2979,-0.4106,-0.431,192,0.4375,0.7967,0.000349,-0.002151,0.1297
原策略（双向、无门控）,False,corr|0.1|1.0|0.015|0.012|2|30,corr,-0.146,-0.2753,-0.4422,-0.374,379,0.3984,0.9004,0.000214,-0.002286,0.1297
原策略（双向、无门控）,False,corr|0.1|1.0|0.015|0.012|2|60,corr,-0.1336,-0.2629,-0.4301,-0.345,372,0.3952,0.8921,0.000317,-0.002183,0.1297
原策略（双向、无门控）,False,corr|0.1|2.0|0.006|0.008|1|30,corr,-0.0049,-0.1343,-0.3788,-0.014,96,0.4375,0.3983,0.000425,-0.002075,0.1297
原策略（双向、无门控）,False,corr|0.1|2.0|0.006|0.008|1|60,corr,0.0251,-0.1044,-0.3691,0.072,87,0.4943,0.361,0.000829,-0.001671,0.1297
原策略（双向、无门控）,False,corr|0.1|2.0|0.006|0.008|2|30,corr,-0.113,-0.2423,-0.4224,-0.291,275,0.3636,0.6763,-0.000411,-0.002911,0.1297
原策略（双向、无门控）,False,corr|0.1|2.0|0.006|0.008|2|60,corr,-0.1121,-0.2414,-0.4292,-0.29,269,0.4275,0.6763,-0.000435,-0.002935,0.1297
原策略（双向、无门控）,False,corr|0.1|2.0|0.006|0.012|1|30,corr,-0.0159,-0.1454,-0.3814,-0.044,96,0.4375,0.3983,0.000285,-0.002215,0.1297
原策略（双向、无门控）,False,corr|0.1|2.0|0.006|0.012|1|60,corr,0.0066,-0.1229,-0.3769,0.019,87,0.5057,0.361,0.000592,-0.001908,0.1297
原策略（双向、无门控）,False,corr|0.1|2.0|0.006|0.012|2|30,corr,-0.1186,-0.2479,-0.4203,-0.306,281,0.3737,0.6929,-0.000419,-0.002919,0.1297
原策略（双向、无门控）,False,corr|0.1|2.0|0.006|0.012|2|60,corr,-0.11,-0.2393,-0.419,-0.284,262,0.458,0.6805,-0.000464,-0.002964,0.1297
原策略（双向、无门控）,False,corr|0.1|2.0|0.015|0.008|1|30,corr,0.0406,-0.089,-0.3563,0.115,96,0.4167,0.3983,0.001035,-0.001465,0.1297
原策略（双向、无门控）,False,corr|0.1|2.0|0.015|0.008|1|60,corr,0.0737,-0.0559,-0.345,0.216,87,0.4368,0.361,0.001623,-0.000877,0.1297
原策略（双向、无门控）,False,corr|0.1|2.0|0.015|0.008|2|30,corr,-0.0978,-0.2271,-0.4196,-0.251,272,0.3199,0.6763,-0.000241,-0.002741,0.1297
原策略（双向、无门控）,False,corr|0.1|2.0|0.015|0.008|2|60,corr,-0.0864,-0.2158,-0.4241,-0.224,277,0.361,0.7095,0.0,-0.0025,0.1297
原策略（双向、无门控）,False,corr|0.1|2.0|0.015|0.012|1|30,corr,0.0327,-0.0969,-0.3581,0.093,96,0.4167,0.3983,0.000949,-0.001551,0.1297
