date,equity,close,t_trades,day_t_pnl
2025-09-08,199107.14,88.309,1,-371.63
2025-09-09,199253.79,87.646,1,876.38
2025-09-10,197273.09,85.845,0,0.0
2025-09-11,199613.96,87.835,1,151.68
2025-09-12,200384.9,89.825,1,-1418.24
2025-09-15,197197.08,87.172,1,-268.91
2025-09-16,196723.67,87.077,1,-369.16
2025-09-17,196619.43,86.982,0,0.0
2025-09-18,192970.78,83.665,0,0.0
2025-09-19,192712.38,84.044,1,-675.39
2025-09-22,190001.96,81.58,0,0.0
2025-09-23,190210.45,81.77,0,0.0
2025-09-24,190995.0,82.907,1,-466.42
2025-09-25,193913.91,85.561,0,0.0
2025-09-26,197293.32,89.92,1,-1415.95
2025-09-29,200629.22,92.953,0,0.0
2025-09-30,210428.44,101.861,0,0.0
2025-10-09,221165.88,111.622,0,0.0
2025-10-10,218771.73,109.917,1,-517.71
2025-10-13,218782.34,109.253,1,740.34
2025-10-14,212748.05,102.809,1,1054.5
2025-10-15,221504.8,110.769,0,0.0
2025-10-16,216188.2,105.936,0,0.0
2025-10-17,213060.79,103.093,0,0.0
2025-10-20,210576.81,100.534,1,330.69
2025-10-21,212661.75,102.43,0,0.0
2025-10-22,213704.22,103.377,0,0.0
2025-10-23,213078.73,102.809,0,0.0
2025-10-24,213808.46,103.472,0,0.0
2025-10-27,216009.16,106.126,1,-718.22
2025-10-28,212063.3,104.041,1,-1652.42
2025-10-29,219047.85,110.39,0,0.0
2025-10-30,220611.56,111.812,0,0.0
2025-10-31,218217.18,109.632,1,3.31
2025-11-03,214478.74,105.083,1,1265.41
2025-11-04,210725.85,101.672,0,0.0
2025-11-05,211142.83,102.051,0,0.0
2025-11-06,216667.93,107.073,0,0.0
2025-11-07,221153.56,111.054,1,107.26
2025-11-10,218657.65,110.296,1,-1661.94
2025-11-11,216781.2,108.59,0,0.0
2025-11-12,218873.43,109.253,1,1362.5
2025-11-13,230444.84,119.773,0,0.0
2025-11-14,233259.51,122.331,0,0.0
2025-11-17,237742.13,126.407,0,0.0
2025-11-18,231800.05,121.005,0,0.0
2025-11-19,232946.77,122.047,0,0.0
2025-11-20,232008.55,121.194,0,0.0
2025-11-21,220228.64,110.485,0,0.0
2025-11-24,219915.9,110.201,0,0.0
2025-11-25,228776.89,118.256,0,0.0
2025-11-26,226379.21,116.077,0,0.0
2025-11-27,226682.31,115.129,1,1345.57
2025-11-28,233145.63,121.005,0,0.0
2025-12-01,237186.94,123.279,1,1539.39
2025-12-02,235918.49,122.142,1,-17.49
2025-12-03,237273.7,123.374,0,0.0
2025-12-04,241339.33,127.07,0,0.0
2025-12-05,251764.03,136.547,0,0.0
2025-12-08,253119.24,137.779,0,0.0
2025-12-09,250577.47,134.367,1,1211.13
2025-12-10,250890.21,134.652,0,0.0
2025-12-11,245573.62,129.818,0,0.0
2025-12-12,248075.55,132.093,0,0.0
2025-12-15,247207.03,129.913,1,1529.16
2025-12-16,244288.11,127.259,0,0.0
2025-12-17,248353.75,130.956,0,0.0
2025-12-18,247585.3,130.671,1,-455.7
2025-12-19,252901.9,135.504,0,0.0
2025-12-22,253792.97,137.495,1,-1298.11
2025-12-23,260360.54,143.465,0,0.0
2025-12-24,260823.8,142.233,1,1818.47
2025-12-25,258009.13,139.674,0,0.0
2025-12-26,264159.7,145.266,0,0.0
2025-12-29,261078.32,141.191,1,1401.24
2025-12-30,268167.11,147.635,0,0.0
2025-12-31,268792.59,148.204,0,0.0
2026-01-05,268584.1,148.014,0,0.0
2026-01-06,277445.09,156.07,0,0.0
2026-01-07,289957.23,165.926,1,1670.45
2026-01-08,280062.8,159.955,1,-3326.87
2026-01-09,283190.21,162.798,0,0.0
2026-01-12,284232.68,163.746,0,0.0
2026-01-13,285066.66,164.504,0,0.0
2026-01-14,287262.97,167.063,1,-618.36
2026-01-15,291114.14,169.337,1,1349.24
2026-01-16,286742.27,163.651,1,1882.95
2026-01-19,282676.63,159.955,0,0.0
2026-01-20,286662.15,161.851,1,1900.57
2026-01-21,290415.04,165.262,0,0.0
2026-01-22,290415.04,165.262,0,0.0
2026-01-23,293959.44,168.484,0,0.0
2026-01-26,303133.17,176.824,0,0.0
2026-01-27,295731.64,170.096,0,0.0
2026-01-28,303967.15,177.582,0,0.0
2026-01-29,299901.52,173.886,0,0.0
2026-01-30,283551.92,157.681,1,1476.64
2026-02-02,268057.03,142.328,1,1393.13
2026-02-03,278794.47,152.089,0,0.0
2026-02-04,283172.85,156.07,0,0.0
2026-02-05,278481.73,151.805,0,0.0
2026-02-06,282547.36,155.501,0,0.0
2026-02-09,279029.07,152.658,1,-390.88
2026-02-10,276527.15,150.383,0,0.0
2026-02-11,281322.51,154.743,0,0.0
2026-02-12,293102.42,165.452,0,0.0
2026-02-13,285075.4,158.154,0,0.0
2026-02-24,284469.86,156.354,1,1375.15
2026-02-25,292919.24,164.315,1,-307.37
2026-02-26,290104.57,161.756,0,0.0
2026-02-27,294495.72,164.409,1,1472.23
2026-03-02,295655.92,163.841,1,1785.69
2026-03-03,280331.61,149.91,0,0.0
2026-03-04,280262.52,148.488,1,1494.62
2026-03-05,280924.67,148.393,1,766.39
2026-03-06,278568.61,144.981,1,1396.83
2026-03-09,272939.27,139.864,0,0.0
2026-03-10,276220.04,142.233,1,674.6
2026-03-11,272988.38,139.295,0,0.0
2026-03-12,269965.22,136.547,0,0.0
2026-03-13,268401.52,135.125,0,0.0
2026-03-16,261281.92,129.344,1,-760.52
2026-03-17,258154.51,126.501,0,0.0
2026-03-18,256382.32,124.89,0,0.0
2026-03-19,248042.56,117.309,0,0.0
2026-03-20,243976.92,113.613,0,0.0
2026-03-23,235532.92,105.936,0,0.0
2026-03-24,243559.93,113.234,0,0.0
2026-03-25,249592.53,120.246,1,-1681.68
2026-03-26,248028.83,118.825,0,0.0
2026-03-27,251885.97,122.331,0,0.0
2026-03-30,253136.93,123.469,0,0.0
2026-03-31,254387.9,124.606,0,0.0
2026-04-01,263457.38,132.851,0,0.0
2026-04-02,263457.38,132.851,0,0.0
2026-04-03,259912.99,129.629,0,0.0
2026-04-07,263248.89,132.661,0,0.0
2026-04-08,273152.36,141.665,0,0.0
2026-04-09,271797.14,140.433,0,0.0
2026-04-10,270233.44,139.011,0,0.0
2026-04-13,270233.44,139.011,0,0.0
2026-04-14,271275.91,139.959,0,0.0
2026-04-15,271067.42,139.769,0,0.0
2026-04-16,269766.25,139.864,1,-1405.41
2026-04-17,272524.0,142.328,1,47.33
2026-04-20,273462.23,143.181,0,0.0
2026-04-21,271009.82,142.138,1,-1305.69
2026-04-22,271843.8,142.897,0,0.0
2026-04-23,264546.51,136.263,0,0.0
2026-04-24,267048.43,138.537,0,0.0
2026-04-27,264338.01,136.073,0,0.0
2026-04-28,259334.16,131.524,0,0.0
2026-04-29,264859.25,136.547,0,0.0
2026-04-30,263087.05,134.936,0,0.0
2026-05-06,266318.71,137.874,0,0.0
2026-05-07,271531.06,142.612,0,0.0
2026-05-08,272940.19,143.465,1,470.91
2026-05-11,270438.26,141.191,0,0.0
2026-05-12,268561.82,139.485,0,0.0
2026-05-13,271584.98,142.233,0,0.0
2026-05-14,265851.4,137.021,0,0.0
2026-05-15,256233.47,126.975,1,1432.26
2026-05-18,253083.85,122.995,1,1228.75
2026-05-19,254126.32,123.943,0,0.0
2026-05-20,251415.9,121.479,0,0.0
2026-05-21,248998.41,118.256,1,1126.91
2026-05-22,253689.52,122.521,0,0.0
2026-05-25,253168.29,122.047,0,0.0
2026-05-26,261820.79,129.913,0,0.0
2026-05-27,254315.01,123.09,0,0.0
2026-05-28,252959.8,121.858,0,0.0
2026-05-29,251604.58,120.626,0,0.0
2026-06-01,251065.37,120.626,1,-539.22
2026-06-02,255339.5,124.511,0,0.0
2026-06-03,256798.95,125.838,0,0.0
