day,type,buy_time,sell_time,buy_px,sell_px,shares,pnl,pnl_pct,reason
2025-09-08,正T,2025-09-08 11:30:00,2025-09-08 13:01:00,87.835,87.646,1100,-371.63,-0.00216,超时
2025-09-09,正T,2025-09-09 09:50:00,2025-09-09 10:45:00,88.688,89.636,1100,876.38,0.01069,止盈
2025-09-11,正T,2025-09-11 11:24:00,2025-09-11 13:01:00,86.414,86.698,1100,151.68,0.00329,超时
2025-09-12,正T,2025-09-12 10:37:00,2025-09-12 10:57:00,90.678,89.541,1100,-1418.24,-0.01254,止损
2025-09-15,反T,2025-09-15 13:01:00,2025-09-15 11:23:00,88.593,88.499,1100,-268.91,-0.00107,超时
2025-09-16,正T,2025-09-16 11:26:00,2025-09-16 13:01:00,86.508,86.319,1100,-369.16,-0.00219,超时
2025-09-19,反T,2025-09-19 11:13:00,2025-09-19 10:13:00,83.191,82.718,1100,-675.39,-0.0057,超时
2025-09-24,正T,2025-09-24 11:00:00,2025-09-24 13:01:00,82.812,82.528,1100,-466.42,-0.00343,超时
2025-09-26,反T,2025-09-26 10:58:00,2025-09-26 10:43:00,89.446,88.309,1100,-1415.95,-0.01271,止损
2025-10-10,反T,2025-10-10 13:01:00,2025-10-10 11:06:00,110.39,110.106,1100,-517.71,-0.00258,超时
2025-10-13,反T,2025-10-13 13:01:00,2025-10-13 11:16:00,105.841,106.694,1100,740.34,0.00806,超时
2025-10-14,反T,2025-10-14 13:50:00,2025-10-14 13:43:00,104.894,106.031,1100,1054.5,0.01084,止盈
2025-10-20,反T,2025-10-20 13:01:00,2025-10-20 10:40:00,102.145,102.619,1100,330.69,0.00464,超时
2025-10-27,反T,2025-10-27 14:03:00,2025-10-27 13:03:00,106.221,105.747,1100,-718.22,-0.00446,超时
2025-10-28,反T,2025-10-28 14:15:00,2025-10-28 13:45:00,104.609,103.283,1100,-1652.42,-0.01268,止损
2025-10-31,反T,2025-10-31 13:01:00,2025-10-31 11:22:00,110.201,110.39,1100,3.31,0.00172,超时
2025-11-03,反T,2025-11-03 10:00:00,2025-11-03 09:52:00,103.472,104.799,1100,1265.41,0.01282,止盈
2025-11-07,反T,2025-11-07 13:01:00,2025-11-07 10:56:00,110.296,110.58,1100,107.26,0.00258,超时
2025-11-10,反T,2025-11-10 10:48:00,2025-11-10 10:38:00,109.727,108.4,1100,-1661.94,-0.01209,止损
2025-11-12,反T,2025-11-12 13:01:00,2025-11-12 11:02:00,107.263,108.685,1100,1362.5,0.01325,止盈
2025-11-27,反T,2025-11-27 11:11:00,2025-11-27 10:49:00,116.361,117.782,1100,1345.57,0.01222,止盈
2025-12-01,反T,2025-12-01 10:13:00,2025-12-01 10:08:00,124.132,125.743,1100,1539.39,0.01298,止盈
2025-12-02,反T,2025-12-02 14:01:00,2025-12-02 13:01:00,121.384,121.573,1100,-17.49,0.00156,超时
2025-12-09,反T,2025-12-09 10:30:00,2025-12-09 10:02:00,132.661,133.988,1100,1211.13,0.01,止盈
2025-12-15,反T,2025-12-15 11:21:00,2025-12-15 11:09:00,129.629,131.24,1100,1529.16,0.01243,止盈
