param_id,signal,gate,min_breadth,min_day_ret,min_vol_z,annual_return,t_annual,max_drawdown,sharpe,n_trades,coverage,gross_edge,net_edge,buyhold_annual
corr|0.1|1.0|0.006|0.008|1|30|False,corr,无门控,0.0,-1.0,-99.0,-0.1018,-0.2429,-0.418,-0.273,205,0.8506,-4e-06,-0.001695,0.1415
corr|0.1|1.0|0.006|0.008|1|30|False,corr,宽度≥0.30,0.3,-1.0,-99.0,-0.105,-0.2461,-0.4208,-0.282,182,0.7552,-0.000215,-0.001906,0.1415
corr|0.1|1.0|0.006|0.008|1|30|False,corr,宽度≥0.40,0.4,-1.0,-99.0,-0.0391,-0.1804,-0.3977,-0.108,139,0.5768,-0.000199,-0.00189,0.1415
corr|0.1|1.0|0.006|0.008|1|30|False,corr,大盘≥0,0.0,0.0,-99.0,0.0296,-0.1118,-0.3449,0.084,140,0.5809,0.000411,-0.00128,0.1415
corr|0.1|1.0|0.006|0.008|1|30|False,corr,大盘≥-0.5%,0.0,-0.005,-99.0,-0.0735,-0.2147,-0.3931,-0.199,181,0.751,-9.3e-05,-0.001784,0.1415
corr|0.1|1.0|0.006|0.008|1|30|False,corr,量能≥-0.8,0.0,-1.0,-0.8,-0.0393,-0.1805,-0.3985,-0.112,189,0.7842,0.000271,-0.00142,0.1415
corr|0.1|1.0|0.006|0.008|1|30|False,corr,量能≥-0.3,0.0,-1.0,-0.3,0.0063,-0.135,-0.3666,0.018,59,0.2448,-0.001642,-0.003333,0.1415
corr|0.1|1.0|0.006|0.008|1|30|False,corr,宽度0.30+大盘≥0,0.3,0.0,-99.0,-0.0171,-0.1584,-0.3799,-0.048,123,0.5104,-0.000168,-0.001859,0.1415
corr|0.1|1.0|0.006|0.008|1|30|True,corr,无门控,0.0,-1.0,-99.0,-0.0779,-0.219,-0.4012,-0.224,236,0.9793,0.000418,-0.001272,0.1415
corr|0.1|1.0|0.006|0.008|1|30|True,corr,宽度≥0.30,0.3,-1.0,-99.0,-0.023,-0.1643,-0.3887,-0.068,232,0.9627,0.000658,-0.001033,0.1415
corr|0.1|1.0|0.006|0.008|1|30|True,corr,宽度≥0.40,0.4,-1.0,-99.0,-0.0134,-0.1547,-0.3781,-0.04,205,0.8506,0.000504,-0.001187,0.1415
corr|0.1|1.0|0.006|0.008|1|30|True,corr,大盘≥0,0.0,0.0,-99.0,-0.0197,-0.161,-0.3934,-0.057,171,0.7095,0.000395,-0.001296,0.1415
corr|0.1|1.0|0.006|0.008|1|30|True,corr,大盘≥-0.5%,0.0,-0.005,-99.0,-0.0827,-0.2239,-0.4112,-0.234,216,0.8963,0.000343,-0.001348,0.1415
corr|0.1|1.0|0.006|0.008|1|30|True,corr,量能≥-0.8,0.0,-1.0,-0.8,-0.0498,-0.191,-0.3966,-0.144,232,0.9627,0.000501,-0.00119,0.1415
corr|0.1|1.0|0.006|0.008|1|30|True,corr,量能≥-0.3,0.0,-1.0,-0.3,0.0259,-0.1154,-0.3878,0.076,148,0.6141,0.000527,-0.001163,0.1415
corr|0.1|1.0|0.006|0.008|1|30|True,corr,宽度0.30+大盘≥0,0.3,0.0,-99.0,-0.0085,-0.1497,-0.3934,-0.025,164,0.6805,0.00044,-0.00125,0.1415
corr|0.1|1.0|0.006|0.008|1|60|False,corr,无门控,0.0,-1.0,-99.0,-0.0797,-0.2209,-0.3932,-0.215,192,0.7967,8.1e-05,-0.00161,0.1415
corr|0.1|1.0|0.006|0.008|1|60|False,corr,宽度≥0.30,0.3,-1.0,-99.0,-0.0652,-0.2064,-0.3927,-0.179,165,0.6846,-0.0,-0.001691,0.1415
corr|0.1|1.0|0.006|0.008|1|60|False,corr,宽度≥0.40,0.4,-1.0,-99.0,-0.0181,-0.1594,-0.384,-0.051,121,0.5021,-0.000132,-0.001822,0.1415
corr|0.1|1.0|0.006|0.008|1|60|False,corr,大盘≥0,0.0,0.0,-99.0,0.0753,-0.0661,-0.3178,0.22,130,0.5394,0.000916,-0.000774,0.1415
corr|0.1|1.0|0.006|0.008|1|60|False,corr,大盘≥-0.5%,0.0,-0.005,-99.0,-0.0291,-0.1703,-0.3582,-0.08,169,0.7012,0.000233,-0.001458,0.1415
corr|0.1|1.0|0.006|0.008|1|60|False,corr,量能≥-0.8,0.0,-1.0,-0.8,-0.0213,-0.1625,-0.3883,-0.061,168,0.6971,0.000293,-0.001398,0.1415
corr|0.1|1.0|0.006|0.008|1|60|False,corr,量能≥-0.3,0.0,-1.0,-0.3,0.0391,-0.1023,-0.3546,0.113,47,0.195,-0.00143,-0.00312,0.1415
corr|0.1|1.0|0.006|0.008|1|60|False,corr,宽度0.30+大盘≥0,0.3,0.0,-99.0,0.0276,-0.1138,-0.3541,0.08,111,0.4606,0.000213,-0.001478,0.1415
corr|0.1|1.0|0.006|0.008|1|60|True,corr,无门控,0.0,-1.0,-99.0,-0.0721,-0.2132,-0.3921,-0.209,232,0.9627,0.000359,-0.001332,0.1415
corr|0.1|1.0|0.006|0.008|1|60|True,corr,宽度≥0.30,0.3,-1.0,-99.0,-0.0215,-0.1627,-0.3776,-0.063,226,0.9378,0.000566,-0.001125,0.1415
corr|0.1|1.0|0.006|0.008|1|60|True,corr,宽度≥0.40,0.4,-1.0,-99.0,0.0136,-0.1277,-0.358,0.041,192,0.7967,0.000576,-0.001115,0.1415
corr|0.1|1.0|0.006|0.008|1|60|True,corr,大盘≥0,0.0,0.0,-99.0,0.0075,-0.1338,-0.3631,0.022,161,0.668,0.00046,-0.001231,0.1415
corr|0.1|1.0|0.006|0.008|1|60|True,corr,大盘≥-0.5%,0.0,-0.005,-99.0,-0.0647,-0.2059,-0.3931,-0.184,211,0.8755,0.000367,-0.001323,0.1415
corr|0.1|1.0|0.006|0.008|1|60|True,corr,量能≥-0.8,0.0,-1.0,-0.8,-0.0756,-0.2168,-0.396,-0.216,226,0.9378,0.000284,-0.001407,0.1415
corr|0.1|1.0|0.006|0.008|1|60|True,corr,量能≥-0.3,0.0,-1.0,-0.3,-0.0033,-0.1446,-0.3999,-0.01,132,0.5477,2.4e-05,-0.001667,0.1415
corr|0.1|1.0|0.006|0.008|1|60|True,corr,宽度0.30+大盘≥0,0.3,0.0,-99.0,0.0027,-0.1386,-0.3699,0.008,152,0.6307,0.000309,-0.001382,0.1415
