total_return,annual_return,max_drawdown,sharpe,trading_days,n_trades,trades_per_day,days_with_trade,coverage,win_rate,t_pnl,t_return,t_annual,gross_edge,net_edge,avg_trade_amount,effective_round_trip,n_unclosed,buyhold_annual,date_range,gate_pass_pct,signal,thr,vol_thr,take_profit,stop_loss,max_trades,hold_max,reverse,min_breadth,min_day_ret,min_vol_z,gated
0.2198,0.2228,-0.2676,0.71,241,80,0.33,80,0.332,0.5875,16027.32,0.0801,0.0812,0.002695,0.001004,134021.15,0.001691,0,0.1415,"['2025-09-08', '2026-09-04']",0.3128,pulse,0.005,2.0,0.01,0.012,1,60,True,0.3,-0.005,-0.8,True
0.2186,0.2216,-0.2923,0.721,241,55,0.23,55,0.2282,0.5273,15783.87,0.0789,0.0799,0.003257,0.001566,138209.46,0.001691,0,0.1415,"['2025-09-08', '2026-09-04']",0.3128,corr,0.3,2.0,0.015,0.012,1,60,True,0.3,-0.005,-0.8,True
0.2113,0.2141,-0.3016,0.679,241,50,0.21,50,0.2075,0.58,14313.07,0.0716,0.0725,0.004047,0.002356,126316.61,0.001691,0,0.1415,"['2025-09-08', '2026-09-04']",0.7309,corr,0.3,2.0,0.015,0.012,1,60,False,0.0,-1.0,-0.8,True
0.2108,0.2137,-0.2921,0.696,241,55,0.23,55,0.2282,0.5455,14219.24,0.0711,0.072,0.00304,0.001349,138237.86,0.001691,0,0.1415,"['2025-09-08', '2026-09-04']",0.3128,corr,0.3,2.0,0.01,0.012,1,60,True,0.3,-0.005,-0.8,True
0.21,0.2129,-0.2948,0.696,241,73,0.3,73,0.3029,0.5068,14070.35,0.0704,0.0713,0.002662,0.000971,136573.83,0.001691,0,0.1415,"['2025-09-08', '2026-09-04']",0.3636,corr,0.3,2.0,0.015,0.008,1,60,True,0.3,-1.0,-0.8,True
0.2066,0.2094,-0.2921,0.663,241,50,0.21,50,0.2075,0.6,13373.94,0.0669,0.0677,0.003988,0.002297,126339.53,0.001691,0,0.1415,"['2025-09-08', '2026-09-04']",0.7309,corr,0.3,2.0,0.01,0.012,1,60,False,0.0,-1.0,-0.8,True
0.2043,0.2071,-0.2983,0.675,241,73,0.3,73,0.3029,0.5342,12923.84,0.0646,0.0654,0.002672,0.000982,136582.39,0.001691,0,0.1415,"['2025-09-08', '2026-09-04']",0.3636,corr,0.3,2.0,0.015,0.012,1,60,True,0.3,-1.0,-0.8,True
0.204,0.2068,-0.2995,0.667,241,55,0.23,55,0.2282,0.5091,12863.22,0.0643,0.0651,0.002868,0.001177,138262.52,0.001691,0,0.1415,"['2025-09-08', '2026-09-04']",0.3128,corr,0.3,2.0,0.015,0.008,1,60,True,0.3,-0.005,-0.8,True
0.204,0.2068,-0.2942,0.672,241,55,0.23,55,0.2282,0.5273,12863.22,0.0643,0.0651,0.002811,0.001121,138262.48,0.001691,0,0.1415,"['2025-09-08', '2026-09-04']",0.3128,corr,0.3,2.0,0.01,0.008,1,60,True,0.3,-0.005,-0.8,True
0.2005,0.2033,-0.2801,0.646,241,92,0.38,92,0.3817,0.5652,12169.75,0.0608,0.0616,0.002235,0.000544,133975.31,0.001691,0,0.1415,"['2025-09-08', '2026-09-04']",0.3128,pulse,0.003,2.0,0.01,0.012,1,60,True,0.3,-0.005,-0.8,True
