rank,in_sample_t_annual,out_sample_t_annual,buy_gap,sell_gap,max_trades,stop_loss,take_profit,range_filter,momentum
1,0.1993,-0.0664,0.025,0.01,1,0.015,0.0,False,True
2,0.1972,-0.1216,0.018,0.01,1,0.015,0.008,False,True
3,0.158,-0.1508,0.018,0.01,1,0.015,0.0,False,True
4,0.1534,-0.1147,0.018,0.01,1,0.015,0.012,False,True
5,0.1478,-0.0834,0.025,0.01,1,0.025,0.012,True,True
6,0.1464,-0.085,0.025,0.01,1,0.015,0.012,False,True
7,0.1452,-0.1066,0.025,0.01,1,0.025,0.0,False,True
8,0.142,-0.0964,0.018,0.01,1,0.025,0.008,False,True
9,0.1376,-0.0764,0.025,0.01,1,0.015,0.012,True,True
10,0.135,-0.0495,0.025,0.01,1,0.008,0.0,False,True
