,equity,returns,drawdown
2016-01-04,1000000.0,0.0,0.0
2016-01-05,1000000.0,0.0,0.0
2016-01-06,1000000.0,0.0,0.0
2016-01-07,1000000.0,0.0,0.0
2016-01-08,1000000.0,0.0,0.0
2016-01-11,1000000.0,0.0,0.0
2016-01-12,1000000.0,0.0,0.0
2016-01-13,1000000.0,0.0,0.0
2016-01-14,1000000.0,0.0,0.0
2016-01-15,1000000.0,0.0,0.0
2016-01-18,1000000.0,0.0,0.0
2016-01-19,1000000.0,0.0,0.0
2016-01-20,1000000.0,0.0,0.0
2016-01-21,1000000.0,0.0,0.0
2016-01-22,1000000.0,0.0,0.0
2016-01-25,1000000.0,0.0,0.0
2016-01-26,1000000.0,0.0,0.0
2016-01-27,1000000.0,0.0,0.0
2016-01-28,1000000.0,0.0,0.0
2016-01-29,1000000.0,0.0,0.0
2016-02-01,1000000.0,0.0,0.0
2016-02-02,1000000.0,0.0,0.0
2016-02-03,1000000.0,0.0,0.0
2016-02-04,1000000.0,0.0,0.0
2016-02-05,1000000.0,0.0,0.0
2016-02-15,1000000.0,0.0,0.0
2016-02-16,1000000.0,0.0,0.0
2016-02-17,1000000.0,0.0,0.0
2016-02-18,1000000.0,0.0,0.0
2016-02-19,1000000.0,0.0,0.0
2016-02-22,1000000.0,0.0,0.0
2016-02-23,1000000.0,0.0,0.0
2016-02-24,1000000.0,0.0,0.0
2016-02-25,1000000.0,0.0,0.0
2016-02-26,1000000.0,0.0,0.0
2016-02-29,1000000.0,0.0,0.0
2016-03-01,1000000.0,0.0,0.0
2016-03-02,1000000.0,0.0,0.0
2016-03-03,1000000.0,0.0,0.0
2016-03-04,1000000.0,0.0,0.0
2016-03-07,1000000.0,0.0,0.0
2016-03-08,1000000.0,0.0,0.0
2016-03-09,1000000.0,0.0,0.0
2016-03-10,1000000.0,0.0,0.0
2016-03-11,1000000.0,0.0,0.0
2016-03-14,1000000.0,0.0,0.0
2016-03-15,1000000.0,0.0,0.0
2016-03-16,1000000.0,0.0,0.0
2016-03-17,1000000.0,0.0,0.0
2016-03-18,1000000.0,0.0,0.0
2016-03-21,1000000.0,0.0,0.0
2016-03-22,999243.78551,-0.0007562144900000733,-0.0007562144900000733
2016-03-23,999595.98551,0.0003524665403051852,-0.0004040144899999376
2016-03-24,996660.98551,-0.0029361862617951484,-0.0033390144899999585
2016-03-25,997424.08551,0.0007656565382756497,-0.002575914489999942
2016-03-28,995663.08551,-0.0017655479004194952,-0.0043369144899999545
2016-03-29,994136.8855099999,-0.0015328478299647674,-0.005863114490000099
2016-03-30,999185.08551,0.00507797273552546,-0.0008149144900000405
2016-03-31,998832.8855099999,-0.00035248724696512745,-0.0011671144900000652
2016-04-01,999419.8855099999,0.0005876858967255316,-0.000580114490000061
2016-04-05,1001239.58551,0.0018207562470817784,0.0
2016-04-06,1000887.38551,-0.0003517639584940113,-0.0003517639584940113
2016-04-07,998539.3855099999,-0.0023459182661230704,-0.0026968570151215676
2016-04-08,996954.48551,-0.0015872183140682727,-0.004279794828344952
2016-04-11,999008.98551,0.0020607761235449384,-0.002227838403796034
2016-04-12,998774.18551,-0.0002350329210304425,-0.0024623477094587454
2016-04-13,1001180.8855099999,0.002409653788529864,-5.862732641570556e-05
2016-04-14,1001885.2855100001,0.0007035691653674014,0.0
2016-04-15,1002061.3855099999,0.00017576862595625187,0.0
2016-04-18,999361.18551,-0.0026946452972296253,-0.0026946452972296253
2016-04-19,999595.98551,0.00023495008952156837,-0.0024603283148617594
2016-04-20,996308.78551,-0.003288528613210606,-0.005740766068011105
2016-04-21,995428.2855100001,-0.00088376215567465,-0.006619454751890186
2016-04-22,996250.08551,0.0008255742899438978,-0.005799345313602933
2016-04-25,995663.08551,-0.0005892094851861485,-0.006385137769522431
2016-04-26,996719.68551,0.0010612023438216767,-0.005330711348867423
2016-04-27,995839.18551,-0.0008833978226782113,-0.006209400032746615
2016-04-28,995721.7855100001,-0.00011789052058619465,-0.006326558523930492
2016-04-29,995486.98551,-0.00023580884079965614,-0.006560875506298358
2016-05-03,999067.68551,0.003596933010797221,-0.00298754152518943
2016-05-04,998363.28551,-0.0007050573351699008,-0.0036904924722928056
