datetime,symbol,direction,price,volume,commission,amount,strategy
2016-03-22,510300.SSE,买入,3.395,58700,51.81,199286.5,BreakoutStrategy
2016-05-10,510300.SSE,卖出,3.2170000000000005,58700,237.94,188837.9,BreakoutStrategy
2016-07-05,510300.SSE,买入,3.388,58500,51.53,198198.0,BreakoutStrategy
2016-07-08,510300.SSE,买入,3.411,58100,51.53,198179.1,BreakoutStrategy
2016-07-13,510300.SSE,买入,3.497,57300,52.1,200378.1,BreakoutStrategy
2016-07-28,510300.SSE,卖出,3.4020000000000006,173900,745.43,591607.8,BreakoutStrategy
2016-08-15,510300.SSE,买入,3.532,55900,51.33,197438.8,BreakoutStrategy
2016-08-16,510300.SSE,买入,3.634,54600,51.59,198416.4,BreakoutStrategy
2016-08-26,510300.SSE,卖出,3.5250000000000004,110500,490.79,389512.5,BreakoutStrategy
2016-10-25,510300.SSE,买入,3.609,54200,50.86,195607.8,BreakoutStrategy
2016-11-11,510300.SSE,买入,3.626,53900,50.81,195441.4,BreakoutStrategy
2016-11-14,510300.SSE,买入,3.653,53600,50.91,195800.8,BreakoutStrategy
2016-11-23,510300.SSE,买入,3.713,53300,51.45,197902.9,BreakoutStrategy
2016-12-13,510300.SSE,卖出,3.6090000000000004,215000,977.68,775935.0,BreakoutStrategy
2017-02-03,510300.SSE,买入,3.619,53500,50.34,193616.5,BreakoutStrategy
2017-02-13,510300.SSE,买入,3.644,53200,50.4,193860.8,BreakoutStrategy
2017-02-14,510300.SSE,买入,3.6630000000000003,53000,50.48,194139.0,BreakoutStrategy
2017-02-21,510300.SSE,买入,3.7060000000000004,52700,50.78,195306.2,BreakoutStrategy
2017-03-06,510300.SSE,卖出,3.6360000000000006,212400,973.08,772286.4,BreakoutStrategy
2017-04-06,510300.SSE,买入,3.7410000000000005,51400,49.99,192287.4,BreakoutStrategy
2017-04-20,510300.SSE,卖出,3.6480000000000006,51400,236.26,187507.2,BreakoutStrategy
