datetime,symbol,direction,price,volume,commission,amount,strategy
2016-02-03,300168.SZSE,买入,229.01,200.0,11.91,45802.0,BreakoutStrategy
2016-02-04,002032.SZSE,买入,144.09753600000005,900.0,33.72,129687.78,BreakoutStrategy
2016-02-04,600521.SSE,买入,181.93783800000003,600.0,28.38,109162.7,BreakoutStrategy
2016-02-05,300144.SZSE,买入,214.81988849400003,200.0,11.17,42963.98,BreakoutStrategy
2016-02-15,300347.SZSE,买入,217.61000000000004,200.0,11.32,43522.0,BreakoutStrategy
2016-02-16,300168.SZSE,买入,249.00999999999996,100.0,6.47,24901.0,BreakoutStrategy
2016-02-16,600998.SSE,买入,19.200000000000006,3000.0,14.98,57600.0,BreakoutStrategy
2016-02-17,000703.SZSE,买入,52.48660600000001,900.0,12.28,47237.95,BreakoutStrategy
2016-02-17,002008.SZSE,买入,259.72387499999996,200.0,13.51,51944.77,BreakoutStrategy
2016-02-17,002032.SZSE,买入,147.61104600000007,500.0,19.19,73805.52,BreakoutStrategy
2016-02-17,002299.SZSE,买入,43.5,1200.0,13.57,52200.0,BreakoutStrategy
2016-02-17,300017.SZSE,买入,442.68899581965906,100.0,11.51,44268.9,BreakoutStrategy
2016-02-22,002299.SZSE,买入,46.16,700.0,8.4,32312.0,BreakoutStrategy
2016-02-24,000703.SZSE,买入,54.58172499999999,400.0,5.68,21832.69,BreakoutStrategy
2016-02-24,002299.SZSE,买入,47.879999999999995,700.0,8.71,33516.0,BreakoutStrategy
2016-02-24,600521.SSE,买入,188.34428999999997,200.0,9.79,37668.86,BreakoutStrategy
2016-02-25,600521.SSE,买入,197.598054,200.0,10.28,39519.61,BreakoutStrategy
2016-02-26,002008.SZSE,卖出,237.28712500000006,200.0,59.8,47457.43,BreakoutStrategy
2016-02-26,300017.SZSE,卖出,390.94879728495147,100.0,49.26,39094.88,BreakoutStrategy
2016-02-26,300144.SZSE,卖出,189.53683228000003,200.0,47.76,37907.37,BreakoutStrategy
2016-02-26,600998.SSE,卖出,16.720000000000002,3000.0,63.2,50160.0,BreakoutStrategy
2016-02-29,300168.SZSE,卖出,220.02999999999997,300.0,83.17,66009.0,BreakoutStrategy
2016-02-29,600521.SSE,卖出,188.18192440000004,1000.0,237.11,188181.92,BreakoutStrategy
2016-02-29,601699.SSE,买入,46.7716,600.0,7.3,28062.96,BreakoutStrategy
2016-02-29,603899.SSE,买入,36.06,900.0,8.44,32454.0,BreakoutStrategy
2016-03-01,000629.SZSE,买入,13.943699999999996,4000.0,14.5,55774.8,BreakoutStrategy
2016-03-01,000703.SZSE,买入,59.03942500000001,600.0,9.21,35423.66,BreakoutStrategy
2016-03-01,000937.SZSE,买入,36.243999999999986,1600.0,15.08,57990.4,BreakoutStrategy
2016-03-01,002032.SZSE,买入,151.92764400000002,500.0,19.75,75963.82,BreakoutStrategy
2016-03-01,002085.SZSE,买入,72.84000000000003,600.0,11.36,43704.0,BreakoutStrategy
2016-03-01,002299.SZSE,买入,49.12,900.0,11.49,44208.0,BreakoutStrategy
2016-03-02,000629.SZSE,买入,14.470199999999998,1600.0,6.02,23152.32,BreakoutStrategy
2016-03-02,600376.SSE,买入,68.48536000000001,200.0,5.14,13697.07,BreakoutStrategy
2016-03-03,000703.SZSE,买入,61.31285200000001,200.0,5.12,12262.57,BreakoutStrategy
2016-03-03,000937.SZSE,买入,37.54399999999999,500.0,5.19,18772.0,BreakoutStrategy
2016-03-03,002032.SZSE,买入,155.29057500000005,300.0,12.11,46587.17,BreakoutStrategy
2016-03-03,002085.SZSE,买入,77.68000000000002,200.0,5.16,15536.0,BreakoutStrategy
2016-03-03,600376.SSE,买入,75.23860000000002,200.0,5.15,15047.72,BreakoutStrategy
2016-03-03,601699.SSE,买入,49.67319999999999,200.0,5.1,9934.64,BreakoutStrategy
2016-03-08,002085.SZSE,买入,79.25300000000001,100.0,5.08,7925.3,BreakoutStrategy
2016-03-09,600376.SSE,卖出,68.70872,400.0,34.63,27483.49,BreakoutStrategy
2016-03-09,000629.SZSE,买入,14.470199999999998,500.0,5.07,7235.1,BreakoutStrategy
2016-03-10,002299.SZSE,卖出,47.379999999999995,3500.0,208.95,165830.0,BreakoutStrategy
2016-03-10,601699.SSE,卖出,43.522400000000005,800.0,43.87,34817.92,BreakoutStrategy
2016-03-10,601969.SSE,买入,13.54,100.0,5.01,1354.0,BreakoutStrategy
2016-03-11,000703.SZSE,卖出,53.53645399999999,2100.0,141.66,112426.55,BreakoutStrategy
2016-03-11,603899.SSE,卖出,33.04,900.0,37.47,29736.0,BreakoutStrategy
2016-03-14,000629.SZSE,卖出,13.993899999999995,6100.0,107.56,85362.79,BreakoutStrategy
2016-03-14,000937.SZSE,卖出,34.976,2100.0,92.55,73449.6,BreakoutStrategy
2016-03-14,601969.SSE,卖出,11.91,100.0,6.2,1191.0,BreakoutStrategy
2016-03-22,000008.SZSE,买入,323.1482603300001,100.0,8.4,32314.83,BreakoutStrategy
2016-03-22,000623.SZSE,买入,450.4340712746801,100.0,11.71,45043.41,BreakoutStrategy
2016-03-22,000686.SZSE,买入,187.22231151270066,300.0,14.6,56166.69,BreakoutStrategy
2016-03-22,000728.SZSE,买入,31.498800000000013,1800.0,14.74,56697.84,BreakoutStrategy
2016-03-22,000750.SZSE,买入,90.70500000000004,600.0,14.15,54423.0,BreakoutStrategy
2016-03-22,000783.SZSE,买入,59.552355999999996,1100.0,17.03,65507.59,BreakoutStrategy
2016-03-22,002081.SZSE,买入,271.92640625,100.0,7.07,27192.64,BreakoutStrategy
2016-03-22,002085.SZSE,买入,83.24600000000002,800.0,17.32,66596.8,BreakoutStrategy
2016-03-24,000750.SZSE,买入,89.48819999999999,100.0,5.09,8948.82,BreakoutStrategy
2016-03-25,002085.SZSE,卖出,81.53200000000002,1700.0,174.64,138604.4,BreakoutStrategy
2016-03-25,603806.SSE,买入,40.06,400.0,5.16,16024.0,BreakoutStrategy
2016-03-29,000750.SZSE,买入,96.68760000000003,300.0,7.54,29006.28,BreakoutStrategy
2016-03-30,000728.SZSE,卖出,30.26200000000001,1800.0,68.63,54471.6,BreakoutStrategy
2016-03-30,002085.SZSE,买入,89.78000000000003,200.0,5.18,17956.0,BreakoutStrategy
2016-04-01,000750.SZSE,买入,101.65620000000001,200.0,5.29,20331.24,BreakoutStrategy
2016-04-01,002081.SZSE,买入,300.8016406250001,100.0,7.82,30080.16,BreakoutStrategy
2016-04-11,000623.SZSE,卖出,438.1228233062003,100.0,55.2,43812.28,BreakoutStrategy
2016-04-11,002470.SZSE,买入,33.87,900.0,7.93,30483.0,BreakoutStrategy
2016-04-12,002470.SZSE,买入,33.41,1100.0,9.56,36751.0,BreakoutStrategy
2016-04-12,300347.SZSE,买入,235.85000000000002,100.0,6.13,23585.0,BreakoutStrategy
2016-04-15,603806.SSE,买入,41.160000000000004,500.0,5.35,20580.0,BreakoutStrategy
2016-04-21,000686.SZSE,卖出,176.58855440661395,300.0,66.75,52976.57,BreakoutStrategy
2016-04-21,000750.SZSE,卖出,96.66760000000002,1200.0,146.16,116001.12,BreakoutStrategy
2016-04-21,000783.SZSE,卖出,54.76250000000001,1100.0,75.9,60238.75,BreakoutStrategy
2016-04-21,002081.SZSE,卖出,274.6401562500001,200.0,69.21,54928.03,BreakoutStrategy
2016-04-21,002085.SZSE,卖出,85.646,200.0,22.3,17129.2,BreakoutStrategy
2016-04-21,002470.SZSE,卖出,31.509999999999994,2000.0,79.41,63020.0,BreakoutStrategy
2016-04-21,603806.SSE,卖出,38.59000000000001,900.0,43.76,34731.0,BreakoutStrategy
2016-04-21,600060.SSE,买入,137.97111999999996,100.0,5.14,13797.11,BreakoutStrategy
2016-04-22,300136.SZSE,买入,263.13,200.0,13.68,52626.0,BreakoutStrategy
2016-04-22,601118.SSE,买入,6.842,8500.0,15.12,58157.0,BreakoutStrategy
2016-04-25,601118.SSE,卖出,6.422,8500.0,68.78,54587.0,BreakoutStrategy
2016-04-25,000540.SZSE,买入,27.033285926574237,2700.0,18.98,72989.87,BreakoutStrategy
2016-04-25,002508.SZSE,买入,159.3,200.0,8.28,31860.0,BreakoutStrategy
2016-04-26,300347.SZSE,买入,241.61000000000004,200.0,12.56,48322.0,BreakoutStrategy
2016-04-26,600867.SSE,买入,589.375107965421,100.0,15.32,58937.51,BreakoutStrategy
2016-04-26,601799.SSE,买入,41.48499999999999,600.0,6.47,24891.0,BreakoutStrategy
2016-04-27,000008.SZSE,买入,348.39122350400004,100.0,9.06,34839.12,BreakoutStrategy
2016-04-27,000413.SZSE,买入,0.8693,49900.0,11.28,43378.07,BreakoutStrategy
2016-04-27,300347.SZSE,买入,246.01000000000002,100.0,6.4,24601.0,BreakoutStrategy
2016-04-28,601799.SSE,买入,44.40499999999999,200.0,5.09,8881.0,BreakoutStrategy
2016-04-29,002032.SZSE,卖出,178.71070600000004,2200.0,495.39,393163.55,BreakoutStrategy
2016-04-29,600060.SSE,卖出,134.83891999999994,100.0,18.62,13483.89,BreakoutStrategy
2016-04-29,002603.SZSE,买入,40.01997660000001,300.0,5.12,12005.99,BreakoutStrategy
2016-05-03,002007.SZSE,买入,546.9575955199999,100.0,14.22,54695.76,BreakoutStrategy
2016-05-04,002007.SZSE,买入,584.2956665599997,100.0,15.19,58429.57,BreakoutStrategy
2016-05-04,600867.SSE,买入,609.7691817551104,100.0,15.85,60976.92,BreakoutStrategy
2016-05-05,000008.SZSE,买入,352.2747563000001,100.0,9.16,35227.48,BreakoutStrategy
2016-05-05,601799.SSE,买入,47.20499999999999,600.0,7.36,28323.0,BreakoutStrategy
2016-05-09,002007.SZSE,卖出,551.3369452799999,200.0,138.94,110267.39,BreakoutStrategy
2016-05-09,300136.SZSE,卖出,240.63000000000005,200.0,60.64,48126.0,BreakoutStrategy
2016-05-10,000008.SZSE,卖出,337.691508315,300.0,127.65,101307.45,BreakoutStrategy
2016-05-10,002603.SZSE,卖出,37.425976600000006,300.0,16.34,11227.79,BreakoutStrategy
2016-05-13,300347.SZSE,卖出,240.15000000000003,600.0,181.55,144090.0,BreakoutStrategy
