datetime,symbol,direction,price,volume,commission,amount,strategy
2016-02-03,300168.SZSE,买入,229.01,200,11.91,45802.0,BreakoutStrategy
2016-02-04,002032.SZSE,买入,144.09753600000005,900,33.72,129687.78,BreakoutStrategy
2016-02-04,600521.SSE,买入,181.93783800000003,600,28.38,109162.7,BreakoutStrategy
2016-02-05,300144.SZSE,买入,214.81988849400003,200,11.17,42963.98,BreakoutStrategy
2016-02-15,300347.SZSE,买入,217.61000000000004,200,11.32,43522.0,BreakoutStrategy
2016-02-16,300168.SZSE,买入,249.00999999999996,100,6.47,24901.0,BreakoutStrategy
2016-02-16,600998.SSE,买入,19.200000000000006,3000,14.98,57600.0,BreakoutStrategy
2016-02-17,000703.SZSE,买入,52.48660600000001,900,12.28,47237.95,BreakoutStrategy
2016-02-17,002008.SZSE,买入,259.72387499999996,200,13.51,51944.77,BreakoutStrategy
2016-02-17,002032.SZSE,买入,147.61104600000007,500,19.19,73805.52,BreakoutStrategy
2016-02-17,002299.SZSE,买入,43.5,1200,13.57,52200.0,BreakoutStrategy
2016-02-17,300017.SZSE,买入,442.68899581965906,100,11.51,44268.9,BreakoutStrategy
2016-02-22,002299.SZSE,买入,46.16,700,8.4,32312.0,BreakoutStrategy
2016-02-24,000703.SZSE,买入,54.58172499999999,400,5.68,21832.69,BreakoutStrategy
2016-02-24,002299.SZSE,买入,47.879999999999995,700,8.71,33516.0,BreakoutStrategy
2016-02-24,600521.SSE,买入,188.34428999999997,200,9.79,37668.86,BreakoutStrategy
2016-02-25,600521.SSE,买入,197.598054,200,10.28,39519.61,BreakoutStrategy
2016-02-26,002008.SZSE,卖出,237.28712500000006,200,59.8,47457.43,BreakoutStrategy
2016-02-26,300017.SZSE,卖出,390.94879728495147,100,49.26,39094.88,BreakoutStrategy
2016-02-26,300144.SZSE,卖出,189.53683228000003,200,47.76,37907.37,BreakoutStrategy
2016-02-26,600998.SSE,卖出,16.720000000000002,3000,63.2,50160.0,BreakoutStrategy
2016-02-29,300168.SZSE,卖出,220.02999999999997,300,83.17,66009.0,BreakoutStrategy
2016-02-29,600521.SSE,卖出,188.18192440000004,1000,237.11,188181.92,BreakoutStrategy
2016-02-29,601699.SSE,买入,46.7716,600,7.3,28062.96,BreakoutStrategy
2016-02-29,603899.SSE,买入,36.06,900,8.44,32454.0,BreakoutStrategy
2016-03-01,000629.SZSE,买入,13.943699999999996,4000,14.5,55774.8,BreakoutStrategy
2016-03-01,000703.SZSE,买入,59.03942500000001,600,9.21,35423.66,BreakoutStrategy
2016-03-01,000937.SZSE,买入,36.243999999999986,1600,15.08,57990.4,BreakoutStrategy
2016-03-01,002032.SZSE,买入,151.92764400000002,500,19.75,75963.82,BreakoutStrategy
2016-03-01,002085.SZSE,买入,72.84000000000003,600,11.36,43704.0,BreakoutStrategy
2016-03-01,002299.SZSE,买入,49.12,900,11.49,44208.0,BreakoutStrategy
2016-03-02,000629.SZSE,买入,14.470199999999998,1600,6.02,23152.32,BreakoutStrategy
2016-03-02,600376.SSE,买入,68.48536000000001,200,5.14,13697.07,BreakoutStrategy
2016-03-03,000703.SZSE,买入,61.31285200000001,200,5.12,12262.57,BreakoutStrategy
2016-03-03,000937.SZSE,买入,37.54399999999999,500,5.19,18772.0,BreakoutStrategy
2016-03-03,002032.SZSE,买入,155.29057500000005,300,12.11,46587.17,BreakoutStrategy
2016-03-03,002085.SZSE,买入,77.68000000000002,200,5.16,15536.0,BreakoutStrategy
2016-03-03,600376.SSE,买入,75.23860000000002,200,5.15,15047.72,BreakoutStrategy
2016-03-03,601699.SSE,买入,49.67319999999999,200,5.1,9934.64,BreakoutStrategy
2016-03-08,002085.SZSE,买入,79.25300000000001,100,5.08,7925.3,BreakoutStrategy
2016-03-09,600376.SSE,卖出,68.70872,400,34.63,27483.49,BreakoutStrategy
2016-03-09,000629.SZSE,买入,14.470199999999998,500,5.07,7235.1,BreakoutStrategy
2016-03-10,002299.SZSE,卖出,47.379999999999995,3500,208.95,165830.0,BreakoutStrategy
