规则,级别,标的,数量,说明,样例
涨跌幅异常,可疑,000792.SZSE,1,1 根 K 线涨跌幅超过 15%（最大 203.9%），可能是复权跳变、停牌复牌或数据错误,2021-08-10 00:00:00
涨跌幅异常,可疑,302132.SZSE,16,16 根 K 线涨跌幅超过 15%（最大 19.9%），可能是复权跳变、停牌复牌或数据错误,2023-02-02 00:00:00; 2023-02-03 00:00:00; 2023-02-06 00:00:00; 2023-02-07 00:00:00; 2023-02-08 00:00:00
涨跌幅异常,可疑,000063.SZSE,6,6 根 K 线涨跌幅超过 15%（最大 29.3%），可能是复权跳变、停牌复牌或数据错误,2020-02-21 00:00:00; 2020-03-20 00:00:00; 2024-03-01 00:00:00; 2024-09-27 00:00:00; 2024-12-20 00:00:00
涨跌幅异常,可疑,000100.SZSE,2,2 根 K 线涨跌幅超过 15%（最大 22.5%），可能是复权跳变、停牌复牌或数据错误,2020-02-21 00:00:00; 2021-01-15 00:00:00
涨跌幅异常,可疑,000157.SZSE,3,3 根 K 线涨跌幅超过 15%（最大 18.8%），可能是复权跳变、停牌复牌或数据错误,2020-12-04 00:00:00; 2021-01-08 00:00:00; 2021-02-12 00:00:00
涨跌幅异常,可疑,000166.SZSE,3,3 根 K 线涨跌幅超过 15%（最大 21.4%），可能是复权跳变、停牌复牌或数据错误,2020-07-03 00:00:00; 2021-09-10 00:00:00; 2024-09-27 00:00:00
涨跌幅异常,可疑,000301.SZSE,11,11 根 K 线涨跌幅超过 15%（最大 30.0%），可能是复权跳变、停牌复牌或数据错误,2020-11-06 00:00:00; 2021-01-08 00:00:00; 2021-01-22 00:00:00; 2021-06-25 00:00:00; 2021-07-09 00:00:00
涨跌幅异常,可疑,000338.SZSE,2,2 根 K 线涨跌幅超过 15%（最大 17.1%），可能是复权跳变、停牌复牌或数据错误,2020-09-18 00:00:00; 2025-11-07 00:00:00
涨跌幅异常,可疑,000408.SZSE,12,12 根 K 线涨跌幅超过 15%（最大 29.1%），可能是复权跳变、停牌复牌或数据错误,2020-02-21 00:00:00; 2020-05-01 00:00:00; 2020-05-08 00:00:00; 2020-05-22 00:00:00; 2020-06-05 00:00:00
涨跌幅异常,可疑,000425.SZSE,2,2 根 K 线涨跌幅超过 15%（最大 16.0%），可能是复权跳变、停牌复牌或数据错误,2021-02-12 00:00:00; 2021-09-03 00:00:00
涨跌幅异常,可疑,000538.SZSE,3,3 根 K 线涨跌幅超过 15%（最大 22.2%），可能是复权跳变、停牌复牌或数据错误,2021-01-08 00:00:00; 2021-02-12 00:00:00; 2021-02-26 00:00:00
涨跌幅异常,可疑,000568.SZSE,6,6 根 K 线涨跌幅超过 15%（最大 26.6%），可能是复权跳变、停牌复牌或数据错误,2020-07-03 00:00:00; 2020-08-28 00:00:00; 2021-02-26 00:00:00; 2021-07-30 00:00:00; 2021-10-01 00:00:00
涨跌幅异常,可疑,000596.SZSE,6,6 根 K 线涨跌幅超过 15%（最大 24.6%），可能是复权跳变、停牌复牌或数据错误,2020-01-10 00:00:00; 2020-07-31 00:00:00; 2020-08-28 00:00:00; 2021-07-30 00:00:00; 2022-08-05 00:00:00
涨跌幅异常,可疑,000617.SZSE,5,5 根 K 线涨跌幅超过 15%（最大 29.9%），可能是复权跳变、停牌复牌或数据错误,2022-12-02 00:00:00; 2023-03-17 00:00:00; 2024-09-27 00:00:00; 2025-07-11 00:00:00; 2025-08-22 00:00:00
