规则,级别,标的,数量,说明,样例
涨跌幅异常,可疑,000157.SZSE,1,1 根 K 线涨跌幅超过 15%（最大 15.3%），可能是复权跳变、停牌复牌或数据错误,2020-02-03 00:00:00
价格为负,错误,000408.SZSE,139,139 根 K 线出现负价格,2020-01-23 00:00:00; 2020-02-03 00:00:00; 2020-02-04 00:00:00; 2020-02-05 00:00:00; 2020-02-06 00:00:00
涨跌幅异常,可疑,000408.SZSE,102,102 根 K 线涨跌幅超过 15%（最大 1636.4%），可能是复权跳变、停牌复牌或数据错误,2020-01-03 00:00:00; 2020-01-06 00:00:00; 2020-01-10 00:00:00; 2020-01-14 00:00:00; 2020-01-15 00:00:00
涨跌幅异常,可疑,000708.SZSE,2,2 根 K 线涨跌幅超过 15%（最大 15.6%），可能是复权跳变、停牌复牌或数据错误,2020-02-03 00:00:00; 2020-02-04 00:00:00
涨跌幅异常,可疑,000792.SZSE,1,1 根 K 线涨跌幅超过 15%（最大 306.1%），可能是复权跳变、停牌复牌或数据错误,2021-08-10 00:00:00
涨跌幅异常,可疑,000807.SZSE,1,1 根 K 线涨跌幅超过 15%（最大 15.1%），可能是复权跳变、停牌复牌或数据错误,2020-02-03 00:00:00
涨跌幅异常,可疑,001965.SZSE,1,1 根 K 线涨跌幅超过 15%（最大 15.9%），可能是复权跳变、停牌复牌或数据错误,2020-07-03 00:00:00
涨跌幅异常,可疑,002532.SZSE,1,1 根 K 线涨跌幅超过 15%（最大 15.5%），可能是复权跳变、停牌复牌或数据错误,2020-02-03 00:00:00
涨跌幅异常,可疑,002648.SZSE,1,1 根 K 线涨跌幅超过 15%（最大 15.1%），可能是复权跳变、停牌复牌或数据错误,2020-02-03 00:00:00
涨跌幅异常,可疑,302132.SZSE,18,18 根 K 线涨跌幅超过 15%（最大 22.3%），可能是复权跳变、停牌复牌或数据错误,2022-04-28 00:00:00; 2023-02-02 00:00:00; 2023-02-03 00:00:00; 2023-02-06 00:00:00; 2023-02-07 00:00:00
涨跌幅异常,可疑,600019.SSE,1,1 根 K 线涨跌幅超过 15%（最大 17.1%），可能是复权跳变、停牌复牌或数据错误,2020-02-03 00:00:00
涨跌幅异常,可疑,600023.SSE,1,1 根 K 线涨跌幅超过 15%（最大 15.1%），可能是复权跳变、停牌复牌或数据错误,2020-02-03 00:00:00
涨跌幅异常,可疑,600027.SSE,2,2 根 K 线涨跌幅超过 15%（最大 16.6%），可能是复权跳变、停牌复牌或数据错误,2020-02-03 00:00:00; 2020-08-19 00:00:00
价格为负,错误,600039.SSE,48,48 根 K 线出现负价格,2020-01-02 00:00:00; 2020-01-03 00:00:00; 2020-01-06 00:00:00; 2020-01-07 00:00:00; 2020-01-08 00:00:00
涨跌幅异常,可疑,600039.SSE,64,64 根 K 线涨跌幅超过 15%（最大 561.8%），可能是复权跳变、停牌复牌或数据错误,2020-03-03 00:00:00; 2020-03-06 00:00:00; 2020-03-10 00:00:00; 2020-03-17 00:00:00; 2020-03-18 00:00:00
价格为负,错误,600066.SSE,1,1 根 K 线出现负价格,2022-04-27 00:00:00
涨跌幅异常,可疑,600066.SSE,74,74 根 K 线涨跌幅超过 15%（最大 141.7%），可能是复权跳变、停牌复牌或数据错误,2020-02-03 00:00:00; 2020-03-23 00:00:00; 2020-03-24 00:00:00; 2020-04-24 00:00:00; 2020-10-28 00:00:00
涨跌幅异常,可疑,600089.SSE,4,4 根 K 线涨跌幅超过 15%（最大 19.8%），可能是复权跳变、停牌复牌或数据错误,2020-02-03 00:00:00; 2020-03-05 00:00:00; 2020-03-13 00:00:00; 2020-12-15 00:00:00
价格为负,错误,600188.SSE,288,288 根 K 线出现负价格,2020-01-02 00:00:00; 2020-01-03 00:00:00; 2020-01-06 00:00:00; 2020-01-07 00:00:00; 2020-01-08 00:00:00
涨跌幅异常,可疑,600188.SSE,64,64 根 K 线涨跌幅超过 15%（最大 1766.4%），可能是复权跳变、停牌复牌或数据错误,2021-03-04 00:00:00; 2021-03-11 00:00:00; 2021-03-12 00:00:00; 2021-03-16 00:00:00; 2021-03-17 00:00:00
涨跌幅异常,可疑,600219.SSE,1,1 根 K 线涨跌幅超过 15%（最大 16.8%），可能是复权跳变、停牌复牌或数据错误,2020-02-03 00:00:00
涨跌幅异常,可疑,600415.SSE,2,2 根 K 线涨跌幅超过 15%（最大 16.2%），可能是复权跳变、停牌复牌或数据错误,2020-06-01 00:00:00; 2020-06-02 00:00:00
涨跌幅异常,可疑,600438.SSE,3,3 根 K 线涨跌幅超过 15%（最大 16.3%），可能是复权跳变、停牌复牌或数据错误,2020-02-03 00:00:00; 2020-02-12 00:00:00; 2020-03-23 00:00:00
涨跌幅异常,可疑,600660.SSE,1,1 根 K 线涨跌幅超过 15%（最大 18.0%），可能是复权跳变、停牌复牌或数据错误,2020-03-25 00:00:00
涨跌幅异常,可疑,600803.SSE,1,1 根 K 线涨跌幅超过 15%（最大 17.0%），可能是复权跳变、停牌复牌或数据错误,2020-02-03 00:00:00
涨跌幅异常,可疑,600809.SSE,2,2 根 K 线涨跌幅超过 15%（最大 15.4%），可能是复权跳变、停牌复牌或数据错误,2020-02-03 00:00:00; 2020-03-05 00:00:00
涨跌幅异常,可疑,600919.SSE,1,1 根 K 线涨跌幅超过 15%（最大 15.9%），可能是复权跳变、停牌复牌或数据错误,2020-07-06 00:00:00
涨跌幅异常,可疑,600926.SSE,1,1 根 K 线涨跌幅超过 15%（最大 15.2%），可能是复权跳变、停牌复牌或数据错误,2020-07-06 00:00:00
涨跌幅异常,可疑,600938.SSE,4,4 根 K 线涨跌幅超过 15%（最大 17.5%），可能是复权跳变、停牌复牌或数据错误,2022-04-22 00:00:00; 2022-04-27 00:00:00; 2022-04-29 00:00:00; 2022-05-27 00:00:00
涨跌幅异常,可疑,601009.SSE,2,2 根 K 线涨跌幅超过 15%（最大 16.1%），可能是复权跳变、停牌复牌或数据错误,2020-07-06 00:00:00; 2021-03-03 00:00:00
涨跌幅异常,可疑,601058.SSE,2,2 根 K 线涨跌幅超过 15%（最大 15.5%），可能是复权跳变、停牌复牌或数据错误,2020-03-23 00:00:00; 2020-08-10 00:00:00
价格为负,错误,601088.SSE,2,2 根 K 线出现负价格,2020-03-19 00:00:00; 2020-03-23 00:00:00
涨跌幅异常,可疑,601088.SSE,63,63 根 K 线涨跌幅超过 15%（最大 888.9%），可能是复权跳变、停牌复牌或数据错误,2020-02-03 00:00:00; 2020-02-04 00:00:00; 2020-02-11 00:00:00; 2020-02-25 00:00:00; 2020-02-28 00:00:00
涨跌幅异常,可疑,601166.SSE,1,1 根 K 线涨跌幅超过 15%（最大 16.6%），可能是复权跳变、停牌复牌或数据错误,2020-07-06 00:00:00
涨跌幅异常,可疑,601169.SSE,1,1 根 K 线涨跌幅超过 15%（最大 15.7%），可能是复权跳变、停牌复牌或数据错误,2020-07-06 00:00:00
价格为负,错误,601225.SSE,139,139 根 K 线出现负价格,2020-02-03 00:00:00; 2020-02-04 00:00:00; 2020-02-05 00:00:00; 2020-02-06 00:00:00; 2020-02-07 00:00:00
涨跌幅异常,可疑,601225.SSE,70,70 根 K 线涨跌幅超过 15%（最大 1444.4%），可能是复权跳变、停牌复牌或数据错误,2020-01-06 00:00:00; 2020-01-08 00:00:00; 2020-01-15 00:00:00; 2020-01-16 00:00:00; 2020-01-21 00:00:00
