,equity,returns,drawdown
2016-01-04,1000000.0,0.0,0.0
2016-01-05,1000000.0,0.0,0.0
2016-01-06,1000000.0,0.0,0.0
2016-01-07,1000000.0,0.0,0.0
2016-01-08,1000000.0,0.0,0.0
2016-01-11,1000000.0,0.0,0.0
2016-01-12,1000000.0,0.0,0.0
2016-01-13,1000000.0,0.0,0.0
2016-01-14,1000000.0,0.0,0.0
2016-01-15,1000000.0,0.0,0.0
2016-01-18,1000000.0,0.0,0.0
2016-01-19,1000000.0,0.0,0.0
2016-01-20,1000000.0,0.0,0.0
2016-01-21,1000000.0,0.0,0.0
2016-01-22,1000000.0,0.0,0.0
2016-01-25,1000000.0,0.0,0.0
2016-01-26,1000000.0,0.0,0.0
2016-01-27,1000000.0,0.0,0.0
2016-01-28,1000000.0,0.0,0.0
2016-01-29,1000000.0,0.0,0.0
2016-02-01,1000000.0,0.0,0.0
2016-02-02,1000000.0,0.0,0.0
2016-02-03,1000000.0,0.0,0.0
2016-02-04,1000000.0,0.0,0.0
2016-02-05,1000000.0,0.0,0.0
2016-02-15,1000000.0,0.0,0.0
2016-02-16,1000000.0,0.0,0.0
2016-02-17,1000000.0,0.0,0.0
2016-02-18,1000000.0,0.0,0.0
2016-02-19,1000000.0,0.0,0.0
2016-02-22,1001525.24071,0.001525240709999931,0.0
2016-02-23,994418.84071,-0.007095577536280762,-0.007095577536280762
2016-02-24,1001229.1407100001,0.006848522696067949,-0.0002956490640116938
2016-02-25,942601.3407100001,-0.05855582664965708,-0.058834163738327394
2016-02-26,950892.14071,0.00879565903625279,-0.05055598994600008
2016-02-29,930461.24071,-0.021486033089667567,-0.07095577536280706
2016-03-01,946450.6407100001,0.017184380499072782,-0.054990725906175375
2016-03-02,943229.5820020001,-0.0034033034259278727,-0.058206879206232576
2016-03-03,943229.5820020001,0.0,-0.058206879206232576
2016-03-04,943229.5820020001,0.0,-0.058206879206232576
2016-03-07,943229.5820020001,0.0,-0.058206879206232576
2016-03-08,941901.1258820001,-0.0014084122734788762,-0.05953331219663649
2016-03-09,929297.1258820001,-0.01338144700506394,-0.07211811733950524
2016-03-10,918063.125882,-0.012088706278239991,-0.0833350088798882
2016-03-11,916419.1258820001,-0.0017907265346491785,-0.08497650520287103
2016-03-14,934229.1258820001,0.019434339045312887,-0.06719362837055654
2016-03-15,931489.1258820001,-0.0029328993542276915,-0.06992945557552799
2016-03-16,936969.125882,0.005883053111125802,-0.0644578011655852
2016-03-17,950669.1258820001,0.01462161305166143,-0.05077866514072782
2016-03-18,962725.1258820001,0.012681594123312712,-0.038741025438853494
2016-03-21,981905.1258820002,0.01992261288748276,-0.019590235004053214
2016-03-22,975877.125882,-0.0061390859881554904,-0.025609054854990654
2016-03-23,977521.1258820001,0.0016846383180815216,-0.023967558532007605
2016-03-24,963821.125882,-0.014015042373267228,-0.03764669455686498
2016-03-25,967383.1258820001,0.0036957065002496403,-0.03409011919040206
2016-03-28,959163.125882,-0.00849715048782318,-0.042297600805316526
2016-03-29,952039.1258820001,-0.007427308043612468,-0.04941075153824215
2016-03-30,975603.125882,0.024751083605066615,-0.02588263757548781
2016-03-31,973959.1258820001,-0.0016851114519683685,-0.027524133898470526
2016-04-01,976699.125882,0.0028132597428240924,-0.024788306693499185
2016-04-05,985193.1258820001,0.008696639297521402,-0.01630724235808756
2016-04-06,983549.1258820001,-0.0016687083545453563,-0.017948738681070386
2016-04-07,972589.1258820001,-0.011143317310329137,-0.028892047500956197
2016-04-08,965191.1258820001,-0.007606500836919272,-0.0362787809543792
2016-04-11,974781.125882,0.00993585595934321,-0.02670338573697917
2016-04-12,973685.1258820001,-0.0011243549663604302,-0.027797716618967683
2016-04-13,984919.1258820001,0.011537610775171014,-0.016580825078584716
2016-04-14,988207.1258820001,0.0033383451631681105,-0.01329783243261895
2016-04-15,989029.125882,0.0008318094238253249,-0.012477084271127703
2016-04-18,976425.1258820001,-0.01274381074344988,-0.02506188941399623
2016-04-19,977521.1258820001,0.001122461897946403,-0.023967558532007605
2016-04-20,962177.125882,-0.015696847458059326,-0.03928819087984792
2016-04-21,958067.1258820001,-0.004271562781366645,-0.04339193168730493
