因子,周期,IC均值,IC_t(NW),IC_t未修正,ICIR,IC胜率,多空收益,单调,横截面数,结论
低波动,5,0.03337482382829183,4.081034655868177,7.372942425166005,0.1456352613294399,0.5532579008973859,-0.0003079144652368018,False,2563,正向有效 · 非单调（仅极端组有效，慎用）
低波动,20,0.048729062588383845,2.971286307531834,10.661069932922151,0.211203485134386,0.5847723704866562,-0.0003562225138980864,False,2548,正向有效 · 非单调（仅极端组有效，慎用）
低波动,60,0.07216273630690465,2.927221637551501,16.853426764074772,0.3365305165262754,0.6475279106858054,0.00023045109537962868,False,2508,正向有效 · 非单调（仅极端组有效，慎用）
低波动60,5,0.03648413760888148,4.082343037008811,7.4260267128960535,0.14784201798965133,0.562029330162505,0.0003788237846991542,False,2523,正向有效 · 非单调（仅极端组有效，慎用）
低波动60,20,0.053826292861408505,2.9762043665994464,10.812894034988537,0.21591269631261503,0.5897129186602871,0.0010825987658715746,True,2508,正向有效 · 单调
低波动60,60,0.07571517723859839,2.763484452014535,16.556339834370647,0.3332665720826712,0.6555915721231766,-0.000544433609388815,False,2468,正向有效 · 非单调（仅极端组有效，慎用）
EP,5,0.03016343788912053,3.4724795063744036,6.380423826063351,0.1255415033646348,0.5385210994967092,0.0006762990006980118,False,2583,正向有效 · 非单调（仅极端组有效，慎用）
EP,20,0.046788291610210093,2.668240404950722,9.771027704959122,0.19281585166238077,0.5681464174454829,0.0020396840934320737,False,2568,正向有效 · 非单调（仅极端组有效，慎用）
EP,60,0.06699598911729619,2.5533319426431773,14.967030549008527,0.29767825439361023,0.627373417721519,0.0031805524281266475,False,2528,正向有效 · 非单调（仅极端组有效，慎用）
BP,5,0.021961341980246758,2.4613760429498064,4.583913980788089,0.0901932956383814,0.5245838172667441,0.0012638888575016176,True,2583,正向但过弱（显著却不足以覆盖交易成本）
BP,20,0.04003973803122348,2.242920363201902,8.230918468822665,0.1624242200975625,0.5634735202492211,0.004104062018622377,True,2568,正向有效 · 单调
BP,60,0.07547606643961849,2.5573778598349968,15.956669121595326,0.3173611087716777,0.6111550632911392,0.006991998617552477,False,2528,正向有效 · 非单调（仅极端组有效，慎用）
SP,5,0.01435532958780282,2.1239371797701754,3.922082042823472,0.0771710609511801,0.5098722415795587,0.0010476108168830929,False,2583,正向但过弱（显著却不足以覆盖交易成本）
SP,20,0.029949273500685054,2.192458453603813,8.018778267016524,0.1582379671343946,0.5447819314641744,0.003755326668292566,False,2568,正向但过弱（显著却不足以覆盖交易成本）
SP,60,0.052744070664782344,2.2330830217305064,14.118024834131104,0.2807924373741713,0.5846518987341772,0.009229535883796592,False,2528,正向有效 · 非单调（仅极端组有效，慎用）
股息率,5,0.03374359616049725,3.888338228278764,7.136438207951398,0.1404168760130486,0.5543941153697252,0.0012073489108494406,False,2583,正向有效 · 非单调（仅极端组有效，慎用）
股息率,20,0.05388569507613066,3.0784480544899466,11.221360678714419,0.22143589000151379,0.5747663551401869,0.004473403506857202,False,2568,正向有效 · 非单调（仅极端组有效，慎用）
股息率,60,0.08588830610639603,3.3498365788440214,19.866140245415178,0.39511631451741674,0.6677215189873418,0.009404552648939874,False,2528,正向有效 · 非单调（仅极端组有效，慎用）
换手率,5,-0.04789665290212458,-6.631779068588535,-11.807601496633103,-0.2323268929193409,0.5888501742160279,-0.0013825215953968079,False,2583,**反向**有效 · 非单调（仅极端组有效，慎用）
换手率,20,-0.0659083158472993,-4.627418743887701,-16.31371061106286,-0.3219254002983981,0.625,-0.004272705610853571,False,2568,**反向**有效 · 非单调（仅极端组有效，慎用）
换手率,60,-0.08880495924002715,-4.108097257807519,-23.181685705322778,-0.4610589730585483,0.696993670886076,-0.008477179960271142,False,2528,**反向**有效 · 非单调（仅极端组有效，慎用）
对数市值,5,0.02138672227837177,3.103523506588955,5.702725706070435,0.11220708497321734,0.5532326751838947,0.0009004872162170371,False,2583,正向但过弱（显著却不足以覆盖交易成本）
对数市值,20,0.030249036944074822,2.2751322777866645,8.104848594554236,0.15993642956927454,0.57398753894081,0.003770579221961466,False,2568,正向有效 · 非单调（仅极端组有效，慎用）
对数市值,60,0.05026875620646816,2.4686856934648964,14.643985549376717,0.2912532343292694,0.6040348101265823,0.013718233729137698,False,2528,正向有效 · 非单调（仅极端组有效，慎用）
