name,expr,ic_mean,ic_std,icir,t,ic_pos,t_h1,t_h2,n,abs_t,both_sig,same_sign,stable
LOW0,$low/$close,0.06557280405326585,0.14865920865331883,0.44109480096981485,22.357023899080147,0.7103931490852472,16.72562181733397,14.943759406727386,2569,22.357023899080147,True,True,True
VMA60,"Mean($volume, 60)/($volume+1e-12)",0.05025453782830686,0.12018754121708185,0.4181343367157956,21.18914058787348,0.6697819314641744,18.951688191104,11.75484714902913,2568,21.18914058787348,True,True,True
VSUMN60,"Sum(Greater(Ref($volume, 1)-$volume, 0), 60)/(Sum(Abs($volum",0.043610104810814565,0.10919399771766002,0.3993818865719711,20.23885196631342,0.6658878504672897,18.02726960834448,11.62687915891443,2568,20.23885196631342,True,True,True
VSUMD60,"(Sum(Greater($volume-Ref($volume, 1), 0), 60)-Sum(Greater(Re",-0.043610071333027016,0.10919399116580869,-0.3993816039456427,-20.23883764410048,0.3341121495327103,-18.027259190098718,-11.626869517631597,2568,20.23883764410048,True,True,True
VSUMP60,"Sum(Greater($volume-Ref($volume, 1), 0), 60)/(Sum(Abs($volum",-0.04361005324232464,0.10919398263778887,-0.39938146946233344,-20.238830829099903,0.3341121495327103,-18.027246183219674,-11.626872974942637,2568,20.238830829099903,True,True,True
VMA30,"Mean($volume, 30)/($volume+1e-12)",0.04466343283890799,0.113774989827357,0.39255932175147285,19.893115506861445,0.6721183800623053,18.450968885511394,10.394460991564396,2568,19.893115506861445,True,True,True
VSUMP30,"Sum(Greater($volume-Ref($volume, 1), 0), 30)/(Sum(Abs($volum",-0.04198782027068599,0.10880247943967737,-0.385908671263002,-19.556090881455468,0.3364485981308411,-17.596001320783614,-10.953287571998233,2568,19.556090881455468,True,True,True
VSUMD30,"(Sum(Greater($volume-Ref($volume, 1), 0), 30)-Sum(Greater(Re",-0.041987828070099195,0.10880250897497601,-0.38590863818918153,-19.556089205425135,0.3364485981308411,-17.595998037367742,-10.953287192860024,2568,19.556089205425135,True,True,True
VSUMN30,"Sum(Greater(Ref($volume, 1)-$volume, 0), 30)/(Sum(Abs($volum",0.04198781454641338,0.10880250786559563,0.3859085178282946,19.556083106084493,0.6635514018691588,17.595985179655084,10.95328945911612,2568,19.556083106084493,True,True,True
MIN5,"Min($low, 5)/$close",0.058237887160177616,0.1545455733043775,0.3768330979333721,19.099899971474258,0.6780848579213702,14.199638934438582,12.861257874743,2569,19.099899971474258,True,True,True
