因子,周期,IC均值,IC_t(NW),IC_t未修正,ICIR,IC胜率,多空收益,单调,横截面数,结论
低波动,5,0.07030825318982754,6.0654547460575285,11.291211103360665,0.3223430016956786,0.6340668296658517,0.0023998311207714036,False,1227,正向有效 · 非单调（仅极端组有效，慎用）
低波动,20,0.09581186300098707,4.313722950458182,15.13177694216583,0.43464893597869353,0.6806930693069307,0.009455544929687733,False,1212,正向有效 · 非单调（仅极端组有效，慎用）
低波动,60,0.12012045947170366,3.904490025121595,22.03370452655139,0.6436113813534178,0.7508532423208191,0.015543165699817438,False,1172,正向有效 · 非单调（仅极端组有效，慎用）
低波动60,5,0.05987616569438643,4.613891322671428,8.577827688213992,0.248972831464918,0.6065711878685762,0.0017391613777979406,False,1187,正向有效 · 非单调（仅极端组有效，慎用）
低波动60,20,0.0828261964312063,3.246907830402817,11.48426179496222,0.3354588688784955,0.6245733788395904,0.005990900923128083,False,1172,正向有效 · 非单调（仅极端组有效，慎用）
低波动60,60,0.12009605540003743,3.4636001389674624,20.38817437794189,0.6059755841107044,0.7438162544169611,0.012975767399052068,False,1132,正向有效 · 非单调（仅极端组有效，慎用）
EP,5,0.02703371751916033,2.57242482647543,4.790577709272394,0.13566089022260025,0.5324779470729751,3.333061434694141e-05,False,1247,正向但过弱（显著却不足以覆盖交易成本）
EP,20,0.03372792939320875,1.5833255846478635,5.736410314556615,0.1634311565639712,0.5446428571428571,-0.0003129209939073743,False,1232,无信号（不显著，IC 在不同时期忽正忽负）
EP,60,0.03649115024963392,1.1293881381227093,6.736125923288683,0.19510664880535264,0.5503355704697986,-0.00806461118661418,False,1192,无信号（不显著，IC 在不同时期忽正忽负）
BP,5,0.045470612838502844,4.117573770010869,7.660600665611131,0.2169349855081452,0.5653568564554932,0.0022249695356402234,False,1247,正向有效 · 非单调（仅极端组有效，慎用）
BP,20,0.06974805431137794,3.233570147964842,11.548930007051785,0.32903068027390797,0.6176948051948052,0.007456588419085497,False,1232,正向有效 · 非单调（仅极端组有效，慎用）
BP,60,0.10892966006053162,4.131977835746788,22.677867372642908,0.6568467922833076,0.7256711409395973,0.015354746738336915,False,1192,正向有效 · 非单调（仅极端组有效，慎用）
SP,5,0.03041425172946467,3.2995072712594546,6.110817400520979,0.1730477990030022,0.5485164394546913,0.00147053792312007,True,1247,正向有效 · 单调
SP,20,0.04524969833209192,2.57017590826371,9.111747710902439,0.25959500542230707,0.575487012987013,0.005586162587896095,True,1232,正向有效 · 单调
SP,60,0.06957614284912704,2.926910674152226,16.58358398501943,0.48033061337422284,0.6669463087248322,0.011209522187657282,True,1192,正向有效 · 单调
股息率,5,0.026770813996515527,2.559622596485237,4.776976811309161,0.1352757362730155,0.5429029671210907,-1.793333389296702e-05,False,1247,正向但过弱（显著却不足以覆盖交易成本）
股息率,20,0.03522509978452629,1.6589328567497932,5.958266383410878,0.16975186793839644,0.5438311688311688,0.00022462630948052358,False,1232,无信号（不显著，IC 在不同时期忽正忽负）
股息率,60,0.04640137257557812,1.5975962734501927,9.272756094713365,0.2685781690294865,0.6434563758389261,-0.00529174794392836,False,1192,无信号（不显著，IC 在不同时期忽正忽负）
换手率,5,-0.07131839951469889,-7.530807189952497,-13.893138424991092,-0.39342969493471963,0.6647955092221332,-0.002647752649563377,False,1247,**反向**有效 · 非单调（仅极端组有效，慎用）
换手率,20,-0.0947880510828685,-5.112480713781285,-17.712047242542482,-0.5046187785101205,0.7094155844155844,-0.009010158643392276,False,1232,**反向**有效 · 非单调（仅极端组有效，慎用）
换手率,60,-0.11578764846152836,-5.33945986018019,-27.456824318287246,-0.7952655637059349,0.7911073825503355,-0.017868545604564356,False,1192,**反向**有效 · 非单调（仅极端组有效，慎用）
对数市值,5,-0.0354222553078062,-4.166856989038317,-7.779371058001226,-0.22029835797417185,0.6038492381716118,-0.0037025568598548636,True,1247,**反向**有效 · 单调
对数市值,20,-0.0658817917915725,-3.787813234910256,-13.827331715757174,-0.3939426733065805,0.6631493506493507,-0.013646193281045832,True,1232,**反向**有效 · 单调
对数市值,60,-0.09923590989152405,-3.235007213310718,-21.01726780940227,-0.608748817352142,0.7072147651006712,-0.029628971275289923,True,1192,**反向**有效 · 单调
