因子,周期,IC均值,IC_t(NW),IC_t未修正,ICIR,IC胜率,多空收益,单调,横截面数,结论
低波动,5,0.018708325089480345,1.7942508991887829,3.1646185797006567,0.08740172973564693,0.5316552250190694,-0.0009169620548893842,False,1311,无信号（不显著，IC 在不同时期忽正忽负）
低波动,20,0.02368721504041392,1.1388746098559281,4.011681405590859,0.11143559459974609,0.5493827160493827,-0.003371144835764137,False,1296,无信号（不显著，IC 在不同时期忽正忽负）
低波动,60,0.03216147819157078,1.1127522810476858,5.885613446654184,0.16607219106776488,0.5883757961783439,-0.009176195988337995,False,1256,无信号（不显著，IC 在不同时期忽正忽负）
低波动60,5,0.018329680744419527,1.6204385385224398,2.9011539731289178,0.08137631197655827,0.5318646734854445,-0.0009264161705090661,False,1271,无信号（不显著，IC 在不同时期忽正忽负）
低波动60,20,0.028267224387141954,1.2380334625886658,4.470094787693179,0.12613102141371732,0.5644904458598726,-0.0038224251203772684,False,1256,无信号（不显著，IC 在不同时期忽正忽负）
低波动60,60,0.027168025363946698,0.8442970653292475,4.702720924612752,0.13485977151356016,0.5814144736842105,-0.015137658362638749,False,1216,无信号（不显著，IC 在不同时期忽正忽负）
EP,5,0.017207715390364316,1.5405747206835783,2.831982446797398,0.07762498503222803,0.5146506386175808,0.00019452652357807596,False,1331,无信号（不显著，IC 在不同时期忽正忽负）
EP,20,0.030920469024525467,1.3769841214129213,4.968448413859124,0.13695971397887674,0.5547112462006079,-0.0006379995777283233,False,1316,无信号（不显著，IC 在不同时期忽正忽负）
EP,60,0.04062042748208272,1.0697834345458541,6.436910530463719,0.1801988999849756,0.5744514106583072,-0.003469674688978649,False,1276,无信号（不显著，IC 在不同时期忽正忽负）
BP,5,-0.0007744115061528188,-0.06317797830164842,-0.11916237328459503,-0.003266255217465057,0.5229151014274981,-0.000366257022908544,False,1331,无信号（不显著，IC 在不同时期忽正忽负）
BP,20,0.006891072301199765,0.2779294730251355,1.0095960966133464,0.02783041728694397,0.49772036474164133,-0.003009723786579395,False,1316,无信号（不显著，IC 在不同时期忽正忽负）
BP,60,0.02396266533074207,0.5352525554906892,3.460398833625419,0.09687256959336227,0.5070532915360502,-0.012259354964384909,False,1276,无信号（不显著，IC 在不同时期忽正忽负）
SP,5,0.0035217147942053074,0.37760110464861374,0.7044467327405425,0.019308971052001224,0.49436513899323814,0.00027149194146267107,False,1331,无信号（不显著，IC 在不同时期忽正忽负）
SP,20,0.013809551868562281,0.7008042281378929,2.5832528543315276,0.07120967002041508,0.5243161094224924,0.0005075674977267704,False,1316,无信号（不显著，IC 在不同时期忽正忽负）
SP,60,0.032193134878213236,0.8644918350722319,5.613486751131369,0.15714745961541815,0.524294670846395,0.0022957457473548925,False,1276,无信号（不显著，IC 在不同时期忽正忽负）
股息率,5,0.021521627614725255,2.029450494183416,3.6960818878062596,0.10131005633290766,0.5334335086401202,0.0004256267795431529,False,1331,正向但过弱（显著却不足以覆盖交易成本）
股息率,20,0.04005418998779032,1.8878595053665275,6.7927140177413,0.18724722318039422,0.5737082066869301,0.0015146095558518972,False,1316,无信号（不显著，IC 在不同时期忽正忽负）
股息率,60,0.06535951951498033,1.981244198253881,11.64977853922029,0.32613118792018364,0.6394984326018809,0.005599154642610089,False,1276,无信号（不显著，IC 在不同时期忽正忽负）
换手率,5,-0.04650569641547049,-4.926393118787508,-8.601390403984755,-0.23576516235851974,0.585274229902329,-0.0019163102138444776,False,1331,**反向**有效 · 非单调（仅极端组有效，慎用）
换手率,20,-0.0664380799928503,-3.5299857547061753,-12.300392628055492,-0.33907129869098224,0.6344984802431611,-0.006439929711460171,False,1316,**反向**有效 · 非单调（仅极端组有效，慎用）
换手率,60,-0.08645159093642922,-2.975402815016745,-16.198111132874523,-0.45346005574635473,0.6888714733542319,-0.014809972264901959,False,1276,**反向**有效 · 非单调（仅极端组有效，慎用）
对数市值,5,0.02358425935129715,2.3862951923717035,4.3320581500925295,0.11874224342031435,0.5529676934635612,0.0016167054303763138,False,1331,正向但过弱（显著却不足以覆盖交易成本）
对数市值,20,0.0446783340524568,2.3491838244591166,8.361806901356909,0.2305006686517872,0.6117021276595744,0.006831390598950939,False,1316,正向有效 · 非单调（仅极端组有效，慎用）
对数市值,60,0.07334580798228324,2.5188845084349043,14.847802231703731,0.415658663684227,0.6481191222570533,0.02323218699107989,False,1276,正向有效 · 非单调（仅极端组有效，慎用）
