,equity,returns,drawdown
2022-01-04,500000.0,0.0,0.0
2022-01-05,500000.0,0.0,0.0
2022-01-06,500000.0,0.0,0.0
2022-01-07,500000.0,0.0,0.0
2022-01-10,500000.0,0.0,0.0
2022-01-11,500000.0,0.0,0.0
2022-01-12,500000.0,0.0,0.0
2022-01-13,500000.0,0.0,0.0
2022-01-14,500000.0,0.0,0.0
2022-01-17,500000.0,0.0,0.0
2022-01-18,500000.0,0.0,0.0
2022-01-19,500000.0,0.0,0.0
2022-01-20,500000.0,0.0,0.0
2022-01-21,500000.0,0.0,0.0
2022-01-24,500000.0,0.0,0.0
2022-01-25,500000.0,0.0,0.0
2022-01-26,500000.0,0.0,0.0
2022-01-27,500000.0,0.0,0.0
2022-01-28,500000.0,0.0,0.0
2022-02-07,500000.0,0.0,0.0
2022-02-08,502411.6267396891,0.004823253479378176,0.0
2022-02-09,511797.77726647886,0.01868219210550426,0.0
2022-02-10,508896.1851423533,-0.005669411343720565,-0.005669411343720565
2022-02-11,496443.0200628216,-0.024470934235925057,-0.030001609787497108
2022-02-14,499011.3048551147,0.005173372750750138,-0.024983446547300225
2022-02-15,502216.46413746086,0.006423019380846995,-0.01872089632782692
2022-02-16,503997.965864752,0.003547278622875849,-0.01524002594029572
2022-02-17,499703.18556368235,-0.008521423878568135,-0.02363158309790625
2022-02-18,500678.69017607067,0.0019521680881180448,-0.021725547832183723
2022-02-21,508493.0725431396,0.015607579312634456,-0.006457051730450525
2022-02-22,500502.65277168126,-0.015713920607601795,-0.022069506739800793
2022-02-23,508520.3458403099,0.01601928186439827,-0.006403762524475498
2022-02-24,499593.8482164073,-0.01755386524240632,-0.023845216982482764
2022-02-25,504236.3998945792,0.00929265181055805,-0.014774150470690084
2022-02-28,506301.4415293848,0.004095383901751903,-0.010739272386937837
2022-03-01,506698.3458898379,0.0007839289559479212,-0.009963762257579778
2022-03-02,509999.27508779557,0.006514584515094013,-0.003514087513801112
2022-03-03,508563.3196101762,-0.0028156029778123592,-0.006319796216345375
