datetime,symbol,direction,price,volume,commission,amount,strategy
2022-02-08,300398.SZSE,买入,128.20020000000002,100.0,5.13,12820.02,SignalRankStrategy
2022-02-08,000860.SZSE,买入,98.88387020000009,100.0,5.1,9888.39,SignalRankStrategy
2022-02-08,002639.SZSE,买入,31.34248,500.0,5.16,15671.24,SignalRankStrategy
2022-02-08,300318.SZSE,买入,50.100448527488,300.0,5.15,15030.13,SignalRankStrategy
2022-02-08,300439.SZSE,买入,49.470295000000014,300.0,5.15,14841.09,SignalRankStrategy
2022-02-08,300624.SZSE,买入,66.394,200.0,5.13,13278.8,SignalRankStrategy
2022-02-08,300860.SZSE,买入,117.746,100.0,5.12,11774.6,SignalRankStrategy
2022-02-08,600882.SSE,买入,114.12258647837525,100.0,5.11,11412.26,SignalRankStrategy
2022-02-08,600986.SSE,买入,33.412270400000004,400.0,5.13,13364.91,SignalRankStrategy
2022-02-08,300149.SZSE,买入,76.31328520000001,200.0,5.15,15262.66,SignalRankStrategy
2022-02-08,300075.SZSE,买入,144.1512765,100.0,5.14,14415.13,SignalRankStrategy
2022-02-08,000503.SZSE,买入,84.74396360000001,100.0,5.08,8474.4,SignalRankStrategy
2022-02-08,002214.SZSE,买入,77.52379599999995,200.0,5.16,15504.76,SignalRankStrategy
2022-02-08,002232.SZSE,买入,53.504760000000005,200.0,5.11,10700.95,SignalRankStrategy
2022-02-08,300031.SZSE,买入,130.58,100.0,5.13,13058.0,SignalRankStrategy
2022-02-08,300219.SZSE,买入,63.740066000000006,200.0,5.13,12748.01,SignalRankStrategy
2022-02-08,300685.SZSE,买入,156.97600000000003,100.0,5.16,15697.6,SignalRankStrategy
2022-02-08,600105.SSE,买入,55.159647275166,200.0,5.11,11031.93,SignalRankStrategy
2022-02-08,603533.SSE,买入,19.304000000000002,800.0,5.15,15443.2,SignalRankStrategy
2022-02-08,603960.SSE,买入,86.15937520000003,100.0,5.09,8615.94,SignalRankStrategy
2022-02-08,688018.SSE,买入,144.885,100.0,5.14,14488.5,SignalRankStrategy
2022-02-08,300671.SZSE,买入,115.16840000000002,100.0,5.12,11516.84,SignalRankStrategy
2022-02-08,600812.SSE,买入,35.72754734647137,400.0,5.14,14291.02,SignalRankStrategy
2022-02-08,300311.SZSE,买入,57.30689509427305,200.0,5.11,11461.38,SignalRankStrategy
2022-02-08,600129.SSE,买入,58.03822000000002,200.0,5.12,11607.64,SignalRankStrategy
2022-03-08,000503.SZSE,卖出,91.09512840000001,100.0,14.2,9109.51,SignalRankStrategy
2022-03-08,000860.SZSE,卖出,92.45741820000005,100.0,14.34,9245.74,SignalRankStrategy
2022-03-08,002214.SZSE,卖出,69.05579599999994,200.0,18.95,13811.16,SignalRankStrategy
2022-03-08,002232.SZSE,卖出,53.61355999999999,200.0,15.83,10722.71,SignalRankStrategy
2022-03-08,002639.SZSE,卖出,37.62248,500.0,24.0,18811.24,SignalRankStrategy
2022-03-08,300031.SZSE,卖出,121.38,100.0,17.26,12138.0,SignalRankStrategy
2022-03-08,300075.SZSE,卖出,152.23127649999998,100.0,20.38,15223.13,SignalRankStrategy
2022-03-08,300149.SZSE,卖出,81.33328520000002,200.0,21.43,16266.66,SignalRankStrategy
2022-03-08,300219.SZSE,卖出,56.32006600000001,200.0,16.38,11264.01,SignalRankStrategy
2022-03-08,300311.SZSE,卖出,66.80706021575566,200.0,18.5,13361.41,SignalRankStrategy
2022-03-08,300318.SZSE,卖出,50.97289588748801,300.0,20.44,15291.87,SignalRankStrategy
2022-03-08,300398.SZSE,卖出,152.8594,100.0,20.44,15285.94,SignalRankStrategy
2022-03-08,300439.SZSE,卖出,48.340295000000005,300.0,19.65,14502.09,SignalRankStrategy
2022-03-08,300624.SZSE,卖出,59.76600000000002,200.0,17.07,11953.2,SignalRankStrategy
2022-03-08,300671.SZSE,卖出,142.412,100.0,19.38,14241.2,SignalRankStrategy
2022-03-08,300685.SZSE,卖出,146.02100000000004,100.0,19.75,14602.1,SignalRankStrategy
2022-03-08,600105.SSE,卖出,53.862007913986,200.0,15.88,10772.4,SignalRankStrategy
2022-03-08,600129.SSE,卖出,64.10830400000002,200.0,17.95,12821.66,SignalRankStrategy
2022-03-08,600812.SSE,卖出,34.669480816971365,400.0,19.01,13867.79,SignalRankStrategy
2022-03-08,600882.SSE,卖出,105.34710071108984,100.0,15.64,10534.71,SignalRankStrategy
2022-03-08,600986.SSE,卖出,33.1149024,400.0,18.38,13245.96,SignalRankStrategy
2022-03-08,603533.SSE,卖出,17.803999999999995,800.0,19.39,14243.2,SignalRankStrategy
2022-03-08,603960.SSE,卖出,72.02145320000002,100.0,12.27,7202.15,SignalRankStrategy
2022-03-08,688018.SSE,卖出,157.465,100.0,20.9,15746.5,SignalRankStrategy
2022-03-08,002530.SZSE,买入,28.642000000000003,500.0,5.14,14321.0,SignalRankStrategy
2022-03-08,603129.SSE,买入,114.76764000000001,100.0,5.11,11476.76,SignalRankStrategy
2022-03-08,603583.SSE,买入,94.76989999999999,100.0,5.09,9476.99,SignalRankStrategy
2022-03-08,688266.SSE,买入,38.21,400.0,5.15,15284.0,SignalRankStrategy
2022-03-08,688788.SSE,买入,91.83,100.0,5.09,9183.0,SignalRankStrategy
2022-03-08,603348.SSE,买入,37.82999999999999,400.0,5.15,15132.0,SignalRankStrategy
2022-03-08,300572.SZSE,买入,57.120344319999994,200.0,5.11,11424.07,SignalRankStrategy
2022-03-08,000950.SZSE,买入,15.045312499999998,1000.0,5.15,15045.31,SignalRankStrategy
2022-03-08,300065.SZSE,买入,119.4348762,100.0,5.12,11943.49,SignalRankStrategy
2022-03-08,605376.SSE,买入,55.5,200.0,5.11,11100.0,SignalRankStrategy
2022-03-08,603187.SSE,买入,83.82095999999999,100.0,5.08,8382.1,SignalRankStrategy
2022-03-08,002803.SZSE,买入,42.365531999999995,300.0,5.13,12709.66,SignalRankStrategy
2022-03-08,600933.SSE,买入,15.040000000000001,1000.0,5.15,15040.0,SignalRankStrategy
2022-03-08,002918.SZSE,买入,50.657999999999994,300.0,5.15,15197.4,SignalRankStrategy
2022-03-08,002036.SZSE,买入,114.83225464709506,100.0,5.11,11483.23,SignalRankStrategy
2022-03-08,002605.SZSE,买入,86.27698800000003,100.0,5.09,8627.7,SignalRankStrategy
2022-03-08,002906.SZSE,买入,42.71000000000001,300.0,5.13,12813.0,SignalRankStrategy
