datetime,symbol,direction,price,volume,commission,amount,strategy
2022-02-08,603348.SSE,买入,46.70999999999999,300.0,5.14,14013.0,SignalRankStrategy
2022-02-08,002605.SZSE,买入,97.51698800000001,100.0,5.1,9751.7,SignalRankStrategy
2022-02-08,603693.SSE,买入,25.009999999999998,600.0,5.15,15006.0,SignalRankStrategy
2022-02-08,603869.SSE,买入,18.971020000000003,800.0,5.15,15176.82,SignalRankStrategy
2022-02-08,300085.SZSE,买入,135.822,100.0,5.14,13582.2,SignalRankStrategy
2022-02-08,300860.SZSE,买入,117.746,100.0,5.12,11774.6,SignalRankStrategy
2022-02-08,300311.SZSE,买入,57.30689509427305,200.0,5.11,11461.38,SignalRankStrategy
2022-02-08,003040.SZSE,买入,24.09,600.0,5.14,14454.0,SignalRankStrategy
2022-02-08,300318.SZSE,买入,50.100448527488,300.0,5.15,15030.13,SignalRankStrategy
2022-02-08,300287.SZSE,买入,62.92349999999999,200.0,5.13,12584.7,SignalRankStrategy
2022-02-08,300663.SZSE,买入,66.6260528125,200.0,5.13,13325.21,SignalRankStrategy
2022-02-08,600986.SSE,买入,33.412270400000004,400.0,5.13,13364.91,SignalRankStrategy
2022-02-08,600416.SSE,买入,50.52029999999999,300.0,5.15,15156.09,SignalRankStrategy
2022-02-08,603997.SSE,买入,21.322999999999997,700.0,5.15,14926.1,SignalRankStrategy
2022-02-08,002425.SZSE,买入,31.344861200000008,500.0,5.16,15672.43,SignalRankStrategy
2022-02-08,300634.SZSE,买入,14.870000000000001,1000.0,5.15,14870.0,SignalRankStrategy
2022-02-08,600129.SSE,买入,58.03822000000002,200.0,5.12,11607.64,SignalRankStrategy
2022-02-08,600248.SSE,买入,22.0684749848,700.0,5.15,15447.93,SignalRankStrategy
2022-02-08,603610.SSE,买入,47.529799999999994,300.0,5.14,14258.94,SignalRankStrategy
2022-02-08,002639.SZSE,买入,31.34248,500.0,5.16,15671.24,SignalRankStrategy
2022-02-08,002061.SZSE,买入,13.9915,1100.0,5.15,15390.65,SignalRankStrategy
2022-02-08,002837.SZSE,买入,120.73238800000003,100.0,5.12,12073.24,SignalRankStrategy
2022-02-08,688100.SSE,买入,25.910000000000004,600.0,5.16,15546.0,SignalRankStrategy
2022-02-08,002307.SZSE,买入,19.984800000000007,800.0,5.16,15987.84,SignalRankStrategy
2022-02-08,300075.SZSE,买入,144.1512765,100.0,5.14,14415.13,SignalRankStrategy
2022-02-08,300386.SZSE,买入,70.33400000000002,200.0,5.14,14066.8,SignalRankStrategy
2022-03-08,002061.SZSE,卖出,14.010500000000004,1100.0,20.57,15411.55,SignalRankStrategy
2022-03-08,002307.SZSE,卖出,20.0064,800.0,21.17,16005.12,SignalRankStrategy
