,0
WVMA60,98.80667370557785
KLOW,97.24456828460097
CORD5,91.3477672226727
BETA60,85.98600959405303
RESI5,69.54038586467505
CORD60,52.320838429033756
KSFT,48.136229902505875
KSFT2,40.90566601231694
KLEN,40.36952359601855
QTLU5,38.831290543079376
ROC10,36.873645562678576
IMIN60,36.54691809602082
ROC30,32.941254176199436
IMIN10,32.638183534145355
BETA30,32.257981695234776
RSV5,31.410740736871958
RANK60,30.49591163173318
ROC20,29.50012233480811
RESI10,27.5041083432734
OPEN0,25.959567051380873
STD5,25.88125319033861
KMID,24.58355813473463
RSV10,24.10574071109295
IMAX30,24.059270445257425
ROC5,23.730061899870634
MAX30,23.43560081347823
IMIN5,23.037503376603127
CORD10,22.54835907369852
BETA5,22.378143176436424
LOW0,22.1613009609282
VMA10,21.88547858595848
MA5,21.482132207602262
RANK30,21.07739195227623
RANK20,19.812044974416494
IMXD60,19.69155564904213
CNTD60,19.683784812688828
BETA20,19.18885885551572
MIN60,18.05748639255762
HIGH0,17.93699936568737
MIN10,17.593764532357454
VSTD5,17.26120112091303
STD10,17.107649262994528
IMIN20,17.04741581529379
CORD30,16.84870519861579
MAX60,16.605971693992615
IMXD5,16.588361278176308
KMID2,16.457814652472734
IMIN30,16.11664710007608
MAX20,15.746764350682497
VMA5,15.430147014558315
RESI20,14.685522697865963
VSUMN5,14.392661690711975
BETA10,14.185678292065859
MIN5,13.931270487606525
QTLD5,13.499710343778133
RSQR5,13.18084903806448
KLOW2,12.94812698289752
VMA20,12.684754461050034
IMAX60,11.740009624511003
VSTD60,11.260275784879923
QTLU10,10.453476168215275
MAX10,10.106959354132414
MAX5,10.105761714279652
RSQR10,10.089373841881752
VSUMP5,10.029280874878168
QTLD10,9.601852405816317
RESI60,9.583779733628035
STD60,9.38814890012145
CNTD20,9.27513949200511
MIN20,9.194977536797523
WVMA30,9.131458230316639
IMAX20,8.513938210904598
VMA60,8.444393157958984
VSTD10,8.11181827634573
ROC60,8.038686282932758
MIN30,7.707859478890896
VSUMP60,7.604611162096262
RESI30,7.573807720094919
RSV60,7.534122280776501
QTLU30,7.469893880188465
STD20,7.073364689946175
CORR5,6.836392015218735
CNTP60,6.68303532153368
dragon_count_20,6.68185131624341
KUP,6.423157405108213
STD30,6.383002184331417
RSQR20,6.283462688326836
SUMP10,6.152922291308641
VMA30,6.106608297675848
CORD20,6.0871656984090805
RANK10,6.016360003501177
QTLU60,5.928787641227245
RSV20,5.751103471964598
RSQR30,5.706281699240208
KUP2,5.381735671311617
VSUMD60,5.099068555980921
SUMN60,4.918172273784876
QTLD20,4.917871817946434
IMXD30,4.911289308220148
CNTN60,4.671602077782154
SUMN30,4.602549035102129
CNTN20,4.475712180137634
RSV30,4.459602653980255
SUMD30,4.29184028506279
MA10,4.198353715240955
IMXD20,4.018966399133205
SUMP60,3.905862409621477
SUMP30,3.637253761291504
CNTD30,3.6292469203472137
MA20,3.615299202501774
CNTN10,3.553363274782896
VSTD20,3.4854405988007784
SUMN10,3.40613966062665
IMXD10,3.309519685804844
SUMN20,3.2559613212943077
VSUMN60,3.1292207837104797
IMAX5,3.127196781337261
MA60,2.9639795683324337
SUMD60,2.9399664103984833
QTLD60,2.863111812621355
SUMD10,2.838097870349884
QTLD30,2.7044455111026764
QTLU20,2.5214437134563923
VSUMD5,2.513822413980961
SUMN5,2.3500848971307278
VSUMP20,2.276922792196274
CORR10,2.2715694047510624
VSUMP30,2.220865171402693
IMAX10,2.176806002855301
SUMP20,2.0654963105916977
CNTP20,2.0402962900698185
MA30,2.023691587150097
CNTN30,1.7545740939676762
VSUMN20,1.7112214975059032
SUMD20,1.6848792061209679
CNTD10,1.6152376756072044
VSUMN10,1.6068908907473087
VSUMN30,1.601543091237545
SUMP5,1.578503292053938
VSTD30,1.5309397839009762
CNTP30,1.5292211957275867
WVMA20,1.482343103736639
WVMA5,1.4767424128949642
VSUMP10,1.4187385030090809
SUMD5,1.4116192050278187
RANK5,1.3409887962043285
RSQR60,1.32504490762949
CORR30,1.1757727935910225
CNTP10,1.1556736007332802
CNTN5,1.1206702925264835
CORR60,0.8227752074599266
WVMA10,0.8016568943858147
VSUMD30,0.759323000907898
CNTP5,0.7183052897453308
margin_bal_chg,0.6524918973445892
CNTD5,0.628445390611887
VSUMD20,0.6199820972979069
CORR20,0.4127048999071121
VSUMD10,0.12833749502897263
VWAP0,0.0
