datetime,symbol,direction,price,volume,commission,amount,strategy
2022-02-08,603348.SSE,买入,46.70999999999999,300.0,5.14,14013.0,SignalRankStrategy
2022-02-08,603693.SSE,买入,25.009999999999998,600.0,5.15,15006.0,SignalRankStrategy
2022-02-08,300085.SZSE,买入,135.822,100.0,5.14,13582.2,SignalRankStrategy
2022-02-08,603869.SSE,买入,18.971020000000003,800.0,5.15,15176.82,SignalRankStrategy
2022-02-08,300318.SZSE,买入,50.100448527488,300.0,5.15,15030.13,SignalRankStrategy
2022-02-08,300287.SZSE,买入,62.92349999999999,200.0,5.13,12584.7,SignalRankStrategy
2022-02-08,603610.SSE,买入,47.529799999999994,300.0,5.14,14258.94,SignalRankStrategy
2022-02-08,603997.SSE,买入,21.322999999999997,700.0,5.15,14926.1,SignalRankStrategy
2022-02-08,300860.SZSE,买入,117.746,100.0,5.12,11774.6,SignalRankStrategy
2022-02-08,600416.SSE,买入,50.52029999999999,300.0,5.15,15156.09,SignalRankStrategy
2022-02-08,688133.SSE,买入,157.35,100.0,5.16,15735.0,SignalRankStrategy
2022-02-08,300219.SZSE,买入,63.740066000000006,200.0,5.13,12748.01,SignalRankStrategy
2022-02-08,300311.SZSE,买入,57.30689509427305,200.0,5.11,11461.38,SignalRankStrategy
2022-02-08,002581.SZSE,买入,46.416000000000004,300.0,5.14,13924.8,SignalRankStrategy
2022-02-08,002061.SZSE,买入,13.9915,1100.0,5.15,15390.65,SignalRankStrategy
2022-02-08,002425.SZSE,买入,31.344861200000008,500.0,5.16,15672.43,SignalRankStrategy
2022-02-08,600523.SSE,买入,37.16753999999999,400.0,5.15,14867.02,SignalRankStrategy
2022-02-08,300663.SZSE,买入,66.6260528125,200.0,5.13,13325.21,SignalRankStrategy
2022-02-08,002292.SZSE,买入,44.598800000000004,300.0,5.13,13379.64,SignalRankStrategy
2022-02-08,600986.SSE,买入,33.412270400000004,400.0,5.13,13364.91,SignalRankStrategy
2022-02-08,688100.SSE,买入,25.910000000000004,600.0,5.16,15546.0,SignalRankStrategy
2022-02-08,300378.SZSE,买入,45.64561409000002,300.0,5.14,13693.68,SignalRankStrategy
2022-02-08,003040.SZSE,买入,24.09,600.0,5.14,14454.0,SignalRankStrategy
2022-02-08,002605.SZSE,买入,97.51698800000001,100.0,5.1,9751.7,SignalRankStrategy
2022-02-08,002837.SZSE,买入,120.73238800000003,100.0,5.12,12073.24,SignalRankStrategy
2022-02-08,600248.SSE,买入,22.0684749848,700.0,5.15,15447.93,SignalRankStrategy
2022-02-08,601137.SSE,买入,40.19999999999999,300.0,5.12,12060.0,SignalRankStrategy
2022-03-08,002061.SZSE,卖出,14.010500000000004,1100.0,20.57,15411.55,SignalRankStrategy
2022-03-08,002292.SZSE,卖出,44.19480000000001,300.0,18.39,13258.44,SignalRankStrategy
2022-03-08,002425.SZSE,卖出,30.659261200000003,500.0,20.48,15329.63,SignalRankStrategy
2022-03-08,002581.SZSE,卖出,47.41000000000001,300.0,19.37,14223.0,SignalRankStrategy
2022-03-08,002605.SZSE,卖出,86.25698800000002,100.0,13.71,8625.7,SignalRankStrategy
2022-03-08,003040.SZSE,卖出,24.519999999999996,600.0,19.86,14712.0,SignalRankStrategy
2022-03-08,300085.SZSE,卖出,137.67400000000004,100.0,18.91,13767.4,SignalRankStrategy
2022-03-08,300219.SZSE,卖出,56.32006600000001,200.0,16.38,11264.01,SignalRankStrategy
2022-03-08,300287.SZSE,卖出,68.1835,200.0,18.77,13636.7,SignalRankStrategy
2022-03-08,300311.SZSE,卖出,66.80706021575566,200.0,18.5,13361.41,SignalRankStrategy
2022-03-08,300318.SZSE,卖出,50.97289588748801,300.0,20.44,15291.87,SignalRankStrategy
2022-03-08,300378.SZSE,卖出,41.91268409000001,300.0,17.7,12573.81,SignalRankStrategy
2022-03-08,300663.SZSE,卖出,65.56238705,200.0,18.24,13112.48,SignalRankStrategy
2022-03-08,300860.SZSE,卖出,96.446,100.0,14.74,9644.6,SignalRankStrategy
2022-03-08,600248.SSE,卖出,22.117728532799994,700.0,20.64,15482.41,SignalRankStrategy
2022-03-08,600416.SSE,卖出,52.61202000000003,300.0,20.94,15783.61,SignalRankStrategy
2022-03-08,600523.SSE,卖出,41.879539999999984,400.0,21.92,16751.82,SignalRankStrategy
2022-03-08,600986.SSE,卖出,33.1149024,400.0,18.38,13245.96,SignalRankStrategy
2022-03-08,601137.SSE,卖出,37.379999999999995,300.0,16.33,11214.0,SignalRankStrategy
2022-03-08,603348.SSE,卖出,37.809999999999995,300.0,16.46,11343.0,SignalRankStrategy
2022-03-08,603610.SSE,卖出,41.753130000000006,300.0,17.65,12525.94,SignalRankStrategy
2022-03-08,603693.SSE,卖出,24.339999999999993,600.0,19.75,14604.0,SignalRankStrategy
2022-03-08,603869.SSE,卖出,16.471519999999995,800.0,18.31,13177.22,SignalRankStrategy
2022-03-08,688133.SSE,卖出,148.83,100.0,20.03,14883.0,SignalRankStrategy
2022-03-08,000950.SZSE,买入,15.045312499999998,1000.0,5.15,15045.31,SignalRankStrategy
2022-03-08,300679.SZSE,买入,131.9267,100.0,5.13,13192.67,SignalRankStrategy
2022-03-08,688266.SSE,买入,38.21,400.0,5.15,15284.0,SignalRankStrategy
2022-03-08,688788.SSE,买入,91.83,100.0,5.09,9183.0,SignalRankStrategy
2022-03-08,002906.SZSE,买入,42.71000000000001,300.0,5.13,12813.0,SignalRankStrategy
2022-03-08,603595.SSE,买入,62.64584119999999,200.0,5.13,12529.17,SignalRankStrategy
2022-03-08,300572.SZSE,买入,57.120344319999994,200.0,5.11,11424.07,SignalRankStrategy
2022-03-08,000893.SZSE,买入,60.81111799999999,200.0,5.12,12162.22,SignalRankStrategy
2022-03-08,603583.SSE,买入,94.76989999999999,100.0,5.09,9476.99,SignalRankStrategy
2022-03-08,300737.SZSE,买入,23.408,600.0,5.14,14044.8,SignalRankStrategy
2022-03-08,300639.SZSE,买入,99.34319825600001,100.0,5.1,9934.32,SignalRankStrategy
2022-03-08,603688.SSE,买入,89.285,100.0,5.09,8928.5,SignalRankStrategy
2022-03-08,688508.SSE,买入,100.54,100.0,5.1,10054.0,SignalRankStrategy
2022-03-08,002918.SZSE,买入,50.657999999999994,300.0,5.15,15197.4,SignalRankStrategy
2022-03-08,300709.SZSE,买入,83.0498,100.0,5.08,8304.98,SignalRankStrategy
2022-03-15,603997.SSE,卖出,16.082999999999995,490.0,12.96,7880.67,__RISK_DRAWDOWN__
2022-03-15,688100.SSE,卖出,22.42,420.0,14.51,9416.4,__RISK_DRAWDOWN__
2022-03-15,002837.SZSE,卖出,118.71835025,70.0,13.39,8310.28,__RISK_DRAWDOWN__
2022-03-15,000950.SZSE,卖出,12.955312499999996,700.0,14.16,9068.72,__RISK_DRAWDOWN__
2022-03-15,300679.SZSE,卖出,118.74420000000002,70.0,13.4,8312.09,__RISK_DRAWDOWN__
2022-03-15,688266.SSE,卖出,35.79,280.0,15.12,10021.2,__RISK_DRAWDOWN__
2022-03-15,688788.SSE,卖出,82.97,70.0,10.87,5807.9,__RISK_DRAWDOWN__
2022-03-15,002906.SZSE,卖出,39.540000000000006,210.0,13.39,8303.4,__RISK_DRAWDOWN__
2022-03-15,603595.SSE,卖出,58.9018412,140.0,13.33,8246.26,__RISK_DRAWDOWN__
2022-03-15,300572.SZSE,卖出,50.59154432000001,140.0,12.15,7082.82,__RISK_DRAWDOWN__
