,equity,returns,drawdown
2016-01-04,1000000.0,0.0,0.0
2016-01-05,1000000.0,0.0,0.0
2016-01-06,1000000.0,0.0,0.0
2016-01-07,1000000.0,0.0,0.0
2016-01-08,1000000.0,0.0,0.0
2016-01-11,1000000.0,0.0,0.0
2016-01-12,1000000.0,0.0,0.0
2016-01-13,1000000.0,0.0,0.0
2016-01-14,1000000.0,0.0,0.0
2016-01-15,1000000.0,0.0,0.0
2016-01-18,1000000.0,0.0,0.0
2016-01-19,1000000.0,0.0,0.0
2016-01-20,1000000.0,0.0,0.0
2016-01-21,1000000.0,0.0,0.0
2016-01-22,1000000.0,0.0,0.0
2016-01-25,1000000.0,0.0,0.0
2016-01-26,1000000.0,0.0,0.0
2016-01-27,1000000.0,0.0,0.0
2016-01-28,1000000.0,0.0,0.0
2016-01-29,1000000.0,0.0,0.0
2016-02-01,1000000.0,0.0,0.0
2016-02-02,1000000.0,0.0,0.0
2016-02-03,1000000.0,0.0,0.0
2016-02-04,1000000.0,0.0,0.0
2016-02-05,1000000.0,0.0,0.0
2016-02-15,1000000.0,0.0,0.0
2016-02-16,1000000.0,0.0,0.0
2016-02-17,1000000.0,0.0,0.0
2016-02-18,1000000.0,0.0,0.0
2016-02-19,1000000.0,0.0,0.0
2016-02-22,1000000.0,0.0,0.0
2016-02-23,1000000.0,0.0,0.0
2016-02-24,1000000.0,0.0,0.0
2016-02-25,1000000.0,0.0,0.0
2016-02-26,1000000.0,0.0,0.0
2016-02-29,1000000.0,0.0,0.0
2016-03-01,1000000.0,0.0,0.0
2016-03-02,1000000.0,0.0,0.0
2016-03-03,1000000.0,0.0,0.0
2016-03-04,1000000.0,0.0,0.0
2016-03-07,1000000.0,0.0,0.0
2016-03-08,1000000.0,0.0,0.0
2016-03-09,1000000.0,0.0,0.0
2016-03-10,1000000.0,0.0,0.0
2016-03-11,1000000.0,0.0,0.0
2016-03-14,1000000.0,0.0,0.0
2016-03-15,1000000.0,0.0,0.0
2016-03-16,1000000.0,0.0,0.0
2016-03-17,1000000.0,0.0,0.0
2016-03-18,1000000.0,0.0,0.0
2016-03-21,1000000.0,0.0,0.0
2016-03-22,1000000.0,0.0,0.0
2016-03-23,1000000.0,0.0,0.0
2016-03-24,1000000.0,0.0,0.0
2016-03-25,1000000.0,0.0,0.0
2016-03-28,1000000.0,0.0,0.0
2016-03-29,1000000.0,0.0,0.0
2016-03-30,1000000.0,0.0,0.0
2016-03-31,1000000.0,0.0,0.0
2016-04-01,1000000.0,0.0,0.0
2016-04-05,1010370.9354869563,0.010370935486956334,0.0
2016-04-06,1005669.4183334442,-0.004653258509703884,-0.004653258509703884
2016-04-07,998102.7265387124,-0.0075240348933658385,-0.012142282123674852
2016-04-08,992779.5642917244,-0.005333280939375906,-0.017410804861240026
2016-04-11,1002636.8569406845,0.009928984241323047,-0.0076546922270128714
2016-04-12,998067.6578019004,-0.004557182500477763,-0.012176990898027151
2016-04-13,1006701.7492705085,0.008650807789547521,-0.003631523916193591
2016-04-14,1011218.7062238284,0.0044868869618961416,0.0
2016-04-15,1006450.2935711524,-0.00471551072317733,-0.00471551072317733
2016-04-18,998498.1196960164,-0.007901208759072964,-0.012579461247620882
2016-04-19,997147.9119976644,-0.0013522385988700147,-0.013914689413438763
2016-04-20,980074.5764128884,-0.017122169519035224,-0.03079860926153244
2016-04-21,971941.2083536283,-0.008298723643080819,-0.038841743757760505
2016-04-22,977331.1057143724,0.005545497314466186,-0.03351164322899225
2016-04-25,975570.2066082325,-0.0018017426191022645,-0.0352530064922526
2016-04-26,977824.8419180284,0.0023110948802287368,-0.03302338465484078
2016-04-27,975823.4095918044,-0.0020468209033206453,-0.035002612604151495
2016-04-28,976625.0907239562,0.0008215432467306716,-0.034209825517423686
2016-04-29,975760.4173340884,-0.0008853688053692688,-0.035064906010442654
2016-05-03,988719.1352543602,0.013280634969470073,-0.02224995525793616
2016-05-04,988349.6930853082,-0.0003736573470451976,-0.022615298745727763
2016-05-05,989282.2924976484,0.0009435925552108149,-0.021693045818047207
2016-05-06,973267.9551850443,-0.016187833780156424,-0.03752971617831591
2016-05-09,958241.8049104363,-0.015438862642663698,-0.052389162687884405
