datetime,symbol,direction,price,volume,commission,amount,strategy
2016-04-05,600642.SSE,买入,42.72901999999998,1100.0,12.22,47001.92,LowTurnoverStrategy
2016-04-05,000729.SZSE,买入,66.00502300000004,700.0,12.01,46203.52,LowTurnoverStrategy
2016-04-05,600535.SSE,买入,255.4760805000001,100.0,6.64,25547.61,LowTurnoverStrategy
2016-04-05,601991.SSE,买入,10.480750000000002,4500.0,12.26,47163.38,LowTurnoverStrategy
2016-04-05,002252.SZSE,买入,466.22099999999995,100.0,12.12,46622.1,LowTurnoverStrategy
2016-04-05,601992.SSE,买入,9.380999999999998,5000.0,12.2,46905.0,LowTurnoverStrategy
2016-04-05,601179.SSE,买入,5.959999999999999,7900.0,12.24,47084.0,LowTurnoverStrategy
2016-04-05,600863.SSE,买入,87.99801010000003,500.0,11.44,43999.01,LowTurnoverStrategy
2016-04-05,600383.SSE,买入,133.88984000000008,300.0,10.44,40166.95,LowTurnoverStrategy
2016-04-05,300003.SZSE,买入,75.64000000000001,600.0,11.8,45384.0,LowTurnoverStrategy
2016-04-05,000069.SZSE,买入,290.5090634981623,100.0,7.55,29050.91,LowTurnoverStrategy
2016-04-05,000883.SZSE,买入,21.855478318840003,2100.0,11.93,45896.5,LowTurnoverStrategy
2016-04-05,600398.SSE,买入,86.35312444480003,500.0,11.23,43176.56,LowTurnoverStrategy
2016-04-05,002294.SZSE,买入,273.16424,100.0,7.1,27316.42,LowTurnoverStrategy
2016-04-05,600256.SSE,买入,164.09063159999997,200.0,8.53,32818.13,LowTurnoverStrategy
2016-04-05,600703.SSE,买入,255.92474479999998,100.0,6.65,25592.47,LowTurnoverStrategy
2016-04-05,601333.SSE,买入,4.95,9400.0,12.1,46530.0,LowTurnoverStrategy
2016-04-05,600637.SSE,买入,101.71333077600008,400.0,10.58,40685.33,LowTurnoverStrategy
2016-07-01,000729.SZSE,卖出,69.907799,700.0,61.66,48935.46,LowTurnoverStrategy
2016-07-01,600256.SSE,卖出,150.95635900000008,200.0,38.04,30191.27,LowTurnoverStrategy
2016-07-01,600703.SSE,卖出,260.21053200000006,100.0,32.79,26021.05,LowTurnoverStrategy
2016-07-01,600863.SSE,卖出,77.64760625,500.0,48.92,38823.8,LowTurnoverStrategy
2016-07-01,601179.SSE,卖出,5.439999999999999,7900.0,54.15,42976.0,LowTurnoverStrategy
2016-07-01,601991.SSE,卖出,9.660750000000002,4500.0,54.78,43473.38,LowTurnoverStrategy
2016-09-27,002294.SZSE,卖出,272.6834400000001,100.0,34.36,27268.34,LowTurnoverStrategy
2016-09-27,600383.SSE,卖出,138.18714000000008,300.0,52.23,41456.14,LowTurnoverStrategy
2016-09-27,600398.SSE,卖出,82.44352201380002,500.0,51.94,41221.76,LowTurnoverStrategy
2016-09-27,601179.SSE,买入,5.569999999999999,8300.0,12.02,46231.0,LowTurnoverStrategy
2016-09-27,000729.SZSE,买入,71.44341700000003,600.0,11.15,42866.05,LowTurnoverStrategy
2016-09-27,000061.SZSE,买入,330.8966643617345,100.0,8.6,33089.67,LowTurnoverStrategy
2016-09-27,002385.SZSE,买入,67.52544662000001,600.0,10.53,40515.27,LowTurnoverStrategy
2016-09-27,600959.SSE,买入,13.352,3400.0,11.8,45396.8,LowTurnoverStrategy
2016-09-27,600256.SSE,买入,149.20416,300.0,11.64,44761.25,LowTurnoverStrategy
2016-09-27,600252.SSE,买入,152.13575040000003,300.0,11.87,45640.73,LowTurnoverStrategy
2016-09-27,601866.SSE,买入,4.01,11600.0,12.09,46516.0,LowTurnoverStrategy
2016-09-27,600157.SSE,买入,194.37623848201594,200.0,10.11,38875.25,LowTurnoverStrategy
2016-12-27,000069.SZSE,卖出,297.5740868940022,100.0,37.49,29757.41,LowTurnoverStrategy
2016-12-27,600157.SSE,卖出,202.81363853004802,200.0,51.11,40562.73,LowTurnoverStrategy
2016-12-27,600252.SSE,卖出,160.65566464000003,300.0,60.73,48196.7,LowTurnoverStrategy
2016-12-27,600256.SSE,卖出,175.767145,300.0,66.44,52730.14,LowTurnoverStrategy
2016-12-27,600959.SSE,卖出,14.788,3400.0,63.35,50279.2,LowTurnoverStrategy
2016-12-27,601179.SSE,卖出,6.129999999999999,8300.0,64.11,50879.0,LowTurnoverStrategy
2016-12-27,601333.SSE,卖出,6.08,9400.0,72.01,57152.0,LowTurnoverStrategy
2016-12-27,601866.SSE,卖出,4.140000000000001,11600.0,60.51,48024.0,LowTurnoverStrategy
2016-12-27,600398.SSE,买入,82.18064183700002,500.0,10.68,41090.32,LowTurnoverStrategy
2016-12-27,601098.SSE,买入,17.88,2500.0,11.62,44700.0,LowTurnoverStrategy
2016-12-27,600352.SSE,买入,148.63080000000002,300.0,11.59,44589.24,LowTurnoverStrategy
2016-12-27,300070.SZSE,买入,312.9203333635261,100.0,8.14,31292.03,LowTurnoverStrategy
2016-12-27,600703.SSE,买入,270.33646784,100.0,7.03,27033.65,LowTurnoverStrategy
2016-12-27,002152.SZSE,买入,137.3122336,300.0,10.71,41193.67,LowTurnoverStrategy
2016-12-27,000826.SZSE,买入,200.61437159999997,200.0,10.43,40122.87,LowTurnoverStrategy
2016-12-27,600373.SSE,买入,76.30789600000001,600.0,11.9,45784.74,LowTurnoverStrategy
2016-12-27,600177.SSE,买入,201.7829125000001,200.0,10.49,40356.58,LowTurnoverStrategy
