datetime,symbol,direction,price,volume,commission,amount,strategy
2020-07-21,600867.SSE,买入,611.5694861999933,100,15.9,61156.95,MeanReversionStrategy
2020-07-27,600867.SSE,卖出,558.8905811871672,100,70.42,55889.06,MeanReversionStrategy
2020-07-27,600690.SSE,买入,616.19040844672,100,16.02,61619.04,MeanReversionStrategy
2020-07-27,002938.SZSE,买入,45.5,1900,22.48,86450.0,MeanReversionStrategy
2020-07-29,000656.SZSE,买入,53.206399999999995,1600,22.13,85130.24,MeanReversionStrategy
2020-07-30,002938.SZSE,卖出,50.790000000000006,1900,121.59,96501.0,MeanReversionStrategy
2020-08-05,000656.SZSE,卖出,56.24880000000002,1600,113.4,89998.08,MeanReversionStrategy
2020-08-12,300003.SZSE,买入,167.9,500,21.83,83950.0,MeanReversionStrategy
2020-08-13,002841.SZSE,买入,157.3836,500,20.46,78691.8,MeanReversionStrategy
2020-08-13,002773.SZSE,买入,87.11400000000002,1000,22.65,87114.0,MeanReversionStrategy
2020-08-13,600233.SSE,买入,61.60540000000001,1500,24.03,92408.1,MeanReversionStrategy
2020-08-13,300413.SZSE,买入,105.67699999999999,800,21.98,84541.6,MeanReversionStrategy
2020-08-13,601878.SSE,买入,15.73,5800,23.72,91234.0,MeanReversionStrategy
2020-08-14,300003.SZSE,卖出,159.20000000000005,500,100.3,79600.0,MeanReversionStrategy
2020-08-14,603658.SSE,买入,147.10000000000002,600,22.95,88260.0,MeanReversionStrategy
2020-08-14,002410.SZSE,买入,749.3919572733374,100,19.48,74939.2,MeanReversionStrategy
2020-08-18,600233.SSE,卖出,64.83260000000001,1500,122.53,97248.9,MeanReversionStrategy
2020-08-18,601878.SSE,卖出,16.45,5800,120.22,95410.0,MeanReversionStrategy
2020-08-21,002460.SZSE,买入,480.18499999999983,100,12.48,48018.5,MeanReversionStrategy
2020-08-21,600760.SSE,买入,306.97740299000003,300,23.94,92093.22,MeanReversionStrategy
2020-08-21,601808.SSE,买入,15.878000000000002,5900,24.36,93680.2,MeanReversionStrategy
2020-08-21,002050.SZSE,买入,249.91393999999997,300,19.49,74974.18,MeanReversionStrategy
2020-08-25,300413.SZSE,卖出,109.261,800,110.14,87408.8,MeanReversionStrategy
2020-08-25,601808.SSE,卖出,16.008000000000003,5900,119.0,94447.2,MeanReversionStrategy
2020-08-25,002050.SZSE,卖出,266.573564,300,100.76,79972.07,MeanReversionStrategy
2020-08-26,002841.SZSE,卖出,162.25959999999998,500,102.22,81129.8,MeanReversionStrategy
2020-08-26,002773.SZSE,卖出,89.9215,1000,113.3,89921.5,MeanReversionStrategy
2020-08-26,002410.SZSE,卖出,785.1958360861373,100,98.93,78519.58,MeanReversionStrategy
2020-08-26,600089.SSE,买入,376.1319269478259,200,19.56,75226.39,MeanReversionStrategy
2020-08-27,002460.SZSE,卖出,459.28499999999985,100,57.87,45928.5,MeanReversionStrategy
2020-08-27,002129.SZSE,买入,87.52250000000001,1000,22.76,87522.5,MeanReversionStrategy
2020-08-27,001979.SZSE,买入,19.529824,4800,24.37,93743.16,MeanReversionStrategy
2020-08-27,601828.SSE,买入,11.49,8200,24.5,94218.0,MeanReversionStrategy
