datetime,symbol,direction,price,volume,commission,amount,strategy
2022-02-08,000625.SZSE,买入,120.4749390144,200.0,6.26,24094.99,SignalRankStrategy
2022-02-08,300408.SZSE,买入,155.85000000000002,200.0,8.1,31170.0,SignalRankStrategy
2022-02-08,300433.SZSE,买入,86.71511551280003,300.0,6.76,26014.53,SignalRankStrategy
2022-02-08,300558.SZSE,买入,62.48,500.0,8.12,31240.0,SignalRankStrategy
2022-02-08,600893.SSE,买入,172.440314730815,100.0,5.17,17244.03,SignalRankStrategy
2022-02-08,603260.SSE,买入,149.83899999999997,200.0,7.79,29967.8,SignalRankStrategy
2022-02-08,603501.SSE,买入,244.98,100.0,6.37,24498.0,SignalRankStrategy
2022-02-08,603882.SSE,买入,79.506,300.0,6.2,23851.8,SignalRankStrategy
2022-02-08,688036.SSE,买入,135.39000000000001,200.0,7.04,27078.0,SignalRankStrategy
2022-02-08,688363.SSE,买入,120.79,200.0,6.28,24158.0,SignalRankStrategy
2022-02-08,688599.SSE,买入,67.69000000000001,400.0,7.04,27076.0,SignalRankStrategy
2022-02-08,002050.SZSE,买入,235.976172,100.0,6.14,23597.62,SignalRankStrategy
2022-03-08,000625.SZSE,卖出,113.93668524159997,200.0,28.71,22787.34,SignalRankStrategy
2022-03-08,002050.SZSE,卖出,222.246892,100.0,28.0,22224.69,SignalRankStrategy
2022-03-08,300408.SZSE,卖出,137.35000000000002,200.0,34.61,27470.0,SignalRankStrategy
2022-03-08,300433.SZSE,卖出,78.91939544880002,300.0,29.83,23675.82,SignalRankStrategy
2022-03-08,300558.SZSE,卖出,57.25,500.0,36.07,28625.0,SignalRankStrategy
2022-03-08,600893.SSE,卖出,166.80462621391504,100.0,21.85,16680.46,SignalRankStrategy
2022-03-08,603501.SSE,卖出,221.6,100.0,27.92,22160.0,SignalRankStrategy
2022-03-08,603882.SSE,卖出,77.33599999999998,300.0,29.23,23200.8,SignalRankStrategy
2022-03-08,688036.SSE,卖出,126.75,200.0,31.94,25350.0,SignalRankStrategy
2022-03-08,688363.SSE,卖出,115.97,200.0,29.22,23194.0,SignalRankStrategy
2022-03-08,688599.SSE,卖出,73.97,400.0,37.28,29588.0,SignalRankStrategy
2022-03-08,600346.SSE,买入,200.06578399999995,100.0,5.2,20006.58,SignalRankStrategy
2022-03-08,300759.SZSE,买入,110.17000000000002,200.0,5.73,22034.0,SignalRankStrategy
2022-03-08,002157.SZSE,买入,106.07814400000002,200.0,5.52,21215.63,SignalRankStrategy
2022-03-08,002493.SZSE,买入,206.73999999999998,100.0,5.38,20674.0,SignalRankStrategy
2022-03-08,002555.SZSE,买入,236.37000000000003,100.0,6.15,23637.0,SignalRankStrategy
2022-03-08,601100.SSE,买入,184.68469999999996,100.0,5.18,18468.47,SignalRankStrategy
2022-03-08,601799.SSE,买入,144.01500000000001,200.0,7.49,28803.0,SignalRankStrategy
2022-03-08,601966.SSE,买入,25.038,1200.0,7.81,30045.6,SignalRankStrategy
2022-04-07,002157.SZSE,卖出,121.32214400000002,200.0,30.57,24264.43,SignalRankStrategy
2022-04-07,002493.SZSE,卖出,202.93999999999997,100.0,25.57,20294.0,SignalRankStrategy
2022-04-07,002555.SZSE,卖出,281.3860000000001,100.0,35.45,28138.6,SignalRankStrategy
2022-04-07,300759.SZSE,卖出,114.93,200.0,28.96,22986.0,SignalRankStrategy
2022-04-07,600346.SSE,卖出,200.667888,100.0,25.28,20066.79,SignalRankStrategy
2022-04-07,601799.SSE,卖出,131.135,200.0,33.05,26227.0,SignalRankStrategy
2022-04-07,601633.SSE,买入,87.77,300.0,6.85,26331.0,SignalRankStrategy
2022-04-07,300408.SZSE,买入,115.97,200.0,6.03,23194.0,SignalRankStrategy
2022-04-07,002568.SZSE,买入,207.822,100.0,5.4,20782.2,SignalRankStrategy
2022-04-07,603501.SSE,买入,187.80999999999997,100.0,5.19,18781.0,SignalRankStrategy
2022-04-07,603517.SSE,买入,60.481999999999985,500.0,7.86,30241.0,SignalRankStrategy
2022-04-07,688008.SSE,买入,62.58999999999999,500.0,8.14,31295.0,SignalRankStrategy
2022-04-07,688599.SSE,买入,53.41,500.0,6.94,26705.0,SignalRankStrategy
2022-04-07,300888.SZSE,买入,63.44,400.0,6.6,25376.0,SignalRankStrategy
2022-04-07,601600.SSE,买入,6.2214,4900.0,7.93,30484.86,SignalRankStrategy
2022-04-07,601607.SSE,买入,206.0503406359931,100.0,5.36,20605.03,SignalRankStrategy
2022-05-10,002568.SZSE,卖出,171.29,100.0,22.3,17129.0,SignalRankStrategy
2022-05-10,300408.SZSE,卖出,112.63,200.0,28.38,22526.0,SignalRankStrategy
2022-05-10,300888.SZSE,卖出,58.29,400.0,29.38,23316.0,SignalRankStrategy
2022-05-10,601100.SSE,卖出,147.08898000000002,100.0,19.86,14708.9,SignalRankStrategy
2022-05-10,601607.SSE,卖出,164.63388172361311,100.0,21.63,16463.39,SignalRankStrategy
2022-05-10,603260.SSE,卖出,110.479,200.0,27.84,22095.8,SignalRankStrategy
2022-05-10,603517.SSE,卖出,60.532,500.0,38.14,30266.0,SignalRankStrategy
2022-05-10,688599.SSE,卖出,52.27,500.0,32.93,26135.0,SignalRankStrategy
2022-06-08,601600.SSE,卖出,5.461400000000001,4900.0,33.72,26760.86,SignalRankStrategy
2022-06-08,601633.SSE,卖出,113.57999999999998,300.0,42.93,34074.0,SignalRankStrategy
2022-06-08,688008.SSE,卖出,68.74999999999999,500.0,43.31,34375.0,SignalRankStrategy
2022-06-08,000301.SZSE,买入,28.88100000000001,1000.0,7.51,28881.0,SignalRankStrategy
2022-06-08,601799.SSE,买入,164.305,100.0,5.16,16430.5,SignalRankStrategy
2022-06-08,688599.SSE,买入,64.79,400.0,6.74,25916.0,SignalRankStrategy
2022-06-08,002459.SZSE,买入,122.97400000000002,200.0,6.39,24594.8,SignalRankStrategy
2022-06-08,603806.SSE,买入,250.8323439999999,100.0,6.52,25083.23,SignalRankStrategy
2022-06-08,688111.SSE,买入,218.75,100.0,5.69,21875.0,SignalRankStrategy
2022-06-08,601238.SSE,买入,24.763999999999996,1200.0,7.73,29716.8,SignalRankStrategy
