date,equity
2022-01-04,500000.0
2022-01-05,495688.34375
2022-01-06,496499.75
2022-01-07,493791.59375
2022-01-10,494881.15625
2022-01-11,493542.875
2022-01-12,495521.59375
2022-01-13,493576.0
2022-01-14,493634.59375
2022-01-17,495966.0
2022-01-18,494492.34375
2022-01-19,493774.09375
2022-01-20,490225.875
2022-01-21,488179.125
2022-01-24,488230.84375
2022-01-25,482563.8125
2022-01-26,483180.25
2022-01-27,478889.84375
2022-01-28,479649.6875
2022-02-07,481627.65625
2022-02-08,482873.28125
2022-02-09,485266.4375
2022-02-10,484903.3125
2022-02-11,481622.5625
2022-02-14,481206.46875
2022-02-15,482737.71875
2022-02-16,483940.5
2022-02-17,483854.40625
2022-02-18,484683.3125
2022-02-21,486532.5625
2022-02-22,484971.4375
2022-02-23,487989.9375
2022-02-24,484867.28125
2022-02-25,486265.375
2022-02-28,486745.75
2022-03-01,487543.65625
2022-03-02,487481.125
2022-03-03,486564.125
2022-03-04,484940.40625
2022-03-07,482173.40625
2022-03-08,478012.75
2022-03-09,475830.9375
2022-03-10,478368.46875
2022-03-11,479418.4375
2022-03-14,475255.75
2022-03-15,468074.8125
2022-03-16,472560.8125
2022-03-17,475087.65625
2022-03-18,476515.0
2022-03-21,478124.875
2022-03-22,477672.8125
2022-03-23,478410.53125
2022-03-24,476750.65625
2022-03-25,475598.875
2022-03-28,474943.5
2022-03-29,473834.46875
2022-03-30,476370.84375
2022-03-31,475419.8125
2022-04-01,475294.15625
2022-04-06,475943.4375
2022-04-07,472937.21875
2022-04-08,471824.0625
2022-04-11,467460.25
2022-04-12,469539.3125
2022-04-13,466041.21875
2022-04-14,467312.78125
2022-04-15,465202.34375
2022-04-18,466154.5625
2022-04-19,466679.46875
2022-04-20,465018.625
2022-04-21,459465.125
2022-04-22,457695.03125
2022-04-25,447026.8125
2022-04-26,443479.46875
2022-04-27,449971.15625
2022-04-28,447993.625
2022-04-29,453971.0625
2022-05-05,456337.15625
2022-05-06,454480.28125
2022-05-09,456396.1875
2022-05-10,459402.90625
2022-05-11,460055.875
2022-05-12,461318.71875
2022-05-13,462176.34375
2022-05-16,462353.28125
2022-05-17,462472.3125
2022-05-18,463072.0
2022-05-19,463892.0
2022-05-20,465694.71875
2022-05-23,467963.71875
2022-05-24,461978.96875
2022-05-25,464865.71875
2022-05-26,465752.53125
2022-05-27,465558.96875
2022-05-30,467057.1875
2022-05-31,468858.0625
2022-06-01,469622.5
2022-06-02,470940.96875
2022-06-06,473400.84375
2022-06-07,473110.90625
2022-06-08,472977.375
2022-06-09,470340.5625
2022-06-10,472973.65625
2022-06-13,473847.34375
2022-06-14,473656.6875
2022-06-15,473718.84375
2022-06-16,474917.8125
2022-06-17,475933.34375
2022-06-20,477591.125
2022-06-21,476628.96875
2022-06-22,474636.1875
2022-06-23,477451.6875
2022-06-24,479103.96875
2022-06-27,480151.09375
2022-06-28,481697.59375
2022-06-29,478541.9375
2022-06-30,479926.375
2022-07-01,479688.84375
2022-07-04,480863.96875
2022-07-05,479712.15625
2022-07-06,478207.53125
2022-07-07,479385.90625
2022-07-08,479236.28125
2022-07-11,477466.5
2022-07-12,475158.46875
2022-07-13,476274.78125
2022-07-14,477580.3125
2022-07-15,475684.125
2022-07-18,478272.96875
2022-07-19,479645.28125
2022-07-20,481482.9375
2022-07-21,481078.1875
2022-07-22,480294.125
2022-07-25,478946.6875
2022-07-26,480456.46875
2022-07-27,481817.84375
2022-07-28,482959.15625
2022-07-29,482231.375
2022-08-01,483166.4375
2022-08-02,478586.40625
2022-08-03,477935.78125
2022-08-04,479060.78125
2022-08-05,481422.53125
2022-08-08,482821.8125
2022-08-09,483080.8125
2022-08-10,483191.78125
2022-08-11,485133.25
2022-08-12,484247.6875
2022-08-15,484799.5625
2022-08-16,485620.71875
2022-08-17,485859.28125
2022-08-18,485991.96875
2022-08-19,484160.15625
