datetime,symbol,direction,price,volume,commission,amount,strategy
2016-02-22,510300.SSE,买入,3.265,296100,251.36,966766.5,MaCrossStrategy
2016-03-02,510300.SSE,卖出,3.0780000000000007,296100,1148.36,911395.8,MaCrossStrategy
2016-03-08,510300.SSE,买入,3.2630000000000003,274000,232.46,894062.0,MaCrossStrategy
2016-04-22,510300.SSE,卖出,3.2980000000000005,274000,1138.6,903652.0,MaCrossStrategy
2016-06-02,510300.SSE,买入,3.335,272000,235.85,907120.0,MaCrossStrategy
2016-06-20,510300.SSE,卖出,3.2770000000000006,272000,1123.09,891344.0,MaCrossStrategy
2016-07-01,510300.SSE,买入,3.338,266700,231.46,890244.6,MaCrossStrategy
2016-08-01,510300.SSE,卖出,3.402,266700,1143.21,907313.4,MaCrossStrategy
2016-08-11,510300.SSE,买入,3.469,260700,235.14,904368.3,MaCrossStrategy
2016-09-05,510300.SSE,卖出,3.5320000000000005,260700,1160.2,920792.4,MaCrossStrategy
2016-09-12,510300.SSE,买入,3.517,258100,236.01,907737.7,MaCrossStrategy
2016-09-13,510300.SSE,卖出,3.4760000000000004,258100,1130.42,897155.6,MaCrossStrategy
2016-10-13,510300.SSE,买入,3.5420000000000003,256700,236.4,909231.4,MaCrossStrategy
2016-12-12,510300.SSE,卖出,3.7120000000000006,256700,1200.62,952870.4,MaCrossStrategy
2017-01-10,510300.SSE,买入,3.596,263500,246.36,947546.0,MaCrossStrategy
2017-01-17,510300.SSE,卖出,3.517000000000001,263500,1167.68,926729.5,MaCrossStrategy
2017-01-23,510300.SSE,买入,3.5920000000000005,258000,240.95,926736.0,MaCrossStrategy
2017-03-09,510300.SSE,卖出,3.656000000000001,258000,1188.49,943248.0,MaCrossStrategy
2017-03-17,510300.SSE,买入,3.71,253700,244.72,941227.0,MaCrossStrategy
2017-04-20,510300.SSE,卖出,3.6480000000000006,253700,1166.13,925497.6,MaCrossStrategy
2017-05-22,510300.SSE,买入,3.6350000000000002,254500,240.53,925107.5,MaCrossStrategy
2017-08-14,510300.SSE,卖出,3.9130000000000007,254500,1254.78,995858.5,MaCrossStrategy
2017-08-23,510300.SSE,买入,4.035,245500,257.55,990592.5,MaCrossStrategy
2017-09-26,510300.SSE,卖出,4.085000000000001,245500,1263.61,1002867.5,MaCrossStrategy
2017-10-10,510300.SSE,买入,4.172000000000001,239700,260.01,1000028.4,MaCrossStrategy
2017-11-30,510300.SSE,卖出,4.309000000000001,239700,1301.41,1032867.3,MaCrossStrategy
2017-12-25,510300.SSE,买入,4.336,237800,268.09,1031100.8,MaCrossStrategy
2018-01-02,510300.SSE,卖出,4.298000000000001,237800,1287.8,1022064.4,MaCrossStrategy
2018-01-03,510300.SSE,买入,4.367999999999999,233600,265.29,1020364.8,MaCrossStrategy
2018-02-05,510300.SSE,卖出,4.487000000000001,233600,1320.69,1048163.2,MaCrossStrategy
2018-03-12,510300.SSE,买入,4.409000000000001,238100,272.94,1049782.9,MaCrossStrategy
2018-03-23,510300.SSE,卖出,4.158000000000001,238100,1247.42,990019.8,MaCrossStrategy
2018-05-10,510300.SSE,买入,4.159000000000001,237900,257.25,989426.1,MaCrossStrategy
2018-05-29,510300.SSE,卖出,4.088000000000001,237900,1225.39,972535.2,MaCrossStrategy
2018-07-18,510300.SSE,买入,3.78,256900,252.48,971082.0,MaCrossStrategy
2018-08-06,510300.SSE,卖出,3.6270000000000007,256900,1174.04,931776.3,MaCrossStrategy
2018-08-29,510300.SSE,买入,3.737,248800,241.74,929765.6,MaCrossStrategy
2018-09-06,510300.SSE,卖出,3.6090000000000004,248800,1131.38,897919.2,MaCrossStrategy
2018-09-25,510300.SSE,买入,3.725,239000,231.47,890275.0,MaCrossStrategy
2018-10-12,510300.SSE,卖出,3.4360000000000004,239000,1034.72,821204.0,MaCrossStrategy
2018-11-06,510300.SSE,买入,3.586,231400,215.75,829800.4,MaCrossStrategy
2018-11-27,510300.SSE,卖出,3.4590000000000005,231400,1008.52,800412.6,MaCrossStrategy
2018-12-05,510300.SSE,买入,3.5660000000000003,223000,206.76,795218.0,MaCrossStrategy
2018-12-12,510300.SSE,卖出,3.4930000000000003,223000,981.46,778939.0,MaCrossStrategy
2019-01-14,510300.SSE,买入,3.433,229100,204.49,786500.3,MaCrossStrategy
2019-03-29,510300.SSE,卖出,4.042000000000001,229100,1166.79,926022.2,MaCrossStrategy
2019-04-02,510300.SSE,买入,4.308000000000001,213100,238.69,918034.8,MaCrossStrategy
2019-04-29,510300.SSE,卖出,4.205000000000001,213100,1129.07,896085.5,MaCrossStrategy
2019-06-14,510300.SSE,买入,4.031000000000001,222300,232.98,896091.3,MaCrossStrategy
2019-07-15,510300.SSE,卖出,4.158000000000001,222300,1164.65,924323.4,MaCrossStrategy
2019-07-29,510300.SSE,买入,4.247,216800,239.39,920749.6,MaCrossStrategy
2019-08-06,510300.SSE,卖出,3.993000000000001,216800,1090.76,865682.4,MaCrossStrategy
