datetime,symbol,direction,price,volume,commission,amount,strategy
2017-01-11,510300.SSE,买入,3.5820000000000003,265500,247.27,951021.0,TrendMaStrategy
2017-01-18,510300.SSE,卖出,3.5280000000000005,265500,1180.22,936684.0,TrendMaStrategy
2017-02-06,510300.SSE,买入,3.6,260500,243.83,937800.0,TrendMaStrategy
2017-02-09,510300.SSE,卖出,3.5910000000000006,260500,1178.67,935455.5,TrendMaStrategy
2017-02-20,510300.SSE,买入,3.6500000000000004,255800,242.75,933670.0,TrendMaStrategy
2017-02-21,510300.SSE,卖出,3.686000000000001,255800,1188.03,942878.8,TrendMaStrategy
2017-02-27,510300.SSE,买入,3.7,254400,244.73,941280.0,TrendMaStrategy
2017-03-07,510300.SSE,卖出,3.6510000000000007,254400,1170.31,928814.4,TrendMaStrategy
2017-03-10,510300.SSE,买入,3.648,254200,241.1,927321.6,TrendMaStrategy
2017-03-14,510300.SSE,卖出,3.6680000000000006,254200,1174.83,932405.6,TrendMaStrategy
2017-03-20,510300.SSE,买入,3.672,253700,242.21,931586.4,TrendMaStrategy
2017-03-22,510300.SSE,卖出,3.6630000000000007,253700,1170.92,929303.1,TrendMaStrategy
2017-03-23,510300.SSE,买入,3.682,252200,241.44,928600.4,TrendMaStrategy
2017-03-24,510300.SSE,卖出,3.6700000000000004,252200,1166.22,925574.0,TrendMaStrategy
2017-03-30,510300.SSE,买入,3.6870000000000003,250100,239.75,922118.7,TrendMaStrategy
2017-04-06,510300.SSE,卖出,3.721000000000001,250100,1172.58,930622.1,TrendMaStrategy
2017-04-13,510300.SSE,买入,3.7290000000000005,249300,241.71,929639.7,TrendMaStrategy
2017-04-14,510300.SSE,卖出,3.726000000000001,249300,1170.4,928891.8,TrendMaStrategy
2017-04-17,510300.SSE,买入,3.71,249800,240.96,926758.0,TrendMaStrategy
2017-04-24,510300.SSE,卖出,3.6630000000000007,249800,1152.92,915017.4,TrendMaStrategy
2017-04-25,510300.SSE,买入,3.6620000000000004,250600,238.6,917697.2,TrendMaStrategy
2017-04-28,510300.SSE,卖出,3.6530000000000005,250600,1153.46,915441.8,TrendMaStrategy
2017-05-02,510300.SSE,买入,3.6580000000000004,249100,236.91,911207.8,TrendMaStrategy
2017-05-12,510300.SSE,卖出,3.5630000000000006,249100,1118.3,887543.3,TrendMaStrategy
2017-05-19,510300.SSE,买入,3.6270000000000002,244900,230.95,888252.3,TrendMaStrategy
2017-05-24,510300.SSE,卖出,3.6270000000000007,244900,1119.2,888252.3,TrendMaStrategy
2017-06-05,510300.SSE,买入,3.7100000000000004,238500,230.06,884835.0,TrendMaStrategy
2017-06-07,510300.SSE,卖出,3.7080000000000006,238500,1114.29,884358.0,TrendMaStrategy
2017-06-15,510300.SSE,买入,3.782,234100,230.2,885366.2,TrendMaStrategy
2017-06-20,510300.SSE,卖出,3.7880000000000007,234100,1117.33,886770.8,TrendMaStrategy
2017-07-03,510300.SSE,买入,3.9170000000000003,226100,230.26,885633.7,TrendMaStrategy
2017-07-06,510300.SSE,卖出,3.8970000000000007,226100,1110.2,881111.7,TrendMaStrategy
2017-07-18,510300.SSE,买入,3.93,223500,228.37,878355.0,TrendMaStrategy
2017-07-20,510300.SSE,卖出,3.992000000000001,223500,1124.19,892212.0,TrendMaStrategy
2017-07-26,510300.SSE,买入,4.0040000000000004,222700,231.84,891690.8,TrendMaStrategy
2017-07-31,510300.SSE,卖出,3.9880000000000004,222700,1119.04,888127.6,TrendMaStrategy
2017-08-04,510300.SSE,买入,4.014,221000,230.64,887094.0,TrendMaStrategy
2017-08-10,510300.SSE,卖出,3.9850000000000008,221000,1109.66,880685.0,TrendMaStrategy
2017-08-11,510300.SSE,买入,3.9800000000000004,219700,227.35,874406.0,TrendMaStrategy
2017-08-16,510300.SSE,卖出,3.964000000000001,219700,1097.32,870890.8,TrendMaStrategy
2017-08-25,510300.SSE,买入,4.024,217400,227.45,874817.6,TrendMaStrategy
2017-08-28,510300.SSE,卖出,4.074000000000001,217400,1115.97,885687.6,TrendMaStrategy
2017-09-01,510300.SSE,买入,4.1160000000000005,214800,229.87,884116.8,TrendMaStrategy
2017-09-05,510300.SSE,卖出,4.115000000000001,214800,1113.72,883902.0,TrendMaStrategy
2017-09-08,510300.SSE,买入,4.122,214200,229.56,882932.4,TrendMaStrategy
2017-09-13,510300.SSE,卖出,4.114000000000001,214200,1110.34,881218.8,TrendMaStrategy
2017-09-15,510300.SSE,买入,4.120000000000001,213400,228.59,879208.0,TrendMaStrategy
2017-09-18,510300.SSE,卖出,4.105000000000001,213400,1103.77,876007.0,TrendMaStrategy
2017-09-20,510300.SSE,买入,4.1160000000000005,212600,227.52,875061.6,TrendMaStrategy
2017-09-21,510300.SSE,卖出,4.1160000000000005,212600,1102.58,875061.6,TrendMaStrategy
2017-09-25,510300.SSE,买入,4.121,211900,227.04,873239.9,TrendMaStrategy
2017-09-29,510300.SSE,卖出,4.101000000000001,211900,1094.94,869001.9,TrendMaStrategy
2017-10-18,510300.SSE,买入,4.203,206700,225.88,868760.1,TrendMaStrategy
2017-10-19,510300.SSE,卖出,4.210000000000001,206700,1096.46,870207.0,TrendMaStrategy
2017-11-02,510300.SSE,买入,4.28,203000,225.9,868840.0,TrendMaStrategy
2017-11-07,510300.SSE,卖出,4.291,203000,1097.55,871073.0,TrendMaStrategy
2017-11-16,510300.SSE,买入,4.357,199600,226.11,869657.2,TrendMaStrategy
2017-11-17,510300.SSE,卖出,4.370000000000001,199600,1099.04,872252.0,TrendMaStrategy
2017-11-24,510300.SSE,买入,4.3709999999999996,198800,225.93,868954.8,TrendMaStrategy
2017-12-06,510300.SSE,卖出,4.3020000000000005,198800,1077.6,855237.6,TrendMaStrategy
2017-12-07,510300.SSE,买入,4.295,199200,222.45,855564.0,TrendMaStrategy
2017-12-12,510300.SSE,卖出,4.336,199200,1088.3,863731.2,TrendMaStrategy
2017-12-13,510300.SSE,买入,4.295,201000,224.46,863295.0,TrendMaStrategy
2017-12-14,510300.SSE,卖出,4.305000000000001,201000,1090.28,865305.0,TrendMaStrategy
2017-12-15,510300.SSE,买入,4.3,200400,224.05,861720.0,TrendMaStrategy
2017-12-20,510300.SSE,卖出,4.288,200400,1082.74,859315.2,TrendMaStrategy
2017-12-26,510300.SSE,买入,4.317,199400,223.81,860809.8,TrendMaStrategy
2017-12-27,510300.SSE,卖出,4.307000000000001,199400,1082.11,858815.8,TrendMaStrategy
2017-12-28,510300.SSE,买入,4.263,201300,223.12,858141.9,TrendMaStrategy
2018-01-02,510300.SSE,卖出,4.298000000000001,201300,1090.14,865187.4,TrendMaStrategy
2018-01-30,510300.SSE,买入,4.57,188300,223.74,860531.0,TrendMaStrategy
2018-02-06,510300.SSE,卖出,4.458000000000001,188300,1057.7,839441.4,TrendMaStrategy
2018-02-07,510300.SSE,买入,4.478,190300,221.56,852163.4,TrendMaStrategy
2018-02-22,510300.SSE,卖出,4.274000000000001,190300,1024.81,813342.2,TrendMaStrategy
2018-03-01,510300.SSE,买入,4.2780000000000005,186900,207.89,799558.2,TrendMaStrategy
2018-03-07,510300.SSE,卖出,4.328,186900,1019.22,808903.2,TrendMaStrategy
2018-03-14,510300.SSE,买入,4.348000000000001,186100,210.38,809162.8,TrendMaStrategy
2018-03-16,510300.SSE,卖出,4.348000000000002,186100,1019.55,809162.8,TrendMaStrategy
2018-03-19,510300.SSE,买入,4.327,187100,210.49,809581.7,TrendMaStrategy
2018-03-30,510300.SSE,卖出,4.1610000000000005,187100,980.94,778523.1,TrendMaStrategy
2018-04-03,510300.SSE,买入,4.1370000000000005,187200,201.36,774446.4,TrendMaStrategy
2018-04-11,510300.SSE,卖出,4.196000000000001,187200,989.72,785491.2,TrendMaStrategy
2018-04-16,510300.SSE,买入,4.136,190300,204.64,787080.8,TrendMaStrategy
2018-04-17,510300.SSE,卖出,4.073,190300,976.62,775091.9,TrendMaStrategy
