datetime,symbol,direction,price,volume,commission,amount,strategy
2017-01-18,510300.SSE,买入,3.548,268100,247.32,951218.8,TrendMaStrategy
2017-02-06,510300.SSE,卖出,3.5800000000000005,268100,1209.35,959798.0,TrendMaStrategy
2017-02-09,510300.SSE,买入,3.611,265300,249.08,957998.3,TrendMaStrategy
2017-02-20,510300.SSE,卖出,3.630000000000001,265300,1213.43,963039.0,TrendMaStrategy
2017-02-21,510300.SSE,买入,3.7060000000000004,259700,250.24,962448.2,TrendMaStrategy
2017-02-27,510300.SSE,卖出,3.6800000000000006,259700,1204.18,955696.0,TrendMaStrategy
2017-03-07,510300.SSE,买入,3.6710000000000003,259900,248.06,954092.9,TrendMaStrategy
2017-03-10,510300.SSE,卖出,3.6280000000000006,259900,1188.08,942917.2,TrendMaStrategy
2017-03-14,510300.SSE,买入,3.688,255400,244.9,941915.2,TrendMaStrategy
2017-03-20,510300.SSE,卖出,3.6520000000000006,255400,1175.23,932720.8,TrendMaStrategy
2017-03-22,510300.SSE,买入,3.6830000000000003,252300,241.6,929220.9,TrendMaStrategy
2017-03-23,510300.SSE,卖出,3.6620000000000004,252300,1164.14,923922.6,TrendMaStrategy
2017-03-24,510300.SSE,买入,3.69,251100,240.91,926559.0,TrendMaStrategy
2017-03-30,510300.SSE,卖出,3.6670000000000007,251100,1160.19,920783.7,TrendMaStrategy
2017-04-06,510300.SSE,买入,3.7410000000000005,245600,238.89,918789.6,TrendMaStrategy
2017-04-13,510300.SSE,卖出,3.709000000000001,245600,1147.77,910930.4,TrendMaStrategy
2017-04-14,510300.SSE,买入,3.7460000000000004,243100,236.77,910652.6,TrendMaStrategy
2017-04-17,510300.SSE,卖出,3.6900000000000004,243100,1130.27,897039.0,TrendMaStrategy
2017-04-24,510300.SSE,买入,3.6830000000000003,242800,232.5,894232.4,TrendMaStrategy
2017-04-25,510300.SSE,卖出,3.642000000000001,242800,1114.19,884277.6,TrendMaStrategy
2017-04-28,510300.SSE,买入,3.673,240900,230.05,884825.7,TrendMaStrategy
2017-05-02,510300.SSE,卖出,3.638000000000001,240900,1104.26,876394.2,TrendMaStrategy
2017-05-12,510300.SSE,买入,3.583,244500,227.77,876043.5,TrendMaStrategy
2017-05-19,510300.SSE,卖出,3.6070000000000007,244500,1111.21,881911.5,TrendMaStrategy
2017-05-24,510300.SSE,买入,3.6470000000000002,241100,228.62,879291.7,TrendMaStrategy
2017-06-05,510300.SSE,卖出,3.690000000000001,241100,1120.97,889659.0,TrendMaStrategy
2017-06-07,510300.SSE,买入,3.728,238800,231.46,890246.4,TrendMaStrategy
2017-06-15,510300.SSE,卖出,3.7620000000000005,238800,1131.94,898365.6,TrendMaStrategy
2017-06-20,510300.SSE,买入,3.8080000000000003,235400,233.06,896403.2,TrendMaStrategy
2017-07-03,510300.SSE,卖出,3.8970000000000007,235400,1155.87,917353.8,TrendMaStrategy
2017-07-06,510300.SSE,买入,3.9170000000000003,233400,237.7,914227.8,TrendMaStrategy
2017-07-18,510300.SSE,卖出,3.9100000000000006,233400,1149.87,912594.0,TrendMaStrategy
2017-07-20,510300.SSE,买入,4.0120000000000005,226900,236.68,910322.8,TrendMaStrategy
2017-07-26,510300.SSE,卖出,3.9840000000000004,226900,1139.0,903969.6,TrendMaStrategy
2017-07-31,510300.SSE,买入,4.008,225500,234.99,903804.0,TrendMaStrategy
