,equity,returns,drawdown
2022-01-04,1000000.0,0.0,0.0
2022-01-05,1000000.0,0.0,0.0
2022-01-06,1000000.0,0.0,0.0
2022-01-07,1000000.0,0.0,0.0
2022-01-10,1000000.0,0.0,0.0
2022-01-11,1000000.0,0.0,0.0
2022-01-12,1000000.0,0.0,0.0
2022-01-13,1000000.0,0.0,0.0
2022-01-14,1000000.0,0.0,0.0
2022-01-17,1000000.0,0.0,0.0
2022-01-18,1000000.0,0.0,0.0
2022-01-19,1000000.0,0.0,0.0
2022-01-20,1000000.0,0.0,0.0
2022-01-21,1000000.0,0.0,0.0
2022-01-24,1000000.0,0.0,0.0
2022-01-25,1000000.0,0.0,0.0
2022-01-26,1000000.0,0.0,0.0
2022-01-27,1000000.0,0.0,0.0
2022-01-28,1000000.0,0.0,0.0
2022-02-07,1000000.0,0.0,0.0
2022-02-08,1002045.9716032877,0.0020459716032876774,0.0
2022-02-09,1034776.999300039,0.03266419767586237,0.0
2022-02-10,1028297.584111725,-0.006261653663250155,-0.006261653663250155
2022-02-11,1022841.586528049,-0.00530585471363243,-0.011534284952278262
2022-02-14,1019675.0871628777,-0.0030957866857170835,-0.01459436395221081
2022-02-15,1024651.2774318132,0.004880172450600018,-0.00978541451450432
2022-02-16,1029727.544146783,0.004954140815295549,-0.004879752020649608
2022-02-17,1032203.5659175875,0.0024045406815413894,-0.0024869449013578127
2022-02-18,1039798.7125358216,0.0073581867656913325,0.0
2022-02-21,1058904.4041583056,0.018374413616929486,0.0
2022-02-22,1053310.7584152191,-0.005282484161101109,-0.005282484161101109
2022-02-23,1073472.0113498014,0.019140840225458478,0.0
2022-02-24,1044362.3507677438,-0.02711729814497421,-0.02711729814497421
2022-02-25,1052194.9798303996,0.007499915194087325,-0.019820760387266878
2022-02-28,1066053.8878651191,0.01317142573418617,-0.00691040232651674
2022-03-01,1061590.6358886685,-0.004186703906111866,-0.011068174424215371
2022-03-02,1064196.9117426516,0.002455066732763189,-0.008640280798273614
2022-03-03,1054738.8387918558,-0.008887521516396713,-0.01745101163316798
2022-03-04,1045029.1472868613,-0.009205777911920343,-0.02649613940765494
2022-03-07,1031964.1939052724,-0.012501999026064081,-0.0386668837246501
2022-03-08,1004469.799708847,-0.026642779234789304,-0.06427946971266629
2022-03-09,992898.3361618707,-0.011519971581355981,-0.0750589436296677
2022-03-10,1011434.8018197045,0.0186690469534756,-0.05779117561909264
2022-03-11,1016586.2204116185,0.005093179098292655,-0.052992337328528816
2022-03-14,1002427.6796878681,-0.013927535549338343,-0.06618182021588159
2022-03-15,966869.7937628482,-0.035471771825067444,-0.09930600561528358
2022-03-16,978185.582855487,0.011703529436575044,-0.08876470693865568
2022-03-17,983330.3582103275,0.005259508466503915,-0.08397205719982248
2022-03-18,984848.8862047719,0.0015442704293278098,-0.08255746233531824
2022-03-21,989819.1243135511,0.005046701253765606,-0.07792740393022801
2022-03-22,988040.8592714296,-0.0017965555508484554,-0.07958395857098244
2022-03-23,989806.5759838035,0.001787088758329114,-0.07793909341035887
2022-03-24,988297.9759609518,-0.0015241361892875949,-0.07934443980681938
2022-03-25,986084.0219687371,-0.0022401684978277103,-0.08140686339011416
2022-03-28,985021.523846582,-0.0010774924838897748,-0.08239664059056395
2022-03-29,984337.7246766736,-0.0006941971859032448,-0.0830336382604413
2022-03-30,987294.7993092076,0.003004126082341463,-0.08027895569650967
2022-03-31,983413.5499381933,-0.003931196005215409,-0.08389455939178814
2022-04-01,983072.4557710219,-0.0003468471297684017,-0.08421230793442824
2022-04-06,983956.3581197034,0.0008991222808578669,-0.08338890281595657
2022-04-07,982452.7558045925,-0.0015281189076151724,-0.08478959356449345
2022-04-08,981886.0213045925,-0.0005768567461912344,-0.08531753886163018
2022-04-11,981399.8053045925,-0.0004951857847553809,-0.08577047661395087
2022-04-12,981620.7028045926,0.00022508410823607328,-0.08556469807695644
2022-04-13,981496.4968045925,-0.0001265315611672646,-0.08568040300329527
2022-04-14,981634.5928045925,0.00014069943239691796,-0.08555175875496845
2022-04-15,981447.9658045925,-0.00019011860560735894,-0.08572561237949405
2022-04-18,981551.1073045925,0.00010509115469559127,-0.08562953022839048
2022-04-19,981441.7633045925,-0.00011139919173475121,-0.08573139035966915
2022-04-20,981086.4103045925,-0.0003620724257784591,-0.08606242181297474
2022-04-21,980626.9993045925,-0.0004682676216637427,-0.08649038918906149
2022-04-22,980495.3908045925,-0.00013420852178580578,-0.08661298996356559
2022-04-25,979352.1898045925,-0.001165942247889462,-0.08767794646724059
2022-04-26,979005.2053045925,-0.00035430001955605306,-0.08800118218864861
2022-04-27,979620.4213045925,0.0006284093247579392,-0.08742807362736771
2022-04-28,979584.3823045925,-3.6788739001591964e-05,-0.08746164599778716
2022-04-29,980339.8348045925,0.0007711969623511727,-0.08675789919115162
2022-05-05,980759.5543045925,0.0004281367390153168,-0.08636690669617997
2022-05-06,981039.1288045925,0.00028505916539178777,-0.08610646720912851
2022-05-09,981112.0228045925,7.430284670584264e-05,-0.08603856231805607
2022-05-10,980860.4836853528,-0.00025638164999819413,-0.08627288525948373
2022-05-11,980839.6756853529,-2.1214026200477853e-05,-0.08629226909043597
2022-05-12,980857.0156853528,1.7678730204195858e-05,-0.08627611589797579
2022-05-13,980933.3116853529,7.778503775779377e-05,-0.08620504185115063
2022-05-16,981054.6916853529,0.0001237392986395136,-0.08609196950392906
2022-05-17,981089.3716853529,3.534971117691299e-05,-0.0860596631190087
2022-05-18,980992.2676853529,-9.897569253358718e-05,-0.08615012099678587
2022-05-19,980915.9716853529,-7.777431332878226e-05,-0.08622119504361092
2022-05-20,981068.5636853529,0.00015556072528610798,-0.08607904694996094
2022-05-23,981068.5636853529,0.0,-0.08607904694996094
2022-05-24,980787.6556853529,-0.00028632861188093717,-0.08634072866781661
2022-05-25,980919.4396853528,0.0001343654757848256,-0.08621796440511897
