datetime,symbol,direction,price,volume,commission,amount,strategy
2022-02-08,002326.SZSE,买入,190.08221121759996,100.0,5.19,19008.22,SignalRankStrategy
2022-02-08,300328.SZSE,买入,48.670000000000016,300.0,5.15,14601.0,SignalRankStrategy
2022-02-08,002639.SZSE,买入,31.34248,600.0,5.19,18805.49,SignalRankStrategy
2022-02-08,600711.SSE,买入,90.08457499999997,200.0,5.18,18016.91,SignalRankStrategy
2022-02-08,600812.SSE,买入,35.72754734647137,500.0,5.18,17863.77,SignalRankStrategy
2022-02-08,000762.SZSE,买入,187.919911890625,100.0,5.19,18791.99,SignalRankStrategy
2022-02-08,300132.SZSE,买入,54.29919999999999,300.0,5.16,16289.76,SignalRankStrategy
2022-02-08,300118.SZSE,买入,76.4141632,200.0,5.15,15282.83,SignalRankStrategy
2022-02-08,603348.SSE,买入,46.70999999999999,400.0,5.19,18684.0,SignalRankStrategy
2022-02-08,300075.SZSE,买入,144.1512765,100.0,5.14,14415.13,SignalRankStrategy
2022-02-08,600986.SSE,买入,33.412270400000004,500.0,5.17,16706.14,SignalRankStrategy
2022-02-08,002605.SZSE,买入,97.51698800000001,100.0,5.1,9751.7,SignalRankStrategy
2022-02-08,002145.SZSE,买入,32.01999999999999,500.0,5.16,16010.0,SignalRankStrategy
2022-02-08,300438.SZSE,买入,179.4153735,100.0,5.18,17941.54,SignalRankStrategy
2022-02-08,600773.SSE,买入,162.27989869275544,100.0,5.16,16227.99,SignalRankStrategy
2022-02-08,300287.SZSE,买入,62.92349999999999,200.0,5.13,12584.7,SignalRankStrategy
2022-02-08,300047.SZSE,买入,46.110651895,400.0,5.18,18444.26,SignalRankStrategy
2022-02-08,000503.SZSE,买入,84.74396360000001,200.0,5.17,16948.79,SignalRankStrategy
2022-02-08,300448.SZSE,买入,49.39403843625385,300.0,5.15,14818.21,SignalRankStrategy
2022-02-08,300366.SZSE,买入,64.385,200.0,5.13,12877.0,SignalRankStrategy
2022-02-08,300311.SZSE,买入,57.30689509427305,300.0,5.17,17192.07,SignalRankStrategy
2022-02-08,300573.SZSE,买入,103.61000000000001,100.0,5.1,10361.0,SignalRankStrategy
2022-02-08,300378.SZSE,买入,45.64561409000002,400.0,5.18,18258.25,SignalRankStrategy
2022-02-08,300348.SZSE,买入,158.31677,100.0,5.16,15831.68,SignalRankStrategy
2022-02-08,603906.SSE,买入,63.97304,200.0,5.13,12794.61,SignalRankStrategy
2022-02-08,002497.SZSE,买入,145.900066,100.0,5.15,14590.01,SignalRankStrategy
