vt_symbol,score,weight,target_value
001267.SZSE,0.402591,0.0153,7667.72
688167.SSE,0.389567,0.0153,7667.72
688668.SSE,0.365437,0.0153,7667.72
688531.SSE,0.344264,0.0153,7667.72
301225.SZSE,0.34114,0.0153,7667.72
301392.SZSE,0.335389,0.0153,7667.72
688691.SSE,0.326367,0.0153,7667.72
688141.SSE,0.325228,0.0153,7667.72
002428.SZSE,0.323165,0.0153,7667.72
688195.SSE,0.322861,0.0153,7667.72
002636.SZSE,0.316998,0.0153,7667.72
001359.SZSE,0.316707,0.0153,7667.72
688048.SSE,0.314333,0.0153,7667.72
300672.SZSE,0.309408,0.0153,7667.72
301396.SZSE,0.307028,0.0153,7667.72
002979.SZSE,0.302257,0.0153,7667.72
002484.SZSE,0.297301,0.0153,7667.72
688025.SSE,0.295639,0.0153,7667.72
002290.SZSE,0.293849,0.0153,7667.72
301489.SZSE,0.28997,0.0153,7667.72
600726.SSE,0.289271,0.0153,7667.72
688519.SSE,0.283463,0.0153,7667.72
301550.SZSE,0.283429,0.0153,7667.72
688332.SSE,0.280702,0.0153,7667.72
000962.SZSE,0.280652,0.0153,7667.72
688403.SSE,0.280054,0.0153,7667.72
688205.SSE,0.27785,0.0153,7667.72
301095.SZSE,0.270398,0.0153,7667.72
600869.SSE,0.27039,0.0153,7667.72
301511.SZSE,0.263842,0.0153,7667.72
