date,equity,cash,hold_value,n_holding,ret
2025-08-25,50000.0,50000.0,0.0,0,0.0
2025-08-26,50240.94,41123.95,9116.99,1,0.004819
2025-08-27,49609.76,12973.52,36636.24,4,-0.012563
2025-08-28,50091.11,11544.25,38546.86,4,0.009703
2025-08-29,49792.17,41320.39,8471.79,1,-0.005968
2025-09-01,49474.63,20976.13,28498.5,3,-0.006377
2025-09-02,49043.14,31749.14,17294.0,2,-0.008721
2025-09-03,48488.96,39568.96,8920.0,1,-0.0113
2025-09-04,48499.96,29383.36,19116.61,2,0.000227
2025-09-05,48590.93,14214.47,34376.46,4,0.001876
2025-09-08,48837.29,14815.27,34022.03,4,0.00507
2025-09-09,49429.15,14954.3,34474.84,4,0.012119
2025-09-10,48857.36,15664.32,33193.04,4,-0.011568
2025-09-11,49890.38,2338.58,47551.8,5,0.021144
2025-09-12,50387.1,3737.29,46649.81,5,0.009956
2025-09-15,50593.17,3148.38,47444.79,5,0.00409
2025-09-16,50707.77,5318.51,45389.26,5,0.002265
2025-09-17,52113.92,24977.46,27136.46,3,0.02773
2025-09-18,51730.03,6327.36,45402.66,5,-0.007366
2025-09-19,50768.3,15634.1,35134.2,4,-0.018591
2025-09-22,52435.25,6429.15,46006.1,5,0.032834
2025-09-23,51769.44,28949.86,22819.57,3,-0.012698
2025-09-24,51925.32,8410.91,43514.41,5,0.003011
2025-09-25,52114.54,14541.74,37572.8,4,0.003644
2025-09-26,52272.78,5628.17,46644.62,5,0.003037
2025-09-29,53909.22,17085.55,36823.66,4,0.031306
2025-09-30,53889.67,12905.05,40984.61,5,-0.000363
2025-10-09,54479.82,19693.09,34786.73,4,0.010951
2025-10-10,55401.67,19199.14,36202.53,4,0.016921
2025-10-13,56303.13,16092.36,40210.77,5,0.016272
2025-10-14,55711.39,19618.21,36093.19,4,-0.01051
2025-10-15,57020.81,18444.42,38576.39,4,0.023503
2025-10-16,59074.55,23120.47,35954.09,4,0.036018
2025-10-17,59338.64,21382.15,37956.49,4,0.00447
2025-10-20,60273.46,22262.93,38010.53,4,0.015754
2025-10-21,61544.87,25078.88,36465.99,4,0.021094
2025-10-22,61373.18,24030.47,37342.71,4,-0.00279
2025-10-23,60410.57,16467.83,43942.74,5,-0.015685
2025-10-24,59886.05,28220.01,31666.04,4,-0.008682
2025-10-27,59732.06,11808.36,47923.69,5,-0.002572
2025-10-28,59635.98,25016.11,34619.86,4,-0.001608
2025-10-29,60485.21,12101.38,48383.83,5,0.01424
2025-10-30,59791.93,16841.94,42949.98,5,-0.011462
2025-10-31,60172.31,30720.68,29451.63,4,0.006362
2025-11-03,60405.24,13265.02,47140.21,5,0.003871
2025-11-04,59834.78,14200.71,45634.07,5,-0.009444
2025-11-05,61349.41,33620.15,27729.26,3,0.025314
