day,symbol,side,entry_time,exit_time,entry_price,exit_price,volume,pnl,pnl_pct,reason
2025-08-27,300433.SZSE,sell,2025-08-26 10:48:00,2025-08-27 14:05:00,170.1321,180.4997,52,516.29,0.06094,模型转空
2025-08-28,601727.SSE,sell,2025-08-27 09:35:00,2025-08-28 09:35:00,9.8597,9.5197,987,-360.17,-0.03448,止损
2025-08-28,002415.SZSE,sell,2025-08-27 09:37:00,2025-08-28 09:35:00,696.46,681.88,13,-218.41,-0.02093,止损
2025-08-28,600930.SSE,sell,2025-08-27 09:39:00,2025-08-28 09:35:00,6.78,6.6,1379,-272.24,-0.02655,止损
2025-08-28,002236.SZSE,sell,2025-08-27 09:35:00,2025-08-28 14:45:00,885.9171,892.7171,10,46.11,0.00768,模型转空
2025-08-29,600050.SSE,sell,2025-08-28 10:22:00,2025-08-29 09:38:00,10.9628,10.8796,886,-98.41,-0.00759,模型转空
2025-08-29,601727.SSE,sell,2025-08-28 09:44:00,2025-08-29 13:06:00,9.6497,9.6697,987,-4.75,0.00207,模型转空
2025-08-29,601059.SSE,sell,2025-08-28 09:39:00,2025-08-29 13:32:00,19.614,19.774,492,54.09,0.00816,模型转空
2025-08-29,300433.SZSE,sell,2025-08-28 09:35:00,2025-08-29 14:07:00,176.8819,180.1758,52,147.48,0.01862,模型转空
2025-09-01,000768.SZSE,sell,2025-08-29 09:36:00,2025-09-01 09:49:00,257.0738,251.84,32,-195.37,-0.02036,止损
2025-09-02,601727.SSE,sell,2025-09-01 09:36:00,2025-09-02 09:35:00,9.7397,9.5397,987,-221.89,-0.02053,止损
2025-09-02,601169.SSE,sell,2025-09-01 09:37:00,2025-09-02 09:42:00,24.3343,24.0855,391,-121.83,-0.01023,模型转空
2025-09-02,300433.SZSE,sell,2025-09-01 09:35:00,2025-09-02 09:49:00,181.5797,177.8538,52,-218.36,-0.02052,止损
2025-09-03,000333.SZSE,sell,2025-09-02 09:46:00,2025-09-03 10:05:00,357.1704,357.3204,20,-18.22,0.00042,模型转空
2025-09-03,601059.SSE,sell,2025-09-02 09:35:00,2025-09-03 10:28:00,19.904,19.484,492,-231.72,-0.0211,止损
2025-09-04,300433.SZSE,sell,2025-09-03 09:36:00,2025-09-04 10:53:00,176.9899,173.426,52,-209.57,-0.02014,止损
2025-09-05,601059.SSE,sell,2025-09-04 09:38:00,2025-09-05 09:35:00,19.154,18.624,492,-285.33,-0.02767,止损
2025-09-05,600515.SSE,sell,2025-09-04 10:53:00,2025-09-05 10:48:00,12.5861,12.6841,774,51.02,0.00779,模型转空
2025-09-08,000768.SZSE,sell,2025-09-05 10:03:00,2025-09-08 09:36:00,226.1857,225.4135,43,-59.05,-0.00341,模型转空
2025-09-08,601727.SSE,sell,2025-09-05 11:07:00,2025-09-08 10:17:00,8.8597,8.8797,1077,-2.98,0.00226,模型转空
2025-09-08,600760.SSE,sell,2025-09-05 09:41:00,2025-09-08 13:21:00,559.0211,556.5368,9,-42.28,-0.00444,模型转空
2025-09-08,300433.SZSE,sell,2025-09-05 09:56:00,2025-09-08 14:50:00,176.5039,187.1955,52,532.66,0.06057,尾盘平仓
2025-09-09,603392.SSE,sell,2025-09-08 09:36:00,2025-09-09 10:19:00,167.8223,169.4991,33,38.07,0.00999,模型转空
2025-09-09,300886.SZSE,sell,2025-09-08 13:21:00,2025-09-09 13:58:00,40.5386,39.6676,226,-220.93,-0.02149,止损
2025-09-09,301353.SZSE,sell,2025-09-08 10:17:00,2025-09-09 14:06:00,34.392,34.106,283,-105.7,-0.00832,模型转空
2025-09-09,002276.SZSE,sell,2025-09-08 09:39:00,2025-09-09 14:50:00,60.168,65.424,155,790.72,0.08736,尾盘平仓
2025-09-10,002239.SZSE,sell,2025-09-09 14:06:00,2025-09-10 09:35:00,30.7884,30.171,316,-220.2,-0.02005,止损
2025-09-10,603179.SSE,sell,2025-09-09 09:35:00,2025-09-10 10:59:00,159.2446,155.9085,57,-216.83,-0.02095,止损
2025-09-10,600760.SSE,sell,2025-09-09 10:19:00,2025-09-10 11:14:00,572.6351,585.454,9,105.65,0.02239,模型转空
2025-09-10,600376.SSE,sell,2025-09-09 13:58:00,2025-09-10 14:50:00,48.7024,51.3185,200,500.07,0.05372,尾盘平仓
2025-09-11,300993.SZSE,sell,2025-09-10 10:59:00,2025-09-11 09:35:00,43.0418,41.7782,197,-272.5,-0.02936,止损
2025-09-11,002415.SZSE,sell,2025-09-10 11:14:00,2025-09-11 10:18:00,676.84,672.16,13,-86.09,-0.00691,模型转空
2025-09-11,002138.SZSE,sell,2025-09-10 09:35:00,2025-09-11 14:28:00,215.9125,229.4845,31,406.65,0.06286,模型转空
2025-09-11,300324.SZSE,sell,2025-09-10 09:35:00,2025-09-11 14:33:00,159.4888,164.7812,59,287.92,0.03318,模型转空
2025-09-12,002251.SZSE,sell,2025-09-11 09:35:00,2025-09-12 09:45:00,38.1003,37.2963,257,-231.86,-0.0211,止损
2025-09-12,601099.SSE,sell,2025-09-11 09:35:00,2025-09-12 11:30:00,14.0734,14.2021,687,63.71,0.00914,模型转空
2025-09-12,002276.SZSE,sell,2025-09-11 10:18:00,2025-09-12 13:11:00,66.792,66.072,129,-116.16,-0.01078,模型转空
2025-09-12,603698.SSE,sell,2025-09-11 14:30:00,2025-09-12 13:50:00,25.5871,26.9001,365,455.21,0.05131,模型转空
2025-09-12,002642.SZSE,sell,2025-09-11 14:38:00,2025-09-12 13:55:00,46.4803,48.2353,213,349.14,0.03776,模型转空
2025-09-15,300324.SZSE,sell,2025-09-12 13:12:00,2025-09-15 09:49:00,180.6584,176.0877,55,-276.82,-0.0253,止损
2025-09-15,002321.SZSE,sell,2025-09-12 13:55:00,2025-09-15 10:51:00,6.5148,6.3696,1516,-244.99,-0.02229,止损
2025-09-15,603687.SSE,sell,2025-09-12 09:45:00,2025-09-15 11:02:00,8.8303,8.9703,1080,126.62,0.01585,模型转空
2025-09-15,000426.SZSE,sell,2025-09-12 13:50:00,2025-09-15 13:56:00,668.2782,678.7084,11,96.49,0.01561,模型转空
2025-09-15,600376.SSE,sell,2025-09-12 13:01:00,2025-09-15 14:17:00,56.3682,58.6801,169,367.97,0.04101,模型转空
2025-09-16,300433.SZSE,sell,2025-09-15 10:51:00,2025-09-16 09:35:00,179.0958,174.344,52,-271.58,-0.02653,止损
2025-09-16,600433.SSE,sell,2025-09-15 14:07:00,2025-09-16 11:09:00,24.4009,24.1702,395,-115.88,-0.00945,模型转空
2025-09-16,000868.SZSE,sell,2025-09-15 11:03:00,2025-09-16 13:32:00,25.6538,25.5175,378,-76.21,-0.00531,模型转空
2025-09-16,002642.SZSE,sell,2025-09-15 14:24:00,2025-09-16 13:51:00,51.6103,52.1953,192,87.2,0.01134,模型转空
2025-09-16,301228.SZSE,sell,2025-09-15 09:49:00,2025-09-16 13:52:00,28.7,30.91,298,637.07,0.077,模型转空
2025-09-17,600376.SSE,sell,2025-09-16 13:55:00,2025-09-17 13:44:00,63.4256,67.5019,154,604.28,0.06427,模型转空
2025-09-17,605133.SSE,sell,2025-09-16 14:42:00,2025-09-17 13:47:00,63.309,64.31,148,124.27,0.01581,模型转空
2025-09-17,301170.SZSE,sell,2025-09-16 11:09:00,2025-09-17 13:56:00,28.49,29.38,289,235.18,0.03124,模型转空
2025-09-17,600246.SSE,sell,2025-09-16 09:35:00,2025-09-17 14:25:00,145.5523,148.2336,66,154.48,0.01842,模型转空
2025-09-17,301353.SZSE,sell,2025-09-16 14:33:00,2025-09-17 14:32:00,35.627,37.408,226,380.77,0.04999,模型转空
2025-09-18,603988.SSE,sell,2025-09-17 14:06:00,2025-09-18 13:36:00,91.9452,100.4712,90,751.97,0.09273,模型转空
2025-09-18,300433.SZSE,sell,2025-09-17 13:52:00,2025-09-18 14:13:00,183.6316,179.7438,52,-226.96,-0.02117,止损
2025-09-18,603992.SSE,sell,2025-09-17 13:44:00,2025-09-18 14:18:00,33.63,34.3,273,159.19,0.01992,模型转空
2025-09-19,600246.SSE,sell,2025-09-18 09:35:00,2025-09-19 09:35:00,164.8958,146.7972,57,-1061.7,-0.10976,止损
2025-09-19,300403.SZSE,sell,2025-09-18 09:35:00,2025-09-19 09:35:00,90.2375,86.0975,106,-465.58,-0.04588,止损
2025-09-19,002949.SZSE,sell,2025-09-18 14:15:00,2025-09-19 09:51:00,18.54,18.1,500,-244.06,-0.02373,止损
2025-09-19,600487.SSE,sell,2025-09-18 13:39:00,2025-09-19 14:02:00,215.073,221.1021,42,233.17,0.02803,模型转空
2025-09-19,301228.SZSE,sell,2025-09-18 14:25:00,2025-09-19 14:05:00,29.8,30.05,298,51.13,0.00839,模型转空
2025-09-22,300324.SZSE,sell,2025-09-19 09:35:00,2025-09-22 09:35:00,191.4837,182.1017,51,-504.61,-0.049,止损
2025-09-22,603001.SSE,sell,2025-09-19 09:35:00,2025-09-22 09:35:00,14.47,14.17,629,-212.64,-0.02073,止损
2025-09-22,002138.SZSE,sell,2025-09-19 09:51:00,2025-09-22 13:24:00,225.448,226.3255,31,6.81,0.00389,模型转空
2025-09-22,300993.SZSE,sell,2025-09-19 14:31:00,2025-09-22 14:09:00,48.8216,53.1038,197,821.07,0.08771,模型转空
2025-09-23,603590.SSE,sell,2025-09-22 09:35:00,2025-09-23 09:35:00,61.76,59.94,90,-183.31,-0.02947,止损
2025-09-23,002239.SZSE,sell,2025-09-22 14:13:00,2025-09-23 09:35:00,32.4642,31.4058,305,-348.47,-0.0326,止损
