date,equity,ret
2025-08-25,50000.0,0.0
2025-08-26,50000.0,0.0
2025-08-27,50000.0,0.0
2025-08-28,50000.0,0.0
2025-08-29,50000.0,0.0
2025-09-01,50000.0,0.0
2025-09-02,50000.0,0.0
2025-09-03,50369.19,0.007384
2025-09-04,50380.6,0.000227
2025-09-05,50380.6,0.0
2025-09-08,50348.24,-0.000642
2025-09-09,50443.39,0.00189
2025-09-10,50259.77,-0.00364
2025-09-11,50386.98,0.002531
2025-09-12,50495.29,0.002149
2025-09-15,50544.3,0.000971
2025-09-16,50293.99,-0.004952
2025-09-17,50366.98,0.001451
2025-09-18,50870.32,0.009993
2025-09-19,50783.93,-0.001698
2025-09-22,50813.54,0.000583
2025-09-23,50943.78,0.002563
2025-09-24,51061.06,0.002302
2025-09-25,51187.79,0.002482
2025-09-26,51042.8,-0.002832
2025-09-29,51098.95,0.0011
2025-09-30,50956.64,-0.002785
2025-10-09,50992.98,0.000713
2025-10-10,51129.25,0.002672
2025-10-13,51580.67,0.008829
2025-10-14,51453.2,-0.002471
2025-10-15,51193.83,-0.005041
2025-10-16,51221.31,0.000537
2025-10-17,51192.75,-0.000557
2025-10-20,51315.0,0.002388
2025-10-21,51216.25,-0.001924
2025-10-22,51247.16,0.000603
2025-10-23,51388.67,0.002761
2025-10-24,51500.82,0.002182
2025-10-27,51526.48,0.000498
2025-10-28,51557.7,0.000606
2025-10-29,51483.76,-0.001434
2025-10-30,51524.36,0.000789
2025-10-31,51484.87,-0.000766
2025-11-03,51473.6,-0.000219
2025-11-04,51574.7,0.001964
2025-11-05,51723.65,0.002888
2025-11-06,51983.63,0.005026
2025-11-07,52061.9,0.001506
2025-11-10,52756.41,0.01334
2025-11-11,52723.45,-0.000625
2025-11-12,52912.26,0.003581
2025-11-13,52502.97,-0.007735
2025-11-14,52945.67,0.008432
2025-11-17,53325.06,0.007166
2025-11-18,53455.09,0.002438
2025-11-19,53522.53,0.001262
2025-11-20,54062.0,0.010079
2025-11-21,54616.94,0.010265
2025-11-24,54339.42,-0.005081
2025-11-25,54444.52,0.001934
2025-11-26,54564.28,0.0022
2025-11-27,54564.78,9e-06
2025-11-28,54574.01,0.000169
2025-12-01,54710.86,0.002508
2025-12-02,54668.23,-0.000779
2025-12-03,55304.68,0.011642
2025-12-04,55411.04,0.001923
2025-12-05,55379.97,-0.000561
2025-12-08,55530.29,0.002714
2025-12-09,55739.75,0.003772
2025-12-10,55819.95,0.001439
2025-12-11,56062.61,0.004347
2025-12-12,55840.23,-0.003967
2025-12-15,55766.44,-0.001321
2025-12-16,56035.71,0.004829
2025-12-17,56278.3,0.004329
2025-12-18,56230.49,-0.00085
2025-12-19,56397.09,0.002963
2025-12-22,56888.23,0.008709
2025-12-23,57441.47,0.009725
2025-12-24,57528.89,0.001522
2025-12-25,57530.08,2.1e-05
2025-12-26,57837.98,0.005352
2025-12-29,57834.1,-6.7e-05
2025-12-30,57504.81,-0.005694
