vt_symbol,score,weight,target_value
688150.SSE,0.9992,0.01,5000.0
301489.SZSE,0.999,0.01,5000.0
301225.SZSE,0.9956,0.01,5000.0
688048.SSE,0.9944,0.01,5000.0
301392.SZSE,0.9887,0.01,5000.0
002636.SZSE,0.9882,0.01,5000.0
688403.SSE,0.9864,0.01,5000.0
688502.SSE,0.9858,0.01,5000.0
688362.SSE,0.9857,0.01,5000.0
603306.SSE,0.9855,0.01,5000.0
688167.SSE,0.983,0.01,5000.0
688025.SSE,0.9818,0.01,5000.0
688668.SSE,0.9818,0.01,5000.0
688001.SSE,0.9816,0.01,5000.0
300776.SZSE,0.9791,0.01,5000.0
688630.SSE,0.9751,0.01,5000.0
603663.SSE,0.9748,0.01,5000.0
688205.SSE,0.9741,0.01,5000.0
688372.SSE,0.9733,0.01,5000.0
688368.SSE,0.9721,0.01,5000.0
300672.SZSE,0.9662,0.01,5000.0
301217.SZSE,0.9654,0.01,5000.0
688279.SSE,0.9652,0.01,5000.0
688147.SSE,0.9652,0.01,5000.0
688110.SSE,0.965,0.01,5000.0
002290.SZSE,0.9629,0.01,5000.0
001359.SZSE,0.9624,0.01,5000.0
600353.SSE,0.9624,0.01,5000.0
002192.SZSE,0.9618,0.01,5000.0
688392.SSE,0.9606,0.01,5000.0
